Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg),Marker No,X ,Y ,R
0.031,,619.00,495.00,108.00,-2.53,8.83,-165.87,0.00,577.00,314.00,103.00
0.088,,619.00,493.00,108.00,-3.90,-8.29,175.34,0.00,577.00,314.00,103.00
0.172,,616.00,489.00,107.00,-5.20,-10.76,177.73,0.00,577.00,314.00,103.00
0.219,,615.00,488.00,106.00,-5.33,-5.05,172.54,0.00,577.00,314.00,103.00
0.261,,614.00,488.00,105.00,-5.40,-8.64,177.91,0.00,577.00,314.00,103.00
0.303,,613.00,489.00,104.00,-5.93,-6.65,173.11,0.00,577.00,314.00,103.00
0.346,,614.00,491.00,103.00,-7.10,-4.83,174.83,0.00,577.00,314.00,103.00
0.389,,614.00,492.00,103.00,-6.97,-10.05,175.70,0.00,577.00,314.00,103.00
0.432,,613.00,494.00,103.00,-5.75,13.33,-167.78,0.00,577.00,314.00,103.00
0.475,,612.00,496.00,102.00,-8.31,-6.05,177.32,0.00,577.00,314.00,103.00
0.519,,610.00,499.00,102.00,-8.97,-7.02,177.13,0.00,577.00,314.00,103.00
0.577,,609.00,501.00,102.00,-9.71,-13.30,-179.06,0.00,577.00,314.00,103.00
0.632,,608.00,502.00,102.00,-10.07,-10.63,177.34,0.00,577.00,314.00,103.00
0.687,,604.00,502.00,100.00,-10.48,-6.26,-179.05,0.00,577.00,314.00,103.00
0.754,,602.00,498.00,101.00,-8.87,10.24,-173.30,0.00,577.00,314.00,103.00
0.823,,601.00,492.00,101.00,-10.42,-9.38,175.97,0.00,577.00,314.00,103.00
0.926,,598.00,468.00,100.00,-10.98,-3.61,177.12,0.00,577.00,314.00,103.00
0.970,,597.00,443.00,100.00,-10.50,-6.40,177.35,0.00,577.00,314.00,103.00
1.018,,598.00,433.00,100.00,-10.14,-6.19,-179.86,0.00,577.00,314.00,103.00
1.076,,598.00,413.00,100.00,-9.36,-9.55,177.01,0.00,577.00,314.00,103.00
1.124,,600.00,376.00,101.00,-8.82,-7.10,178.05,0.00,577.00,314.00,103.00
1.167,,602.00,365.00,101.00,-9.12,-10.26,178.93,0.00,577.00,314.00,103.00
1.213,,604.00,354.00,101.00,-8.29,-9.21,177.14,0.00,577.00,314.00,103.00
1.281,,605.00,339.00,101.00,-8.98,-10.37,178.11,0.00,577.00,314.00,103.00
1.354,,607.00,319.00,102.00,-7.72,-10.45,177.00,0.00,577.00,314.00,103.00
1.408,,608.00,314.00,102.00,-7.01,-8.41,178.58,0.00,577.00,314.00,103.00
1.458,,615.00,278.00,102.00,-7.21,-11.13,-177.88,0.00,577.00,314.00,103.00
