Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg),Marker No,X ,Y ,R
0.032,,486.00,607.00,101.00,-0.64,-8.08,-168.01,0.00,685.00,423.00,75.00
0.100,,485.00,608.00,101.00,-0.06,-1.82,-174.37,0.00,685.00,423.00,75.00
0.199,,483.00,610.00,100.00,0.19,-3.56,-172.61,0.00,685.00,423.00,75.00
0.248,,484.00,610.00,101.00,-0.42,0.24,177.79,0.00,685.00,423.00,75.00
0.292,,484.00,610.00,100.00,-0.99,-9.15,-174.28,0.00,685.00,423.00,75.00
0.336,,484.00,609.00,101.00,-1.27,-9.91,-172.67,0.00,685.00,423.00,75.00
0.381,,483.00,608.00,101.00,-0.21,-4.43,-169.14,0.00,685.00,423.00,75.00
0.423,,484.00,607.00,100.00,-0.64,-7.31,-170.88,0.00,685.00,423.00,75.00
0.466,,487.00,607.00,100.00,-1.37,-6.27,-172.85,0.00,685.00,423.00,75.00
0.508,,493.00,605.00,100.00,-1.58,-4.20,-168.86,0.00,685.00,423.00,75.00
0.560,,499.00,603.00,100.00,-1.17,-1.54,-170.60,0.00,685.00,423.00,75.00
0.619,,514.00,597.00,100.00,-2.96,-5.33,172.64,0.00,685.00,423.00,75.00
0.668,,530.00,590.00,105.00,-3.94,-7.89,-161.20,0.00,685.00,423.00,75.00
0.719,,541.00,586.00,102.00,-3.07,-0.03,-167.82,0.00,685.00,423.00,75.00
0.770,,568.00,575.00,103.00,-2.87,-0.44,-164.94,0.00,685.00,423.00,75.00
0.848,,600.00,560.00,103.00,-2.75,-3.18,-166.29,0.00,685.00,423.00,75.00
0.978,,652.00,520.00,104.00,-0.21,2.65,-160.90,0.00,685.00,423.00,75.00
1.026,,673.00,499.00,102.00,1.20,3.58,-163.82,0.00,685.00,423.00,75.00
1.076,,705.00,436.00,101.00,4.26,-10.69,169.37,0.00,685.00,423.00,75.00
1.124,,715.00,405.00,99.00,5.73,-9.33,171.72,0.00,685.00,423.00,75.00
1.169,,719.00,391.00,97.00,6.62,-8.13,170.56,0.00,685.00,423.00,75.00
1.215,,723.00,378.00,95.00,6.55,-9.19,172.29,0.00,685.00,423.00,75.00
1.268,,731.00,367.00,93.00,6.98,-9.22,172.68,0.00,685.00,423.00,75.00
1.361,,735.00,362.00,93.00,6.47,-10.61,172.58,0.00,685.00,423.00,75.00
1.424,,739.00,359.00,93.00,6.26,-8.87,171.35,0.00,685.00,423.00,75.00
1.480,,748.00,347.00,91.00,5.53,-11.45,170.45,0.00,685.00,423.00,75.00
1.524,,752.00,344.00,89.00,5.83,-10.35,171.68,0.00,685.00,423.00,75.00
1.572,,752.00,345.00,89.00,7.45,-10.30,170.06,0.00,685.00,423.00,75.00
1.621,,749.00,350.00,88.00,7.14,-10.47,172.68,0.00,685.00,423.00,75.00
1.670,,747.00,354.00,87.00,7.58,-8.01,171.09,0.00,685.00,423.00,75.00
1.718,,746.00,359.00,86.00,7.28,-10.80,175.23,0.00,685.00,423.00,75.00
