Time (s),Target,X (mm),Y (mm),Z (mm),Yaw,Pitch,Roll
3.432,1,-38.72,269.87,1961.72,8.19,-15.35,85.83
3.491,1,-46.93,324.80,2350.51,13.57,-4.18,-97.46
3.554,1,-83.43,379.29,2771.74,11.32,13.39,-96.34
3.614,1,-43.64,188.30,1403.89,18.19,-16.22,84.26
3.734,1,-43.17,189.54,1515.94,3.91,9.13,-138.77
3.795,1,-39.06,167.73,1179.89,20.53,11.23,-78.13
3.856,1,-39.17,180.84,1465.51,4.61,-6.42,128.37
3.914,1,-52.93,235.79,1644.12,24.81,3.91,-66.40
3.974,1,-64.98,265.25,2116.09,3.12,-1.21,138.07
4.157,1,-66.83,179.66,1281.50,31.50,15.86,-64.00
4.279,1,-46.39,109.86,1082.92,-4.74,-50.06,-168.78
4.339,1,-42.13,109.70,1080.25,-8.01,-50.35,-163.80
4.519,1,-21.55,113.14,1061.58,-12.24,-45.33,-151.79
4.759,1,1521.14,1466.98,15141.41,176.21,-85.20,166.01
4.940,1,38.20,73.07,1038.77,-24.58,45.06,140.55
5.001,1,43.31,69.26,1030.32,-14.11,-44.69,-154.87
5.061,1,47.19,66.74,1045.85,-13.17,-44.91,-156.46
5.123,1,49.44,66.03,1059.47,-13.33,-46.27,-157.75
5.182,1,47.67,64.03,1056.31,-22.71,49.42,145.05
5.244,1,47.49,65.56,1070.04,-12.71,-46.00,-157.96
5.306,1,44.97,65.68,1072.04,-22.29,49.08,145.04
5.364,1,42.87,66.80,1072.01,-23.48,48.73,143.35
5.424,1,41.17,70.65,1090.07,-21.61,47.92,144.80
5.486,1,38.06,72.40,1090.53,-14.18,-46.68,-155.92
5.545,1,34.53,74.11,1097.84,-23.00,47.92,143.72
5.607,1,32.10,76.24,1120.90,-23.06,47.36,143.72
5.668,1,30.42,77.88,1139.57,-14.47,-46.06,-156.01
5.726,1,27.70,77.21,1129.31,-15.48,-47.93,-155.46
5.790,1,25.48,77.84,1146.97,-16.98,-47.38,-153.41
5.849,1,22.29,76.99,1155.01,-26.25,47.59,140.63
5.969,1,17.49,66.88,1117.58,-34.45,49.78,131.83
6.028,1,17.94,61.81,1105.05,-38.36,49.30,126.13
6.090,1,20.09,58.67,1104.52,-39.06,49.54,124.14
6.150,1,22.72,55.95,1112.75,-37.03,48.72,125.09
6.212,1,27.46,56.23,1141.03,-26.03,-48.34,-138.40
6.276,1,30.99,57.33,1164.25,-23.39,-47.50,-142.47
6.333,1,34.53,60.13,1176.81,-17.34,-47.34,-149.86
6.394,1,36.02,61.04,1165.06,-17.04,-47.35,-151.74
6.455,1,37.48,61.98,1161.32,-15.42,-46.60,-152.66
6.514,1,37.04,61.02,1154.16,-23.64,48.47,142.06
6.575,1,36.73,60.10,1141.87,-23.58,48.79,142.09
6.636,1,36.77,60.57,1148.27,-22.92,48.18,142.55
6.695,1,36.49,60.49,1147.95,-16.27,-47.20,-152.19
6.756,1,35.75,60.40,1148.10,-16.63,-46.85,-151.38
6.814,1,34.63,60.50,1149.71,-16.74,-47.33,-151.43
6.875,1,32.96,60.71,1152.87,-17.50,-46.77,-150.05
6.937,1,30.63,61.69,1149.96,-24.02,47.81,141.43
6.996,1,29.72,62.97,1155.43,-16.44,-46.89,-152.15
7.116,2,27.27,65.01,1168.80,-24.34,46.85,140.95
7.177,2,26.60,64.24,1156.04,-19.76,-47.88,-147.85
7.243,2,26.23,65.17,1158.78,-19.81,-48.06,-148.09
7.299,2,25.58,66.45,1166.07,-26.53,47.42,139.07
7.358,2,26.82,68.80,1172.39,-15.88,-47.10,-152.85
7.420,2,27.24,69.70,1176.56,-15.35,-46.52,-152.76
7.480,2,27.37,71.01,1182.92,-15.85,-46.67,-152.16
7.541,2,26.34,70.23,1178.50,-16.75,-46.91,-151.44
7.602,2,24.40,71.51,1168.94,-18.24,-46.99,-149.22
7.664,2,20.87,72.53,1157.63,-19.11,-46.58,-148.34
7.726,2,17.70,72.87,1138.83,-20.59,-50.28,-148.68
7.782,2,18.39,75.78,1158.06,-20.48,-50.36,-148.51
7.844,2,19.46,73.38,1131.27,-23.09,-52.00,-143.98
7.903,2,21.31,70.45,1118.85,-26.46,-51.85,-139.15
7.962,2,24.53,69.36,1120.26,-24.53,-52.59,-142.19
8.024,2,27.31,68.91,1123.81,-21.58,-51.03,-145.48
8.084,2,28.55,67.03,1113.86,-22.09,-50.13,-144.61
8.145,2,29.21,64.89,1101.17,-23.27,-52.16,-144.15
8.207,2,27.87,60.35,1067.63,-38.76,53.33,127.94
8.265,2,28.33,59.31,1057.57,-31.03,-56.86,-138.38
8.325,2,27.72,59.24,1043.99,-33.69,-57.93,-135.86
8.391,2,26.64,60.06,1043.87,-33.56,-58.57,-136.21
8.446,2,25.13,61.83,1045.80,-35.78,-59.67,-134.30
8.507,2,23.22,61.73,1036.15,-37.66,-61.74,-133.79
8.567,2,22.14,61.51,1024.83,-40.38,-62.17,-131.79
8.628,2,21.50,61.36,1026.16,-37.19,-61.84,-136.18
8.690,2,20.65,60.22,1023.58,-46.32,58.33,125.04
8.749,2,19.20,59.72,1030.55,-40.22,56.86,131.21
8.810,2,18.38,59.36,1032.37,-32.52,55.14,138.40
8.870,2,18.07,60.30,1046.70,-25.58,51.67,144.87
8.930,2,18.21,63.24,1074.68,-20.20,48.25,150.20
8.990,2,17.53,66.46,1111.92,-13.42,44.59,156.40
9.051,2,16.45,68.89,1137.02,-4.14,-40.16,-170.56
9.110,2,13.64,68.31,1117.45,-2.86,-40.68,-173.54
9.174,2,10.24,67.95,1108.89,-8.13,40.66,165.45
9.233,2,7.70,68.85,1107.75,-1.46,-39.87,-176.42
9.295,2,4.62,69.50,1104.08,-0.95,-40.84,-176.83
9.355,2,0.50,70.84,1111.17,-0.57,-38.57,-177.18
9.414,2,-4.79,73.06,1123.43,-6.21,37.14,167.48
9.534,2,-14.33,75.96,1129.82,-1.15,-40.52,-176.41
9.593,2,-16.24,72.62,1082.67,-2.58,-44.41,-176.89
9.657,2,-15.62,73.39,1093.86,-2.01,-42.69,-177.06
9.715,2,-10.79,74.02,1104.89,-2.67,-38.30,-174.87
9.776,2,-5.55,73.23,1105.73,-3.86,-37.58,-172.92
9.837,2,0.11,70.98,1094.38,-10.66,36.01,162.06
9.896,2,7.11,69.13,1079.59,-3.03,-39.07,-174.21
9.957,2,13.19,69.51,1095.74,-3.00,-38.07,-174.73
10.077,2,24.86,65.33,1062.60,-2.53,-38.62,-174.99
10.139,2,30.08,66.27,1073.54,0.38,-37.33,-178.71
10.199,2,34.96,68.42,1085.93,1.08,-38.13,-179.08
10.258,2,37.98,68.78,1071.95,0.28,-40.22,-178.63
10.319,2,38.80,67.79,1045.51,-8.95,45.94,166.12
10.379,2,39.71,68.22,1039.95,-9.30,46.04,165.39
10.440,2,40.26,67.93,1021.95,-10.30,47.18,164.98
10.502,2,41.59,70.81,1033.84,-8.65,46.37,166.67
10.562,2,43.19,73.98,1047.73,-8.25,45.69,166.17
10.623,2,44.16,74.27,1042.78,-0.41,-41.83,-177.55
10.682,2,43.15,69.52,1009.37,-10.34,47.36,163.38
10.744,2,44.38,66.70,1003.26,-10.50,46.80,163.81
10.803,2,45.47,64.48,988.75,-9.57,48.39,164.51
10.863,2,47.12,64.16,997.69,-8.73,47.86,165.72
10.924,2,49.65,63.69,1014.65,-0.29,-42.36,-176.71
10.985,2,49.93,60.93,1011.94,-7.97,47.81,166.09
11.043,2,51.22,57.82,1002.89,-0.98,-43.35,-175.20
11.107,2,52.14,55.91,1004.94,-7.91,47.91,165.57
11.165,2,53.80,55.82,1009.88,-6.75,48.13,166.96
11.227,2,55.60,56.95,1024.18,-6.23,46.95,167.42
11.288,2,56.29,57.32,1019.59,0.16,-41.56,-176.39
11.348,2,55.16,57.37,1015.29,-7.08,47.59,166.64
11.407,2,55.03,57.86,1015.82,-7.12,47.53,166.58
11.527,3,56.95,60.19,1027.14,0.69,-41.59,-177.22
11.590,3,56.78,60.43,1021.56,-0.27,-41.87,-175.90
11.649,3,55.21,61.54,1016.20,-8.03,48.09,164.87
11.714,3,54.10,64.05,1021.03,-9.07,47.05,163.24
11.772,3,53.03,67.02,1046.97,-8.47,45.00,163.49
11.832,3,50.96,69.18,1054.15,-2.21,-38.77,-173.40
11.898,3,47.73,69.92,1050.40,-1.36,-39.71,-175.32
11.955,3,44.59,68.60,1028.47,-1.52,-40.84,-175.95
12.011,3,41.41,65.89,1006.17,-1.09,-42.01,-176.39
12.073,3,37.21,63.01,998.36,-9.65,45.59,164.54
12.133,3,32.93,62.72,1003.61,-12.57,42.74,159.17
12.192,3,29.16,66.29,1029.90,-12.37,41.29,158.14
12.259,3,25.87,73.25,1093.67,-4.97,-34.37,-170.04
12.373,3,12.93,74.93,1072.40,-6.08,-38.03,-170.08
12.434,3,6.96,78.20,1080.93,-12.94,38.28,159.48
12.493,3,2.59,84.21,1102.32,-5.08,-38.87,-171.33
12.557,3,-1.60,87.21,1107.56,-3.21,-39.52,-175.05
12.616,3,-5.25,86.91,1097.41,-3.78,-39.68,-176.00
12.675,3,-7.96,86.61,1087.25,-3.63,-42.37,-176.23
