Time (s),Target,X (mm),Y (mm),Z (mm),Yaw,Pitch,Roll
12.738,3,-9.79,87.20,1097.80,-3.66,-42.94,-176.85
12.797,3,-10.94,85.31,1093.88,-3.20,-44.54,-177.42
12.857,3,-10.30,84.07,1103.15,-2.53,-43.74,-176.53
12.919,3,-8.30,84.23,1125.06,-2.06,-42.16,-176.79
12.978,3,-5.58,82.30,1122.51,-2.13,-41.86,-175.74
13.039,3,-3.10,81.84,1138.64,-1.96,-41.08,-176.13
13.099,3,-0.42,78.87,1125.26,-1.17,-42.83,-176.23
13.160,3,2.22,78.57,1140.82,-1.07,-41.26,-176.13
13.222,3,5.10,77.75,1134.81,-1.46,-41.74,-176.33
13.280,3,7.15,78.62,1147.68,-0.83,-40.96,-177.13
13.341,3,8.37,78.99,1143.94,-0.32,-42.57,-177.63
13.402,3,8.45,79.75,1143.92,-0.28,-42.87,-177.42
13.466,3,7.50,80.91,1151.33,0.13,-42.53,-177.47
13.525,3,6.27,82.26,1157.61,-0.26,-41.98,-177.19
13.583,3,4.83,83.27,1157.18,-0.96,-42.36,-176.52
13.642,3,3.01,84.75,1170.29,-0.99,-41.73,-176.49
13.706,3,1.48,85.25,1169.88,-0.86,-42.40,-176.21
13.764,3,-0.24,87.61,1178.84,-0.42,-42.63,-176.92
13.824,3,-2.01,90.42,1205.65,-0.57,-40.66,-177.20
13.886,3,-3.31,89.98,1201.74,-0.08,-41.23,-178.95
13.946,3,-4.10,88.70,1204.00,-1.25,-41.99,-177.56
14.008,3,-4.32,88.80,1216.17,-1.38,-41.95,-177.36
14.068,3,-4.18,88.83,1227.53,-2.30,-41.27,-176.56
14.126,3,-3.58,87.20,1208.84,-4.69,-42.67,-174.28
14.190,3,-3.83,86.88,1212.93,-9.57,41.12,165.37
14.248,3,-3.36,85.10,1199.20,-9.98,43.27,165.05
14.308,3,-2.12,86.43,1230.11,-1.97,-42.54,-176.16
14.369,3,-1.25,87.00,1253.68,-1.34,-41.29,-175.71
14.428,3,-0.62,86.58,1267.65,-0.62,-40.83,-176.40
14.490,3,-0.62,86.79,1272.69,-1.09,-40.56,-175.64
14.550,3,-2.04,88.93,1289.02,-2.44,-39.38,-173.10
14.609,3,-4.53,90.20,1301.17,-2.00,-38.84,-174.47
14.673,3,-7.48,90.95,1287.28,-2.64,-40.40,-173.79
14.732,3,-9.34,91.36,1273.29,-2.38,-42.22,-173.53
14.791,3,-10.60,96.66,1312.62,-2.14,-40.32,-173.57
14.852,3,-9.95,98.04,1327.29,-2.24,-39.52,-173.24
14.913,3,-7.82,93.16,1282.43,-3.32,-42.63,-171.15
14.974,3,-6.27,90.08,1273.00,-3.78,-42.94,-171.15
15.033,3,-5.52,87.71,1271.26,-3.88,-42.30,-171.52
15.093,3,-6.14,87.31,1283.40,-10.64,39.83,161.29
15.157,3,-6.27,87.87,1292.05,-3.61,-40.93,-172.02
15.214,3,-7.93,88.59,1300.32,-3.20,-40.94,-172.35
15.274,3,-11.00,89.07,1305.21,-3.60,-39.41,-171.57
15.336,3,-13.44,88.71,1285.16,-6.38,-41.00,-167.73
15.395,3,-16.65,90.71,1273.52,-6.17,-43.12,-167.38
15.457,3,-19.90,94.85,1274.38,-5.64,-44.91,-168.26
15.518,3,-22.02,99.97,1295.03,-5.21,-43.17,-168.09
15.576,3,-24.47,105.02,1329.98,-5.38,-41.87,-169.07
15.640,3,-25.22,104.96,1323.73,-5.76,-41.83,-169.52
15.698,3,-25.05,104.72,1315.09,-6.21,-42.87,-169.06
15.758,3,-24.35,104.61,1308.21,-6.62,-43.13,-169.14
15.819,3,-22.34,106.08,1290.89,-8.33,-44.32,-168.68
