Time (s),Target,X (mm),Y (mm),Z (mm),Yaw,Pitch,Roll
9.948,1,14645.76,30128.17,239411.36,31.87,46.76,144.09
19.317,1,43.65,138.05,1246.99,-32.09,-44.31,-152.07
19.376,1,41.25,138.98,1252.36,-37.34,-45.59,-144.95
19.437,1,41.41,148.57,1311.63,-38.36,-44.87,-143.47
19.497,1,41.72,159.07,1377.68,-45.39,36.80,131.50
19.556,1,43.33,174.50,1479.38,-34.25,-39.80,-147.11
19.620,1,41.06,183.31,1530.07,-41.18,30.02,131.56
19.679,1,41.44,203.95,1666.89,-35.55,26.27,137.43
19.737,1,43.93,249.14,2009.14,-23.86,13.16,147.84
19.799,1,35.78,226.45,1819.78,-26.16,18.19,142.35
19.859,1,34.71,234.33,1874.32,-23.93,16.57,145.47
19.920,1,35.68,253.33,2022.40,-18.79,8.33,150.96
19.980,1,30.72,222.46,1782.56,-23.89,16.29,141.93
20.039,1,32.11,229.77,1842.61,-21.15,13.81,146.38
20.105,1,28.97,202.77,1636.46,-27.50,20.15,137.75
20.164,1,31.17,206.58,1667.72,-25.89,19.26,140.75
20.223,1,42.84,264.83,2114.99,-15.61,0.74,175.52
20.286,1,46.10,254.52,1737.35,-1.39,-1.64,-61.63
20.345,1,49.99,254.97,2044.72,-17.92,6.88,161.21
20.403,1,49.89,236.13,1904.11,-22.77,10.90,149.45
20.463,1,44.47,198.19,1608.33,-31.11,19.16,134.03
20.523,1,52.46,222.53,1796.36,-27.49,13.13,136.80
20.586,1,45.31,183.15,1503.26,-34.89,17.89,124.44
20.645,1,55.57,219.24,1782.70,-28.76,15.02,137.95
20.705,1,65.21,254.88,2066.39,-22.06,7.76,152.68
20.767,1,58.94,231.83,1886.18,-25.40,12.31,142.95
20.825,1,56.90,227.62,1849.81,-24.69,12.80,142.05
20.888,1,62.10,257.42,2076.46,-17.74,-7.61,-171.31
20.947,1,59.44,252.95,2043.87,-17.75,-8.16,-167.80
21.006,1,59.67,261.35,2102.45,-16.97,-5.53,-172.42
21.070,1,52.66,237.07,1916.75,-21.92,10.50,145.70
21.128,1,49.30,226.68,1831.50,-23.68,12.97,141.69
21.187,1,55.94,255.73,1756.71,-4.39,-2.45,-63.29
21.250,1,53.95,251.00,2022.16,-16.25,-6.47,-170.54
21.309,1,49.45,229.82,1855.08,-22.46,12.24,145.90
21.430,2,59.24,263.09,1813.48,-4.74,-2.06,-60.20
21.490,2,59.78,262.72,1812.16,-4.94,-2.12,-60.32
21.553,2,61.73,268.68,1848.54,-5.37,-1.59,-61.83
21.611,2,62.00,266.25,1838.09,-5.06,-2.98,-58.78
21.671,2,62.98,269.93,1864.20,-5.42,-2.33,-59.33
21.733,2,55.79,239.14,1931.57,-23.42,10.47,148.47
21.792,2,54.45,232.58,1881.63,-25.14,11.71,143.52
21.854,2,55.45,233.46,1885.17,-25.24,11.63,141.76
21.914,2,66.20,270.64,2163.25,-19.25,-5.65,-164.16
21.973,2,51.64,211.52,1689.44,-25.91,7.43,122.95
22.036,2,67.01,290.19,2284.47,-19.15,0.96,138.79
22.217,2,36.98,319.64,2488.95,-17.05,-3.12,172.37
22.275,2,28.44,298.34,2026.00,7.65,1.40,42.47
22.337,2,29.56,376.78,2913.43,-17.18,-3.00,169.51
22.397,2,26.46,384.39,2602.51,11.03,5.52,-41.70
22.457,2,14.22,231.94,1817.48,-25.49,7.62,127.70
22.520,2,18.77,307.01,2376.37,-16.81,-1.80,-166.25
22.579,2,15.40,236.64,1836.93,-20.32,-5.24,-140.44
22.638,2,16.81,223.53,1737.27,-16.41,1.24,-143.54
22.700,2,25.94,299.92,2328.70,-16.19,-1.46,148.85
22.759,2,24.34,239.54,1866.68,-19.24,-4.74,-143.71
22.820,2,31.34,263.63,2052.85,-18.05,-1.87,-150.33
22.881,2,29.64,224.43,1760.91,-23.66,4.02,126.20
22.940,2,40.25,276.34,2170.96,-17.88,-3.14,179.74
23.003,2,32.03,209.62,1665.96,-28.93,11.73,127.45
23.062,2,47.50,289.19,2281.56,-17.53,-3.13,-176.72
23.121,2,40.77,234.90,1875.39,-24.27,10.85,140.86
23.183,2,47.96,261.14,2090.70,-19.12,4.80,159.23
23.242,2,43.27,221.26,1794.65,-25.90,17.93,147.14
23.304,2,47.55,230.73,1880.73,-22.44,14.90,156.72
23.364,2,43.22,202.57,1673.95,-28.31,23.29,146.06
23.423,2,40.94,191.18,1574.71,-30.15,27.37,145.04
23.486,2,45.12,214.57,1780.87,-26.66,17.49,145.10
23.545,2,36.84,180.76,1499.43,-33.21,29.86,140.78
23.605,2,40.30,201.67,1649.71,-28.72,25.36,147.01
23.666,2,40.83,208.86,1704.41,-26.37,22.01,148.87
23.725,2,41.78,215.34,1767.93,-26.37,20.49,148.37
23.787,2,42.23,217.46,1778.93,-25.13,19.88,149.84
23.847,2,37.55,195.14,1590.39,-29.61,25.59,143.54
23.907,2,44.92,235.81,1905.70,-21.90,13.49,156.71
24.027,3,41.46,218.27,1775.77,-25.82,19.35,149.10
24.088,3,46.46,246.19,1995.25,-17.84,-9.74,-171.96
24.148,3,47.90,255.39,2060.55,-18.75,5.19,169.38
24.209,3,33.47,176.85,1481.42,-35.37,28.14,133.69
24.269,3,46.46,246.19,1995.25,-17.84,-9.74,-171.96
24.330,3,46.46,246.19,1995.25,-17.84,-9.74,-171.96
24.390,3,41.39,225.91,1827.48,-24.67,14.70,147.75
24.875,3,-32.35,159.56,1405.27,-41.02,-41.99,-133.48
25.721,3,118.43,59.78,1027.56,-37.70,-39.06,-125.85
25.781,3,93.30,42.97,784.25,-42.33,-41.97,-123.83
25.841,3,98.00,42.75,825.64,-43.69,-44.67,-122.19
25.903,3,104.37,44.28,877.20,-42.80,-44.66,-123.34
25.963,3,126.75,53.70,1064.05,-37.94,-42.56,-127.66
26.022,3,97.06,40.67,813.53,-43.35,-45.11,-123.26
26.085,3,128.04,57.38,1085.28,-36.85,-38.74,-127.79
26.145,3,89.53,40.64,763.00,-41.43,-42.18,-124.69
26.203,3,1.57,0.40,0.72,-77.61,-88.76,-122.79
26.265,3,113.94,59.74,1023.26,-30.32,-35.08,-131.10
26.324,3,92.98,52.57,829.91,-32.77,-36.71,-131.84
26.387,3,99.23,56.70,920.71,-15.44,-33.55,-126.52
26.446,3,5.04,6.66,54.15,-107.98,-63.28,-114.43
26.505,3,104.16,56.57,926.96,-35.56,-37.90,-129.57
26.569,3,105.85,57.16,933.23,-36.79,-38.98,-128.73
26.628,3,116.48,63.83,1032.99,-35.61,-37.99,-128.89
26.687,3,108.64,59.69,961.99,-37.67,-39.27,-127.44
26.748,3,109.42,59.73,961.11,-39.06,-38.69,-124.07
26.808,3,94.81,49.65,823.78,-42.24,-41.51,-120.44
26.871,3,118.56,61.55,1018.10,-40.96,-39.36,-121.09
26.929,3,206.09,106.91,1746.27,-35.82,-36.79,-132.51
26.989,3,160.59,80.62,1356.24,-38.47,-39.00,-123.53
27.053,3,177.18,87.40,1484.82,-39.34,-38.79,-125.07
27.111,3,120.71,57.36,1009.57,-43.76,-42.13,-119.27
27.170,3,123.50,58.75,1034.54,-43.75,-42.95,-119.56
27.233,3,121.00,59.37,1018.04,-45.71,-42.92,-117.01
27.291,3,122.27,61.08,1024.05,-45.52,-42.69,-117.09
27.353,3,108.04,52.49,915.71,-41.11,-40.98,-118.09
27.413,3,107.92,53.16,919.25,-41.08,-41.37,-120.17
27.472,3,123.25,62.04,1055.03,-38.44,-39.66,-123.12
27.536,3,112.09,56.94,970.04,-39.86,-40.74,-122.98
27.595,3,115.83,59.63,1001.06,-38.39,-39.50,-124.52
27.654,3,110.33,57.03,956.69,-38.89,-39.44,-123.64
27.715,3,114.42,59.20,990.14,-38.02,-39.83,-124.53
27.774,3,112.96,57.91,975.92,-39.41,-40.56,-123.37
27.837,3,120.46,60.98,1031.04,-39.54,-39.54,-121.94
27.896,3,123.07,61.35,1044.04,-43.20,-41.29,-118.50
27.956,3,124.29,61.41,1029.94,-47.67,-45.37,-114.07
28.019,3,156.85,74.76,1283.12,-49.98,-43.83,-111.73
28.078,3,178762.90,87214.75,1431123.61,-103.68,-7.78,-12.24
28.137,3,149.89,68.10,1208.19,-57.49,-39.85,-106.54
28.198,3,132.18,59.68,1071.77,-53.39,-45.90,-109.41
28.258,3,432.50,199.42,3413.70,-66.69,-48.88,-91.97
28.320,3,173.27,80.25,1389.67,-57.12,-48.41,-105.14
28.380,3,174.23,81.77,1395.16,-59.90,-29.38,-102.15
28.439,3,164.55,76.93,1337.42,-51.30,-41.46,-111.61
28.503,3,179.32,83.26,1451.72,-51.61,-42.48,-111.40
28.561,3,178.65,84.09,1452.91,-55.10,-37.66,-108.89
28.620,3,176.41,82.39,1433.51,-49.98,-43.74,-112.60
28.682,3,159.06,74.16,1299.02,-47.34,-44.95,-114.97
28.741,3,139.10,66.24,1150.42,-46.94,-44.43,-115.15
28.804,3,162.10,76.40,1329.20,-45.08,-45.40,-117.18
28.863,3,145.04,68.88,1194.19,-45.29,-44.28,-117.07
28.984,4,159.74,77.35,1318.78,-44.44,-43.57,-117.59
29.044,4,144.60,70.33,1197.90,-44.68,-43.47,-117.45
29.104,4,140.76,68.43,1170.50,-45.70,-43.14,-116.29
29.166,4,135.84,66.39,1123.97,-45.42,-43.25,-116.69
29.225,4,161.02,78.73,1331.66,-45.43,-43.78,-116.22
29.287,4,149.29,73.01,1231.81,-46.83,-43.38,-115.04
29.347,4,130.09,65.17,1080.25,-47.23,-43.94,-113.97
29.406,4,136.52,67.08,1133.74,-47.13,-43.80,-114.71
