Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg),Marker No,X ,Y ,R
1.029,,-29.57,116.44,399.92,0.75,27.26,172.85,0.00,310.00,377.00,35.00
1.089,,-54.20,87.22,424.19,-1.80,26.84,170.59,0.00,310.00,377.00,35.00
1.153,,-65.24,74.62,435.29,-2.86,27.42,167.32,0.00,310.00,377.00,35.00
1.225,,-80.88,57.86,449.11,-5.08,29.66,164.22,0.00,310.00,377.00,35.00
1.359,,-92.05,47.10,457.05,-5.93,31.19,163.36,0.00,310.00,377.00,35.00
1.467,,-98.50,39.99,460.78,-6.59,31.87,162.89,0.00,310.00,377.00,35.00
1.537,,-117.90,6.07,505.93,-7.58,32.23,162.73,0.00,310.00,377.00,35.00
1.594,,-121.38,-3.40,525.18,-8.47,32.91,159.81,0.00,310.00,377.00,35.00
1.657,,-129.04,-11.22,541.39,-10.37,34.48,156.09,0.00,310.00,377.00,35.00
1.719,,-138.61,-20.23,551.15,-11.34,36.89,156.43,0.00,310.00,377.00,35.00
1.776,,-142.08,-24.38,555.30,-11.89,37.21,155.94,0.00,310.00,377.00,35.00
1.836,,-143.18,-24.94,560.33,-12.04,37.82,154.87,0.00,310.00,377.00,35.00
1.895,,-142.72,-23.57,562.41,-13.12,38.77,153.12,0.00,310.00,377.00,35.00
1.957,,-142.88,-22.57,567.64,-13.06,40.23,152.78,0.00,310.00,377.00,35.00
2.015,,-140.18,-20.34,573.04,-12.83,40.02,152.93,0.00,310.00,377.00,35.00
2.072,,-138.15,-19.92,583.23,-13.83,39.20,150.35,0.00,310.00,377.00,35.00
2.126,,-137.29,-20.29,593.44,-13.88,37.87,149.69,0.00,310.00,377.00,35.00
2.180,,-133.58,-19.51,596.87,-13.36,37.03,149.67,0.00,310.00,377.00,35.00
2.235,,-128.42,-17.08,603.90,-12.89,36.85,149.39,0.00,310.00,377.00,35.00
