Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg),Marker No,X ,Y ,R
0.032,,-35.88,-26.62,1186.65,1.83,-11.53,-159.33,0.00,421.00,364.00,76.00
0.116,,-35.17,-26.65,1180.35,1.45,-11.35,-159.70,0.00,421.00,364.00,76.00
0.187,,-34.56,-26.35,1182.97,1.47,-10.55,-157.75,0.00,421.00,364.00,76.00
0.233,,-31.24,-25.15,1184.20,2.21,6.87,161.55,0.00,421.00,364.00,76.00
0.278,,-29.72,-24.46,1183.99,1.87,-9.90,-159.18,0.00,421.00,364.00,76.00
0.332,,-29.68,-24.77,1189.75,1.47,-10.55,-161.02,0.00,421.00,364.00,76.00
0.384,,-29.56,-25.38,1178.36,1.02,-11.67,-158.24,0.00,421.00,364.00,76.00
0.435,,-30.15,-27.15,1180.15,1.10,-8.17,-158.27,0.00,421.00,364.00,76.00
0.484,,-30.26,-28.70,1186.74,1.41,6.16,159.69,0.00,421.00,364.00,76.00
0.535,,-27.33,-31.14,1187.43,1.47,8.44,162.21,0.00,421.00,364.00,76.00
0.596,,-24.15,-31.63,1167.30,-0.63,-9.72,-154.32,0.00,421.00,364.00,76.00
0.649,,-22.96,-34.06,1198.14,0.18,4.91,162.41,0.00,421.00,364.00,76.00
0.713,,-19.32,-35.06,1178.15,-0.10,9.16,161.06,0.00,421.00,364.00,76.00
0.767,,-15.63,-36.07,1171.38,-0.21,-7.52,-157.88,0.00,421.00,364.00,76.00
0.820,,-2.90,-40.39,1186.77,-1.86,-6.73,-157.39,0.00,421.00,364.00,76.00
0.870,,3.51,-43.77,1198.21,-1.91,4.90,161.87,0.00,421.00,364.00,76.00
0.921,,6.20,-43.76,1188.22,-3.06,-4.88,-156.47,0.00,421.00,364.00,76.00
0.973,,9.69,-44.90,1200.66,-3.47,7.39,164.90,0.00,421.00,364.00,76.00
1.025,,14.65,-46.64,1213.78,-3.18,5.12,165.63,0.00,421.00,364.00,76.00
1.079,,14.65,-47.01,1213.95,-3.14,4.78,165.63,0.00,421.00,364.00,76.00
1.128,,12.67,-48.97,1238.30,-4.06,-4.81,-164.12,0.00,421.00,364.00,76.00
1.178,,10.89,-49.73,1233.17,-2.85,4.20,167.56,0.00,421.00,364.00,76.00
1.235,,10.95,-49.55,1230.10,-2.77,-4.83,-163.92,0.00,421.00,364.00,76.00
1.287,,10.35,-50.16,1223.42,-3.14,-3.92,-161.36,0.00,421.00,364.00,76.00
1.348,,6.57,-53.77,1260.58,-1.94,-4.27,-166.42,0.00,421.00,364.00,76.00
1.398,,4.71,-54.89,1260.90,-1.09,-4.47,-166.44,0.00,421.00,364.00,76.00
1.447,,2.48,-55.64,1261.00,-1.09,-4.55,-166.44,0.00,421.00,364.00,76.00
1.495,,-3.01,-60.02,1263.26,0.31,7.35,172.23,0.00,421.00,364.00,76.00
1.543,,-6.17,-61.28,1254.14,-0.55,-10.39,-169.40,0.00,421.00,364.00,76.00
1.590,,-11.31,-66.81,1272.28,1.36,9.79,175.43,0.00,421.00,364.00,76.00
1.637,,-14.86,-69.47,1273.07,2.11,6.65,176.35,0.00,421.00,364.00,76.00
1.685,,-17.58,-71.47,1267.53,1.14,5.03,169.93,0.00,421.00,364.00,76.00
1.732,,-21.84,-74.31,1271.35,1.64,-9.17,-166.95,0.00,421.00,364.00,76.00
1.781,,-35.83,-82.94,1265.05,3.77,4.26,170.82,0.00,421.00,364.00,76.00
1.829,,-40.95,-85.82,1277.99,4.69,9.11,177.92,0.00,421.00,364.00,76.00
1.882,,-49.88,-89.36,1268.81,4.65,-9.71,-161.30,0.00,421.00,364.00,76.00
1.936,,-57.37,-92.98,1274.21,6.83,7.82,175.30,0.00,421.00,364.00,76.00
1.988,,-62.47,-94.60,1274.81,5.54,-17.61,-171.26,0.00,421.00,364.00,76.00
