Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg)
0.046,0,31.36,149.19,585.09,-3.48,23.06,166.32
0.155,0,29.14,119.85,585.10,-3.83,27.03,167.35
0.221,0,31.46,97.13,608.18,-2.54,21.46,168.45
0.280,0,38.02,86.11,619.96,-0.23,17.13,170.52
0.341,0,37.94,86.04,621.64,-0.31,16.69,170.09
0.398,0,37.26,88.00,619.88,-0.27,17.03,170.28
0.462,0,32.73,90.69,619.96,-1.18,16.34,169.81
0.525,0,31.72,92.03,617.96,-0.98,19.35,170.23
0.605,0,31.57,91.32,617.12,-1.11,20.53,169.77
0.673,0,34.83,83.78,618.55,-1.03,23.32,168.70
0.753,0,37.02,77.35,623.43,-0.59,22.39,169.37
0.820,0,37.67,71.02,626.03,-0.86,20.86,168.33
0.885,0,38.87,66.43,629.81,0.39,20.17,169.06
0.948,0,35.20,64.68,629.63,0.28,21.44,169.57
1.013,0,29.06,63.38,635.83,0.38,20.99,170.43
1.078,0,23.26,61.59,633.71,-0.18,21.72,168.58
1.141,0,18.51,60.08,634.06,-0.35,24.24,168.99
1.202,0,14.34,59.04,637.63,-0.30,24.18,168.02
1.277,0,12.36,58.54,636.58,-0.39,25.30,167.29
1.339,0,4.63,58.08,640.71,-0.09,24.82,169.04
1.403,0,-0.45,60.55,641.74,0.37,23.98,169.92
1.475,0,-4.38,61.38,638.96,-0.17,26.22,169.65
1.542,0,-6.26,62.68,641.23,0.45,27.05,169.79
1.604,0,-6.54,64.24,648.05,0.57,28.80,169.59
1.668,0,-3.00,64.39,646.98,0.94,33.59,167.43
1.729,0,-0.80,63.49,659.37,1.62,31.28,167.55
1.793,0,-1.11,60.92,654.32,0.70,33.29,168.82
1.855,0,3.80,58.94,669.77,1.24,34.24,167.14
1.913,0,5.82,57.34,677.33,1.50,33.01,168.33
1.971,0,10.43,55.51,675.45,1.54,34.14,167.42
2.029,0,13.54,54.28,680.86,2.33,33.26,167.95
2.084,0,18.47,50.17,687.13,1.90,36.40,167.97
2.142,0,19.40,49.70,686.55,1.88,36.96,167.68
2.198,0,26.42,45.54,703.18,2.38,36.87,167.59
2.258,0,29.03,43.78,714.48,2.93,36.61,169.09
2.315,0,28.91,44.05,717.00,3.24,38.00,169.09
2.316,17,-869.02,792.00,3354.54,-37.52,62.97,-165.08
2.381,0,26.72,43.97,717.16,2.89,39.52,170.62
2.440,0,23.55,44.58,726.79,2.30,39.09,171.98
2.505,0,18.78,46.37,734.06,2.27,38.29,172.13
2.566,0,13.25,46.03,742.70,0.50,36.52,171.79
2.634,0,12.92,47.15,731.63,0.33,36.38,173.83
2.692,0,28.45,48.97,710.70,0.69,31.44,176.24
2.755,0,35.12,48.00,707.52,1.70,29.85,176.64
2.816,0,51.57,41.28,689.07,1.85,30.23,174.94
2.881,0,61.01,38.08,676.77,3.13,30.59,175.43
2.942,0,66.90,34.19,665.12,3.17,32.76,174.47
3.007,0,85.31,26.61,647.33,2.92,34.95,172.52
3.068,0,99.79,21.62,640.52,3.45,31.65,173.83
3.133,0,108.40,18.79,632.49,3.29,33.97,173.48
3.196,0,113.35,18.08,630.03,4.15,32.83,174.27
3.261,0,111.61,18.46,627.40,3.86,34.82,173.58
3.320,0,104.77,22.04,630.41,3.40,37.91,170.98
3.383,0,93.76,26.56,636.15,2.27,38.41,171.67
3.445,0,80.02,33.50,648.30,1.21,39.35,169.00
3.509,0,72.58,36.24,651.40,0.97,40.98,170.39
3.588,0,49.57,40.69,679.95,0.14,42.22,170.73
3.657,0,42.59,41.09,690.58,-0.48,41.92,169.60
3.722,0,26.19,39.13,706.38,-2.16,44.87,169.20
3.787,0,13.25,37.01,726.14,-3.07,45.63,167.27
3.856,0,3.26,35.68,737.09,-4.24,47.08,167.07
3.921,0,-4.07,33.52,746.20,-5.27,47.52,166.13
3.981,0,-13.97,29.42,754.35,-6.56,50.25,164.42
4.045,0,-19.08,26.18,766.85,-7.41,51.74,162.98
4.106,0,-21.86,21.87,774.95,-8.77,53.66,161.06
4.170,0,-22.71,19.17,780.47,-7.69,54.11,161.08
4.233,0,-23.17,15.29,788.23,-7.38,54.41,161.44
4.298,0,-23.82,10.05,798.13,-6.18,53.00,164.87
4.359,0,-25.78,7.92,802.17,-5.91,52.32,166.81
4.423,0,-27.10,7.25,809.21,-5.86,52.23,166.46
4.492,0,-30.08,4.68,810.30,-5.58,55.42,165.29
4.557,0,-32.60,3.33,811.91,-7.38,57.71,162.93
4.619,0,-37.09,3.12,818.35,-7.57,58.44,162.15
4.680,0,-41.49,4.27,823.75,-8.25,58.21,162.31
4.741,0,-43.09,4.63,820.64,-7.74,58.24,162.95
4.802,0,-47.99,6.50,835.89,-8.61,55.91,162.10
4.866,0,-55.24,8.76,843.10,-9.52,56.07,162.83
4.929,0,-56.75,11.06,842.64,-10.29,57.94,161.61
4.989,0,-56.22,14.48,855.95,-8.57,55.99,162.72
5.051,0,-57.21,17.32,860.99,-8.39,56.13,163.25
5.109,0,-61.21,20.06,865.16,-8.76,56.38,164.95
5.175,0,-65.65,22.75,876.62,-8.85,55.30,165.73
5.237,0,-71.46,27.00,888.71,-11.81,57.79,162.74
5.303,0,-72.91,27.52,896.70,-11.11,59.01,162.24
5.364,0,-73.35,26.45,902.22,-10.61,59.61,162.85
5.430,0,-73.04,24.75,905.36,-11.02,59.51,161.66
5.493,0,-73.37,21.07,901.04,-9.51,60.10,165.20
5.557,0,-73.96,20.19,904.67,-9.39,57.84,165.03
5.615,0,-71.60,20.53,895.87,-7.97,56.93,166.53
5.690,0,-70.58,20.00,896.67,-7.46,54.83,167.55
5.758,0,-68.96,18.56,893.62,-7.21,54.33,166.31
5.825,0,-66.90,12.92,889.83,-5.59,50.61,168.09
