Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg),Marker No,X ,Y ,R
0.034,,-62.65,66.74,1256.33,5.67,7.55,166.90,0.00,451.00,451.00,67.00
0.112,,-62.70,66.91,1256.19,6.68,-9.96,-173.42,0.00,451.00,451.00,67.00
0.173,,-62.65,66.74,1256.33,5.67,7.55,166.90,0.00,451.00,451.00,67.00
0.219,,-62.95,67.35,1260.88,6.93,-7.77,-172.44,0.00,451.00,451.00,67.00
0.265,,-62.95,67.35,1260.88,6.93,-7.77,-172.44,0.00,451.00,451.00,67.00
0.314,,-62.95,67.35,1260.88,6.93,-7.77,-172.44,0.00,451.00,451.00,67.00
0.360,,-62.95,67.35,1260.88,6.93,-7.77,-172.44,0.00,451.00,451.00,67.00
0.407,,-62.95,67.35,1260.88,6.93,-7.77,-172.44,0.00,451.00,451.00,67.00
0.454,,-62.95,67.35,1260.88,6.93,-7.77,-172.44,0.00,451.00,451.00,67.00
0.500,,-62.95,67.35,1260.88,6.93,-7.77,-172.44,0.00,451.00,451.00,67.00
0.555,,-62.64,67.22,1255.08,6.65,-10.61,-173.37,0.00,451.00,451.00,67.00
0.606,,-62.64,67.22,1255.08,6.65,-10.61,-173.37,0.00,451.00,451.00,67.00
0.657,,-62.51,67.29,1253.33,7.50,-15.21,-176.18,0.00,451.00,451.00,67.00
0.717,,-62.91,67.52,1264.13,7.16,-10.41,-173.73,0.00,451.00,451.00,67.00
0.816,,-62.45,67.39,1255.40,7.32,-12.80,-176.77,0.00,451.00,451.00,67.00
0.871,,-62.45,67.39,1255.40,7.32,-12.80,-176.77,0.00,451.00,451.00,67.00
0.921,,-62.51,67.29,1253.33,7.50,-15.21,-176.18,0.00,451.00,451.00,67.00
0.972,,-62.45,67.39,1255.40,7.32,-12.80,-176.77,0.00,451.00,451.00,67.00
1.022,,-62.45,67.39,1255.40,7.32,-12.80,-176.77,0.00,451.00,451.00,67.00
1.074,,-62.45,67.39,1255.40,7.32,-12.80,-176.77,0.00,451.00,451.00,67.00
1.124,,-62.45,67.39,1255.40,7.32,-12.80,-176.77,0.00,451.00,451.00,67.00
1.188,,-62.45,67.39,1255.40,7.32,-12.80,-176.77,0.00,451.00,451.00,67.00
1.260,,-62.45,67.39,1255.40,7.32,-12.80,-176.77,0.00,451.00,451.00,67.00
1.343,,-62.45,67.39,1255.40,7.32,-12.80,-176.77,0.00,451.00,451.00,67.00
1.422,,-62.45,67.39,1255.40,7.32,-12.80,-176.77,0.00,451.00,451.00,67.00
1.474,,-62.45,67.39,1255.40,7.32,-12.80,-176.77,0.00,451.00,451.00,67.00
1.524,,-62.45,67.39,1255.40,7.32,-12.80,-176.77,0.00,451.00,451.00,67.00
1.574,,-62.45,67.39,1255.40,7.32,-12.80,-176.77,0.00,451.00,451.00,67.00
1.624,,-62.45,67.39,1255.40,7.32,-12.80,-176.77,0.00,451.00,451.00,67.00
1.676,,-62.45,67.39,1255.40,7.32,-12.80,-176.77,0.00,451.00,451.00,67.00
1.726,,-63.04,67.55,1261.31,6.30,2.87,165.88,0.00,451.00,451.00,67.00
1.778,,-62.31,67.67,1252.62,5.55,10.53,171.67,0.00,451.00,451.00,67.00
1.828,,-63.05,68.41,1252.79,5.55,10.48,171.65,0.00,451.00,451.00,67.00
1.877,,-55.25,62.19,1131.30,6.25,-16.92,-158.92,0.00,451.00,451.00,67.00
1.928,,-63.43,70.36,1256.36,7.07,-9.72,-176.46,0.00,451.00,451.00,67.00
1.981,,-62.47,70.08,1238.32,6.59,-15.01,-176.29,0.00,451.00,451.00,67.00
2.028,,-62.02,69.92,1228.85,7.18,-12.52,-174.07,0.00,451.00,451.00,67.00
2.078,,-61.47,69.16,1221.57,6.34,-12.81,-171.98,0.00,451.00,451.00,67.00
2.127,,-61.58,67.13,1220.73,5.05,7.72,164.66,0.00,451.00,451.00,67.00
2.176,,-61.47,63.80,1207.09,6.95,-11.48,-169.43,0.00,451.00,451.00,67.00
2.224,,-62.56,59.93,1201.80,5.55,5.01,160.09,0.00,451.00,451.00,67.00
2.273,,-62.56,56.63,1191.61,5.49,5.76,158.94,0.00,451.00,451.00,67.00
2.319,,-64.65,52.06,1187.08,6.02,-12.84,-165.47,0.00,451.00,451.00,67.00
2.369,,-67.05,47.88,1195.47,6.82,-12.54,-167.14,0.00,451.00,451.00,67.00
2.416,,-70.54,41.27,1198.98,6.45,4.79,161.31,0.00,451.00,451.00,67.00
2.464,,-75.99,33.46,1197.24,7.90,-11.42,-166.27,0.00,451.00,451.00,67.00
2.513,,-83.22,21.01,1194.54,8.18,-12.45,-162.18,0.00,451.00,451.00,67.00
2.560,,-95.04,10.70,1277.38,10.43,-3.94,178.61,0.00,451.00,451.00,67.00
2.606,,-93.15,-4.50,1189.35,9.50,3.68,158.38,0.00,451.00,451.00,67.00
2.651,,-94.90,-14.76,1174.86,8.67,-15.46,-157.41,0.00,451.00,451.00,67.00
2.699,,-98.77,-23.35,1181.44,9.07,-15.81,-157.23,0.00,451.00,451.00,67.00
2.747,,-102.61,-34.50,1174.04,9.58,5.07,155.14,0.00,451.00,451.00,67.00
2.794,,-107.30,-47.58,1168.02,10.08,5.78,156.56,0.00,451.00,451.00,67.00
2.843,,-108.76,-57.59,1153.84,9.98,4.85,153.98,0.00,451.00,451.00,67.00
2.896,,-108.93,-64.76,1147.93,10.09,6.33,154.23,0.00,451.00,451.00,67.00
2.946,,-107.18,-77.65,1142.26,8.44,-17.83,-147.52,0.00,451.00,451.00,67.00
2.994,,-106.08,-81.71,1133.04,9.15,4.57,150.58,0.00,451.00,451.00,67.00
3.043,,-104.99,-88.70,1127.93,9.28,5.93,150.90,0.00,451.00,451.00,67.00
3.093,,-105.19,-95.57,1129.92,9.99,4.61,150.14,0.00,451.00,451.00,67.00
3.146,,-103.71,-101.16,1123.17,7.54,-17.00,-141.10,0.00,451.00,451.00,67.00
3.198,,-100.31,-105.98,1115.71,8.48,5.39,149.43,0.00,451.00,451.00,67.00
3.248,,-98.41,-109.29,1138.33,6.72,-17.00,-142.93,0.00,451.00,451.00,67.00
3.299,,-96.66,-110.61,1152.53,9.14,5.67,154.57,0.00,451.00,451.00,67.00
3.349,,-92.92,-108.35,1135.93,8.33,6.61,153.06,0.00,451.00,451.00,67.00
3.411,,-93.86,-107.09,1151.71,9.15,6.01,155.87,0.00,451.00,451.00,67.00
3.470,,-96.61,-107.11,1174.81,9.33,6.36,159.67,0.00,451.00,451.00,67.00
3.521,,-99.08,-107.63,1196.33,9.35,5.17,161.65,0.00,451.00,451.00,67.00
3.569,,-100.53,-106.78,1211.04,7.82,-16.67,-154.59,0.00,451.00,451.00,67.00
3.620,,-100.18,-107.39,1222.00,7.89,-16.24,-155.94,0.00,451.00,451.00,67.00
3.672,,-99.64,-107.07,1224.60,6.46,-19.80,-156.89,0.00,451.00,451.00,67.00
3.723,,-101.36,-110.08,1250.06,8.54,-17.37,-161.55,0.00,451.00,451.00,67.00
3.772,,-102.01,-111.77,1253.69,9.70,8.46,170.64,0.00,451.00,451.00,67.00
3.820,,-102.35,-114.42,1271.33,8.20,-17.16,-163.13,0.00,451.00,451.00,67.00
3.866,,-102.67,-116.23,1278.35,10.31,4.32,171.52,0.00,451.00,451.00,67.00
3.914,,-102.00,-117.47,1271.59,8.18,-17.31,-163.36,0.00,451.00,451.00,67.00
3.965,,-102.81,-119.23,1267.95,8.42,-21.02,-165.17,0.00,451.00,451.00,67.00
4.016,,-103.69,-120.55,1278.15,8.78,-15.14,-162.56,0.00,451.00,451.00,67.00
4.061,,-106.01,-124.80,1286.18,11.13,6.62,172.71,0.00,451.00,451.00,67.00
4.108,,-105.55,-128.52,1285.00,11.12,6.55,172.52,0.00,451.00,451.00,67.00
4.156,,-106.29,-131.16,1296.18,11.21,6.37,174.89,0.00,451.00,451.00,67.00
4.204,,-109.83,-138.06,1339.17,12.09,1.55,-175.54,0.00,451.00,451.00,67.00
4.251,,-107.56,-137.64,1315.54,9.37,-15.29,-164.16,0.00,451.00,451.00,67.00
4.299,,-108.11,-139.85,1318.07,10.97,6.20,177.52,0.00,451.00,451.00,67.00
4.347,,-108.84,-142.57,1327.00,11.18,3.81,177.47,0.00,451.00,451.00,67.00
4.395,,-108.71,-143.36,1325.33,11.62,3.47,-179.15,0.00,451.00,451.00,67.00
4.443,,-107.92,-143.32,1315.28,8.57,-19.82,-166.38,0.00,451.00,451.00,67.00
4.491,,-108.74,-144.98,1324.99,9.22,-17.79,-166.60,0.00,451.00,451.00,67.00
4.539,,-109.06,-146.37,1329.19,12.54,6.77,-179.69,0.00,451.00,451.00,67.00
4.585,,-108.15,-145.86,1322.73,11.42,9.00,179.77,0.00,451.00,451.00,67.00
4.632,,-108.25,-146.14,1321.71,11.97,6.43,-179.91,0.00,451.00,451.00,67.00
4.680,,-108.25,-146.14,1321.71,11.97,6.43,-179.91,0.00,451.00,451.00,67.00
