Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg),Marker No,X ,Y ,R
0.039,,510.00,506.00,92.00,-9.23,-2.98,155.23,0.00,699.00,249.00,79.00
0.134,,512.00,507.00,91.00,-9.29,-2.11,159.87,0.00,699.00,249.00,79.00
0.207,,518.00,512.00,91.00,-9.60,-2.31,157.98,0.00,699.00,249.00,79.00
0.261,,522.00,515.00,93.00,-9.73,-0.69,153.91,0.00,699.00,249.00,79.00
0.321,,525.00,517.00,92.00,-10.32,-2.20,157.80,0.00,699.00,249.00,79.00
0.379,,528.00,518.00,93.00,-11.28,-1.33,154.54,0.00,699.00,249.00,79.00
0.438,,530.00,519.00,93.00,-10.95,-1.82,155.32,0.00,699.00,249.00,79.00
0.496,,534.00,520.00,93.00,-11.56,-0.38,154.95,0.00,699.00,249.00,79.00
0.564,,543.00,522.00,91.00,-11.59,-2.44,158.27,0.00,699.00,249.00,79.00
0.638,,545.00,522.00,90.00,-11.59,-1.37,158.75,0.00,699.00,249.00,79.00
0.710,,557.00,513.00,91.00,-12.95,0.05,157.00,0.00,699.00,249.00,79.00
0.792,,582.00,503.00,90.00,-14.70,-0.65,157.37,0.00,699.00,249.00,79.00
1.012,,673.00,435.00,89.00,-23.43,1.45,158.95,0.00,699.00,249.00,79.00
1.115,,693.00,413.00,88.00,-24.34,1.20,161.17,0.00,699.00,249.00,79.00
1.172,,700.00,405.00,89.00,-25.73,1.43,161.35,0.00,699.00,249.00,79.00
1.228,,711.00,394.00,89.00,-26.69,2.27,163.35,0.00,699.00,249.00,79.00
1.340,,727.00,376.00,87.00,-28.25,1.00,163.77,0.00,699.00,249.00,79.00
1.438,,735.00,362.00,84.00,-28.45,-0.03,170.85,0.00,699.00,249.00,79.00
1.494,,746.00,334.00,83.00,-29.17,-0.53,169.92,0.00,699.00,249.00,79.00
1.549,,749.00,291.00,82.00,-29.98,2.41,170.69,0.00,699.00,249.00,79.00
1.608,,745.00,284.00,79.00,-29.52,1.45,175.39,0.00,699.00,249.00,79.00
1.664,,737.00,273.00,79.00,-28.72,-0.64,177.10,0.00,699.00,249.00,79.00
1.721,,733.00,271.00,79.00,-25.67,16.00,-156.40,0.00,699.00,249.00,79.00
