Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg),Marker No,X ,Y ,R
0.035,,528.00,743.00,71.00,3.73,-2.49,170.98,0.00,173.00,295.00,71.00
0.122,,528.00,743.00,71.00,3.73,-2.49,170.98,0.00,173.00,295.00,71.00
0.193,,528.00,743.00,72.00,3.57,6.90,176.70,0.00,173.00,295.00,71.00
0.248,,528.00,743.00,72.00,3.57,6.90,176.70,0.00,173.00,295.00,71.00
0.303,,528.00,743.00,72.00,3.57,6.90,176.70,0.00,173.00,295.00,71.00
0.357,,528.00,744.00,73.00,3.12,6.14,176.09,0.00,173.00,295.00,71.00
0.419,,529.00,744.00,73.00,4.37,0.14,-175.16,0.00,173.00,295.00,71.00
0.485,,528.00,744.00,72.00,4.68,-9.54,171.71,0.00,173.00,295.00,71.00
0.538,,528.00,744.00,72.00,4.68,-9.54,171.71,0.00,173.00,295.00,71.00
0.605,,528.00,744.00,72.00,4.68,-9.54,171.71,0.00,173.00,295.00,71.00
0.668,,528.00,744.00,72.00,4.68,-9.54,171.71,0.00,173.00,295.00,71.00
0.731,,528.00,744.00,72.00,4.68,-9.54,171.71,0.00,173.00,295.00,71.00
0.806,,528.00,744.00,72.00,4.68,-9.54,171.71,0.00,173.00,295.00,71.00
0.916,,528.00,744.00,72.00,4.68,-9.54,171.71,0.00,173.00,295.00,71.00
0.995,,528.00,744.00,72.00,4.68,-9.54,171.71,0.00,173.00,295.00,71.00
1.055,,528.00,744.00,72.00,4.99,-8.42,167.96,0.00,173.00,295.00,71.00
1.109,,528.00,744.00,72.00,4.68,-9.54,171.71,0.00,173.00,295.00,71.00
1.163,,528.00,744.00,72.00,4.68,-9.54,171.71,0.00,173.00,295.00,71.00
1.215,,528.00,744.00,72.00,4.99,-8.42,167.96,0.00,173.00,295.00,71.00
1.288,,528.00,744.00,72.00,4.68,-9.54,171.71,0.00,173.00,295.00,71.00
1.383,,528.00,744.00,72.00,4.68,-9.54,171.71,0.00,173.00,295.00,71.00
1.448,,528.00,744.00,72.00,4.68,-9.54,171.71,0.00,173.00,295.00,71.00
1.504,,528.00,744.00,72.00,4.68,-9.54,171.71,0.00,173.00,295.00,71.00
1.557,,528.00,744.00,72.00,4.68,-9.54,171.71,0.00,173.00,295.00,71.00
1.611,,528.00,744.00,72.00,4.68,-9.54,171.71,0.00,173.00,295.00,71.00
1.666,,528.00,744.00,72.00,4.68,-9.54,171.71,0.00,173.00,295.00,71.00
1.721,,528.00,744.00,72.00,4.68,-9.54,171.71,0.00,173.00,295.00,71.00
1.774,,528.00,744.00,72.00,4.68,-9.54,171.71,0.00,173.00,295.00,71.00
1.829,,528.00,744.00,72.00,4.68,-9.54,171.71,0.00,173.00,295.00,71.00
1.884,,528.00,744.00,72.00,4.68,-9.54,171.71,0.00,173.00,295.00,71.00
1.936,,528.00,744.00,72.00,4.68,-9.54,171.71,0.00,173.00,295.00,71.00
1.990,,528.00,744.00,72.00,4.68,-9.54,171.71,0.00,173.00,295.00,71.00
2.046,,528.00,744.00,72.00,4.68,-9.54,171.71,0.00,173.00,295.00,71.00
2.101,,528.00,744.00,72.00,4.68,-9.54,171.71,0.00,173.00,295.00,71.00
2.151,,528.00,744.00,72.00,4.68,-9.54,171.71,0.00,173.00,295.00,71.00
2.202,,528.00,744.00,72.00,4.68,-9.54,171.71,0.00,173.00,295.00,71.00
2.254,,528.00,744.00,72.00,4.68,-9.54,171.71,0.00,173.00,295.00,71.00
2.305,,528.00,744.00,72.00,4.68,-9.54,171.71,0.00,173.00,295.00,71.00
2.356,,528.00,744.00,72.00,4.68,-9.54,171.71,0.00,173.00,295.00,71.00
2.403,,527.00,745.00,70.00,4.07,0.45,179.52,0.00,173.00,295.00,71.00
2.452,,527.00,746.00,72.00,4.81,-11.66,175.76,0.00,173.00,295.00,71.00
2.505,,527.00,746.00,72.00,3.56,6.81,176.66,0.00,173.00,295.00,71.00
