Time (s),Target,X (mm),Y (mm),Z (mm),Yaw,Pitch,Roll
0.045,1,-7.74,63.19,658.82,5.87,54.58,-179.36
0.167,1,-6.59,63.73,793.47,8.32,48.35,179.26
0.227,1,-5.21,62.23,809.31,10.12,47.41,-179.47
0.288,1,-6.40,61.91,818.49,11.03,45.59,-177.32
0.347,1,-6.39,59.96,811.52,9.53,46.86,-179.88
0.412,1,-6.60,60.80,813.99,9.79,46.09,-179.36
0.469,1,-3.93,61.54,793.80,13.18,46.67,-172.68
0.712,1,-20.18,144.17,1230.77,8.76,-0.83,179.73
0.774,1,-36.49,266.66,1799.52,9.76,1.44,-52.91
0.835,1,-18.65,151.73,1192.06,4.25,1.33,106.02
0.899,1,-21.11,152.72,1176.72,6.02,5.93,101.64
0.954,1,-60.50,369.78,2607.40,10.81,5.89,-5.60
1.013,1,-49.94,307.98,2261.10,9.82,-0.40,-107.31
1.075,1,-0.40,-2.58,191.83,-31.19,27.72,-170.15
1.134,1,-37.65,276.34,2072.50,10.09,-2.81,-127.00
1.193,1,-19.69,161.94,1253.70,9.25,2.77,102.74
1.257,1,-20.01,164.08,1295.94,7.19,2.15,116.38
1.316,1,-19.28,155.27,1231.17,7.62,2.09,116.64
1.377,1,-21.98,164.90,1312.80,7.69,1.96,121.72
1.436,1,-21.31,181.37,1461.40,9.08,-3.12,-152.10
1.497,1,-18.54,171.43,1382.99,7.41,-4.39,-149.77
1.562,1,-14.86,150.65,1231.28,7.15,3.92,132.09
1.617,1,-15.52,147.59,1203.15,7.31,3.14,129.58
1.677,1,-21.17,186.93,1264.82,6.29,-2.05,-70.61
1.739,1,-17.90,160.81,1308.62,8.26,-1.82,-147.07
1.798,1,-17.22,161.73,1314.45,7.74,-3.56,-149.97
1.859,1,-16.34,162.26,1320.93,8.38,-2.80,-150.14
1.920,1,-16.92,161.73,1314.86,6.89,-5.00,-146.76
1.981,1,-16.65,163.03,1318.23,7.58,-4.51,-149.03
2.042,1,-16.39,148.82,1208.69,7.36,3.17,127.24
2.102,1,-19.52,174.69,1409.44,8.82,-1.10,-150.29
2.160,1,-17.43,165.49,1339.18,8.61,-1.27,-148.89
2.224,1,-17.62,165.49,1342.64,8.80,-1.62,-147.30
2.284,1,-15.73,151.30,1227.91,7.19,3.70,128.24
2.402,2,-18.19,160.80,1296.68,7.99,-2.39,-143.47
2.462,2,-18.23,154.81,1252.82,7.72,2.30,128.39
2.525,2,-18.60,152.88,1236.56,8.59,-2.45,-140.61
2.584,2,-35.50,260.98,1770.48,8.80,-1.36,-59.68
2.643,2,-26.91,175.57,1411.34,9.00,-0.95,-140.29
2.705,2,-29.27,157.90,1259.06,9.84,0.69,116.13
2.765,2,-36.06,176.46,1342.60,10.77,1.34,-114.32
2.828,2,-55.96,206.37,1591.10,13.51,1.96,-111.84
2.886,2,-69.88,227.68,1678.46,23.62,2.33,-92.04
2.946,2,-48.13,149.37,1153.41,16.36,9.53,-104.06
3.009,2,-129.67,353.66,2578.93,35.36,9.67,-38.62
3.068,2,-74.62,205.66,1642.20,14.58,6.81,-118.49
3.129,2,-31.67,74.15,580.12,16.76,17.53,-91.23
3.189,2,-73.79,195.28,1573.10,15.15,7.68,-119.28
3.249,2,-71.58,189.22,1510.98,16.95,6.99,-112.05
3.309,2,-78.94,201.51,1609.81,15.47,8.19,-117.17
3.369,2,-79.09,201.64,1610.82,16.08,8.68,-112.41
3.429,2,-83.90,217.45,1712.58,16.56,8.18,-111.89
3.492,2,-75.08,200.80,1576.67,16.75,7.68,-107.84
3.552,2,-68.04,199.33,1555.60,15.86,5.82,-109.94
3.610,2,-6.41,-4.74,142.08,-61.81,13.93,-94.72
3.673,2,-69.73,208.69,1650.12,13.56,6.16,-118.03
3.731,2,-73.44,193.20,1528.50,15.35,8.75,-110.56
3.793,2,-74.23,177.79,1384.44,25.20,7.54,-97.56
3.853,2,-96.41,217.22,1705.74,29.18,13.90,-94.94
3.912,2,-170.64,361.92,2775.67,51.19,13.46,-58.36
3.976,2,-235.63,452.41,3575.98,55.13,12.22,-29.20
5.061,2,510.27,422.22,4823.26,-8.02,-46.67,-16.93
5.425,2,842.24,629.03,7546.09,-84.59,-12.26,-74.36
5.484,2,102.97,57.65,860.64,-33.23,-76.52,-120.15
5.544,2,166.09,97.67,1386.29,-70.13,14.28,-98.52
5.608,2,96.22,48.72,799.65,-51.35,-53.02,-106.18
5.666,2,240.44,115.49,1933.75,160.71,86.05,176.71
5.725,2,170.35,112.03,1468.85,-65.92,46.17,-100.53
5.786,2,42.71,17.09,368.33,46.49,-80.44,154.10
5.848,2,94.16,48.16,776.99,-44.48,-65.55,-111.74
5.910,2,1066.99,689.52,9205.90,97.86,-30.40,-112.31
5.969,2,186.80,85.15,1490.92,-71.45,-2.07,87.09
6.027,2,47.28,19.96,418.36,41.44,-81.03,160.39
6.089,2,67.70,35.90,572.80,-55.03,-37.18,-98.08
6.148,2,568.59,311.27,4651.27,-157.86,-59.17,16.18
6.209,2,270.47,157.59,2245.84,-118.45,49.44,26.05
6.269,2,83.84,45.10,708.78,-47.65,-58.85,-107.46
6.329,2,933.06,581.44,7943.74,79.59,-53.48,179.33
6.392,2,756.81,469.54,6352.67,-133.52,67.60,1.90
6.451,2,4219.44,2835.20,36633.54,-8.51,74.50,111.25
6.511,2,161801.90,122969.25,1464107.19,-65.70,-27.51,-112.72
6.573,2,1081.48,717.03,9345.97,51.37,-74.25,-14.71
6.631,2,59.42,26.61,502.93,2.00,-79.69,-162.07
6.692,2,272.12,148.21,2325.76,0.53,5.84,114.20
6.753,2,135.69,85.97,1162.72,-41.06,-57.23,-109.15
6.812,2,52.61,26.15,459.53,61.61,-80.68,144.50
6.875,2,91.37,50.66,776.50,-48.06,-55.39,-107.21
6.934,2,58.91,34.20,526.17,-54.76,-30.39,-103.29
6.995,2,239.62,146.98,2022.96,131.88,46.80,83.44
7.056,2,66.36,36.22,570.84,-57.71,-28.80,-101.59
7.114,2,47.26,20.37,417.81,1.80,-80.88,-159.80
7.175,2,1452.68,1043.83,12664.03,-82.69,-50.61,41.71
7.236,2,942.76,679.08,8314.89,-60.12,22.75,-114.13
7.296,2,8985.52,8021.43,86003.21,-54.02,-44.50,33.19
7.358,2,552.80,352.84,4702.61,-23.51,19.08,118.89
7.418,2,248.67,125.10,1994.59,-72.71,-55.36,-76.36
7.477,2,91.28,50.59,796.03,-55.24,-5.87,-101.85
7.542,2,845.99,602.35,7502.42,-24.87,23.66,117.58
7.599,2,1161.82,725.31,9915.22,-1.38,35.69,140.27
7.719,3,362.15,183.40,2939.33,-133.17,4.35,6.38
7.780,3,1047.18,735.64,9300.73,-18.26,28.65,128.42
7.842,3,227.47,126.87,1884.22,-42.28,-64.41,-108.73
