Time (s),Marker ID,X (mm),Y (mm),Z (mm)
0.063,0,-102.37,36.69,1769.25
0.131,0,-103.27,37.65,1784.87
0.197,0,-103.08,38.06,1784.15
0.265,0,-103.71,39.54,1802.46
0.332,0,-103.60,39.55,1802.95
0.399,0,-103.16,39.55,1802.37
0.467,0,-102.52,39.58,1802.79
0.533,0,-101.98,39.59,1802.71
0.601,0,-101.12,39.59,1801.79
0.668,0,-100.94,39.72,1816.38
0.735,0,-99.71,38.70,1798.82
0.802,0,-96.83,36.67,1753.30
0.869,0,-97.23,37.74,1782.57
0.936,0,-94.89,36.85,1767.42
1.003,0,-94.54,37.68,1777.29
1.070,0,-92.98,36.71,1769.96
1.137,0,-91.00,35.20,1736.80
1.204,0,-88.38,34.54,1694.09
1.272,0,-86.51,33.11,1672.27
1.339,0,-85.50,33.13,1671.98
1.406,0,-85.39,35.08,1715.69
1.473,0,-84.35,36.06,1719.54
1.540,0,-82.92,37.13,1705.39
1.607,0,-82.62,37.65,1709.94
1.674,0,-81.97,38.02,1699.43
1.741,0,-81.68,38.42,1698.68
2.076,0,-93.97,32.91,1617.61
2.143,0,-94.96,34.54,1623.04
2.211,0,-95.18,34.91,1622.79
2.278,0,-95.59,35.31,1623.75
2.346,0,-95.40,34.41,1610.36
2.412,0,-97.76,34.47,1623.25
2.479,0,-98.38,33.59,1619.27
2.546,0,-98.73,32.72,1606.91
2.613,0,-101.18,31.99,1628.75
2.681,0,-104.71,31.97,1642.16
2.748,0,-105.88,31.44,1628.05
2.815,0,-104.91,31.82,1617.05
2.882,0,-104.07,34.04,1646.40
2.949,0,-100.85,34.56,1648.00
3.018,0,-94.42,33.75,1621.78
3.218,0,-74.56,29.78,1601.60
3.754,0,-12.28,27.51,1466.62
3.822,0,-11.15,27.89,1477.28
3.888,0,-9.91,27.84,1456.30
3.955,0,-8.82,27.84,1456.39
4.022,0,-7.84,27.85,1456.84
4.089,0,-6.97,27.85,1456.89
4.157,0,-6.17,27.50,1447.81
4.224,0,-5.60,28.25,1468.35
4.292,0,-5.38,28.25,1468.25
4.359,0,-5.16,27.82,1437.49
4.425,0,-5.30,27.48,1446.44
4.492,0,-5.22,26.77,1454.51
4.559,0,-5.53,25.69,1452.55
4.626,0,-4.47,25.40,1452.99
4.694,0,-4.01,24.97,1450.73
4.761,0,-2.59,24.96,1450.08
4.827,0,-0.86,26.02,1460.88
4.895,0,0.33,25.63,1439.71
4.961,0,2.18,26.70,1451.41
5.029,0,2.85,26.71,1461.23
5.096,0,2.80,26.32,1440.34
5.163,0,2.59,26.64,1438.89
5.230,0,2.27,27.36,1440.61
5.298,0,1.31,27.03,1450.56
5.365,0,-0.31,26.30,1457.18
5.431,0,-1.95,25.25,1457.14
5.499,0,-3.06,25.29,1469.01
5.566,0,-4.81,25.35,1462.51
5.633,0,-6.40,26.12,1475.71
5.700,0,-7.31,26.47,1457.09
5.767,0,-8.96,27.95,1479.51
5.834,0,-10.82,28.37,1501.38
5.902,0,-13.07,28.36,1501.25
5.969,0,-14.62,29.06,1491.59
6.036,0,-15.88,29.08,1502.12
6.102,0,-16.98,28.97,1470.52
6.169,0,-19.14,29.76,1501.25
6.237,0,-20.41,29.67,1479.99
6.304,0,-21.86,29.67,1480.31
6.371,0,-22.80,29.27,1469.47
6.438,0,-23.63,30.02,1480.32
6.505,0,-24.29,29.99,1479.41
6.573,0,-24.80,30.03,1489.97
6.639,0,-25.29,29.99,1479.66
6.706,0,-25.41,30.00,1480.14
6.773,0,-25.41,30.00,1480.14
6.840,0,-25.82,29.26,1478.32
6.908,0,-26.44,27.85,1487.42
6.975,0,-27.04,24.57,1482.42
7.042,0,-27.77,19.90,1466.13
7.109,0,-28.54,14.82,1469.56
7.177,0,-28.97,8.48,1449.96
7.244,0,-29.61,1.92,1430.73
7.310,0,-30.77,-5.81,1435.65
7.377,0,-32.37,-13.60,1454.79
7.445,0,-34.01,-21.40,1469.72
7.511,0,-36.26,-27.66,1533.61
7.579,0,-35.94,-29.12,1519.24
7.646,0,-35.86,-27.64,1521.68
7.713,0,-37.62,-25.82,1537.63
7.780,0,-40.54,-24.35,1565.02
7.847,0,-41.78,-22.48,1541.14
7.914,0,-42.22,-20.30,1519.66
7.981,0,-42.54,-18.51,1511.54
8.048,0,-45.61,-17.66,1536.03
8.115,0,-47.03,-16.59,1538.63
