Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg),Marker No,X ,Y ,R
0.034,,-62.90,47.38,1251.93,7.40,-10.52,-172.97,0.00,511.00,682.00,67.00
0.118,,-62.90,47.38,1251.93,7.40,-10.52,-172.97,0.00,511.00,682.00,67.00
0.181,,-62.90,47.38,1251.93,7.40,-10.52,-172.97,0.00,511.00,682.00,67.00
0.234,,-62.90,47.38,1251.93,7.40,-10.52,-172.97,0.00,511.00,682.00,67.00
0.283,,-62.90,47.38,1251.93,7.40,-10.52,-172.97,0.00,511.00,682.00,67.00
0.330,,-62.90,47.38,1251.93,7.40,-10.52,-172.97,0.00,511.00,682.00,67.00
0.377,,-62.46,47.24,1243.63,7.07,-13.27,-173.23,0.00,511.00,682.00,67.00
0.422,,-62.46,47.24,1243.63,7.07,-13.27,-173.23,0.00,511.00,682.00,67.00
0.468,,-62.90,47.38,1251.93,7.40,-10.52,-172.97,0.00,511.00,682.00,67.00
0.516,,-62.90,47.38,1251.93,7.40,-10.52,-172.97,0.00,511.00,682.00,67.00
0.577,,-62.90,47.38,1251.93,7.40,-10.52,-172.97,0.00,511.00,682.00,67.00
0.628,,-62.90,47.38,1251.93,7.40,-10.52,-172.97,0.00,511.00,682.00,67.00
0.682,,-62.90,47.38,1251.93,7.40,-10.52,-172.97,0.00,511.00,682.00,67.00
0.775,,-62.90,47.38,1251.93,7.40,-10.52,-172.97,0.00,511.00,682.00,67.00
0.843,,-62.90,47.38,1251.93,7.40,-10.52,-172.97,0.00,511.00,682.00,67.00
0.920,,-62.90,47.38,1251.93,7.40,-10.52,-172.97,0.00,511.00,682.00,67.00
0.994,,-62.90,47.38,1251.93,7.40,-10.52,-172.97,0.00,511.00,682.00,67.00
1.050,,-62.90,47.38,1251.93,7.40,-10.52,-172.97,0.00,511.00,682.00,67.00
1.101,,-62.90,47.38,1251.93,7.40,-10.52,-172.97,0.00,511.00,682.00,67.00
1.151,,-62.90,47.38,1251.93,7.40,-10.52,-172.97,0.00,511.00,682.00,67.00
1.203,,-62.90,47.38,1251.93,7.40,-10.52,-172.97,0.00,511.00,682.00,67.00
1.259,,-62.90,47.38,1251.93,7.40,-10.52,-172.97,0.00,511.00,682.00,67.00
1.310,,-62.46,47.24,1243.63,7.07,-13.27,-173.23,0.00,511.00,682.00,67.00
1.359,,-62.90,47.38,1251.93,7.40,-10.52,-172.97,0.00,511.00,682.00,67.00
1.410,,-62.90,47.38,1251.93,7.40,-10.52,-172.97,0.00,511.00,682.00,67.00
1.456,,-62.90,47.38,1251.93,7.40,-10.52,-172.97,0.00,511.00,682.00,67.00
1.503,,-62.90,47.38,1251.93,7.40,-10.52,-172.97,0.00,511.00,682.00,67.00
1.549,,-62.90,47.38,1251.93,7.40,-10.52,-172.97,0.00,511.00,682.00,67.00
1.596,,-62.46,47.24,1243.63,7.07,-13.27,-173.23,0.00,511.00,682.00,67.00
1.644,,-62.46,47.24,1243.63,7.07,-13.27,-173.23,0.00,511.00,682.00,67.00
1.691,,-62.90,47.38,1251.93,7.40,-10.52,-172.97,0.00,511.00,682.00,67.00
1.738,,-62.96,47.60,1261.87,6.74,4.97,170.58,0.00,511.00,682.00,67.00
1.786,,-61.42,47.07,1252.57,6.21,8.40,171.16,0.00,511.00,682.00,67.00
