Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg)
0.024,0,-12.68,-36.98,310.94,-11.81,3.16,-176.73
0.080,0,-10.79,-36.44,310.38,-11.97,0.68,-174.08
0.148,0,-10.53,-35.96,308.69,-11.82,2.28,-178.72
0.192,0,-9.93,-35.60,309.02,-11.65,1.80,-177.15
0.233,0,-9.93,-35.56,308.15,-11.52,2.17,-178.78
0.275,0,-10.09,-35.51,307.54,-11.43,1.57,179.36
0.317,0,-12.26,-35.40,307.02,-11.75,1.43,177.89
0.360,0,-12.39,-35.21,307.84,-12.16,-0.32,-177.61
0.402,0,-12.00,-34.81,306.42,-11.73,1.33,-176.66
0.444,0,-12.09,-34.76,305.07,-11.61,2.13,-179.98
0.486,0,-12.42,-34.71,304.90,-11.18,1.97,179.71
0.527,0,-12.33,-34.97,306.50,-11.57,3.63,-177.36
0.569,0,-12.23,-34.90,306.36,-11.26,4.99,-177.62
0.616,0,-13.02,-35.30,306.93,-11.39,3.13,-179.72
0.666,0,-14.88,-35.58,306.64,-11.83,2.69,179.67
0.723,0,-16.26,-35.48,306.60,-11.78,2.31,-178.80
0.769,0,-16.42,-35.30,306.36,-11.27,2.03,-177.15
0.810,0,-17.09,-35.39,305.87,-11.88,2.10,179.83
0.859,0,-18.15,-35.53,306.04,-11.98,3.54,-178.35
0.900,0,-18.55,-35.71,306.92,-12.14,2.67,-177.37
0.941,0,-18.95,-35.96,306.73,-11.91,1.51,-179.41
0.982,0,-19.21,-35.92,307.09,-11.63,1.99,-177.27
1.023,0,-22.96,-36.11,307.64,-12.01,1.19,-179.11
1.065,0,-23.94,-36.01,308.12,-11.93,2.11,-177.43
1.108,0,-28.64,-36.50,307.29,-12.46,2.25,-178.62
1.151,0,-33.54,-37.63,307.68,-12.58,1.01,-178.02
1.193,0,-38.18,-38.39,308.92,-12.72,3.02,-176.90
1.236,0,-41.57,-38.90,309.44,-12.56,6.19,-175.53
1.283,0,-48.63,-40.70,312.38,-13.06,5.45,-174.87
1.332,0,-49.98,-41.14,314.09,-13.65,1.75,-175.71
1.382,0,-60.22,-43.09,316.74,-14.74,1.83,-174.65
1.427,0,-66.42,-43.87,316.69,-15.71,2.17,-172.22
1.476,0,-67.24,-44.35,317.62,-16.73,-3.42,-169.87
1.476,17,2226.58,-1789.34,5431.61,-112.16,23.12,165.90
1.520,0,-67.36,-44.03,315.26,-16.37,0.19,-169.33
1.564,0,-69.08,-44.23,316.94,-17.76,-4.10,-170.67
1.611,0,-69.31,-44.22,316.63,-18.93,-9.81,-172.77
1.669,0,-68.54,-43.73,315.78,-17.62,-5.08,-171.12
1.724,0,-67.68,-42.97,313.55,-16.37,-0.61,-169.80
1.771,0,-64.68,-42.28,313.74,-16.37,-0.65,-171.03
1.816,0,-61.06,-42.03,313.66,-16.09,-1.29,-171.63
1.860,0,-57.83,-41.88,312.97,-15.87,-0.89,-171.37
1.904,0,-52.58,-41.35,311.87,-14.63,1.58,-171.70
1.949,0,-46.04,-40.55,313.05,-14.58,0.17,-171.80
1.991,0,-37.62,-40.08,311.76,-14.66,-0.19,-174.81
2.034,0,-22.60,-37.72,308.69,-12.25,3.11,-175.97
2.077,0,-13.12,-36.62,306.07,-12.54,-3.29,178.32
2.122,0,-6.99,-35.27,305.27,-11.45,-3.17,176.79
2.166,0,3.19,-33.37,305.19,-9.79,1.87,177.05
2.211,0,7.90,-32.75,305.59,-9.51,4.86,-177.81
2.253,0,13.91,-30.94,304.70,-8.51,5.32,178.50
2.299,0,11.40,-30.77,304.30,-9.53,0.47,-167.67
2.342,0,8.62,-31.55,304.30,-9.19,4.63,178.56
