Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg)
1.737,0,-18.29,90.21,377.19,29.55,27.22,-172.54
1.790,0,-33.33,74.37,390.02,27.66,25.11,-172.60
1.843,0,-48.46,56.81,398.09,24.19,28.18,-175.41
1.901,0,-60.10,43.42,407.64,22.18,24.08,-177.12
1.962,0,-72.97,27.36,409.69,19.27,24.41,-178.89
2.018,0,-79.53,15.69,410.95,18.00,24.99,-178.52
2.071,0,-86.39,-3.18,409.21,17.28,31.02,-177.56
2.123,0,-88.26,-6.10,412.07,17.13,31.80,-177.51
2.177,0,-90.75,-12.56,412.65,16.53,30.98,-178.52
2.230,0,-93.97,-19.22,413.57,15.48,28.84,-178.88
2.282,0,-93.94,-19.79,410.02,15.42,28.86,-178.33
2.282,17,424.44,685.68,2595.24,6.08,6.10,-128.46
2.334,0,-94.41,-19.24,411.51,15.54,29.46,-178.70
2.335,17,415.38,668.15,2530.37,3.73,11.02,-126.53
2.387,0,-96.24,-17.06,407.88,15.58,31.14,-177.95
2.440,0,-97.25,-15.60,405.88,15.46,31.49,-177.86
2.494,0,-99.69,-14.16,408.10,15.32,29.31,-177.29
2.546,0,-99.19,-13.38,408.99,15.24,28.18,-177.61
2.546,17,420.28,677.92,2567.41,4.05,10.13,-126.91
2.598,0,-97.99,-12.25,408.76,15.40,29.64,-177.45
2.599,17,437.83,707.79,2682.11,4.73,4.76,-129.46
2.650,0,-94.69,-10.62,405.79,15.50,30.55,-177.38
2.701,0,-88.33,-8.19,400.25,16.29,28.98,-175.63
2.753,0,-79.56,-5.37,399.04,16.90,26.40,-175.54
2.805,0,-62.12,-2.12,392.69,18.57,27.96,-175.22
2.857,0,-56.94,-1.54,390.95,18.41,27.89,-175.91
2.909,0,-47.78,-0.67,389.29,18.88,26.86,-176.07
2.909,17,433.43,699.12,2647.71,4.71,8.33,-127.79
2.960,0,-33.00,-0.67,383.73,18.95,23.33,-175.64
3.013,0,-22.31,-1.22,380.47,19.16,22.20,-176.62
3.066,0,-15.94,-1.16,379.64,19.29,22.53,-176.39
3.118,0,-6.72,-1.16,375.44,19.68,22.55,-176.58
3.168,0,0.80,-1.38,373.24,19.97,21.10,-176.81
3.218,0,7.40,-1.47,370.42,19.74,20.06,-176.88
3.270,0,14.46,-1.84,368.69,19.89,18.79,-176.60
3.321,0,21.81,-2.37,369.05,20.61,16.90,-176.20
3.372,0,26.09,-3.07,366.52,21.02,20.51,-177.10
3.424,0,28.76,-3.80,367.48,21.07,19.05,-177.70
3.475,0,29.19,-4.13,363.25,21.33,20.99,-176.53
3.525,0,29.10,-3.90,365.91,20.87,18.19,-177.99
3.577,0,28.02,-3.55,365.22,21.26,19.07,-177.37
3.626,0,27.00,-3.26,364.61,21.18,20.15,-176.50
3.675,0,27.55,-2.65,364.82,20.78,18.64,-177.20
3.726,0,28.88,-2.19,364.60,20.74,18.18,-176.98
3.779,0,29.45,-2.17,365.88,20.95,17.11,-176.22
3.829,0,30.02,-1.91,363.83,20.82,18.74,-176.84
3.880,0,30.16,-1.23,362.23,20.86,19.19,-178.04
3.929,0,28.59,-0.67,361.28,21.18,18.55,-175.82
3.980,0,27.67,-0.52,360.32,20.82,17.44,-176.84
4.035,0,26.89,-0.07,360.72,20.99,18.91,-175.67
4.093,0,27.08,0.25,362.70,20.73,17.85,-176.65
4.146,0,25.97,0.25,361.64,20.84,18.97,-176.20
4.196,0,25.69,0.52,360.76,20.58,19.07,-176.21
4.245,0,25.63,0.89,360.15,20.44,17.72,-177.06
4.297,0,25.61,1.39,360.66,20.62,17.61,-176.81
4.351,0,24.59,1.43,360.36,20.24,18.26,-177.36
4.401,0,23.81,1.75,358.08,20.44,18.97,-176.86
4.426,0,23.29,2.39,359.16,20.58,18.25,-175.75
4.476,0,23.00,2.69,358.74,20.49,18.22,-176.69
4.525,0,22.65,2.70,358.93,20.38,17.58,-176.62
4.576,0,21.70,2.54,356.62,20.57,18.54,-175.52
4.626,0,21.40,2.22,358.15,20.22,17.23,-175.94
4.675,0,21.98,2.21,358.87,20.11,17.88,-176.48
4.725,0,22.47,2.22,360.23,20.29,17.19,-176.72
4.776,0,22.39,2.50,359.81,20.15,17.04,-176.49
4.824,0,21.45,2.64,358.15,20.23,17.69,-176.60
