Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg)
0.035,,-101.37,114.60,793.63,2.21,35.09,170.16
0.142,,-101.19,114.53,793.17,2.15,35.55,169.74
0.204,,-99.08,114.38,788.04,2.44,35.23,169.32
0.282,,-93.82,114.82,783.86,3.44,34.61,170.30
0.339,,-87.02,116.94,783.81,4.04,34.22,171.07
0.397,,-84.45,120.49,781.00,3.59,33.36,170.68
0.453,,-83.47,125.09,786.37,2.66,31.70,170.05
0.510,,-82.82,127.83,790.51,2.37,30.95,169.75
0.581,,-81.92,127.46,788.95,1.48,30.23,170.02
0.642,,-79.68,130.27,792.05,1.83,29.64,169.91
0.705,,-74.59,131.37,795.36,2.32,28.67,169.37
0.771,,-73.07,131.14,803.22,1.76,29.04,168.33
0.831,,-71.74,129.24,803.84,1.76,29.58,168.98
0.894,,-69.33,126.66,803.46,1.63,31.28,168.72
0.950,,-67.99,126.35,819.36,2.28,28.38,169.25
1.010,,-63.21,124.24,825.06,2.12,28.65,169.48
1.071,,-57.94,121.74,828.40,1.88,29.29,168.58
1.132,,-54.42,118.06,839.91,1.88,28.97,167.66
1.194,,-50.50,111.74,844.42,1.88,28.81,167.49
1.281,,-49.10,106.48,852.52,1.46,29.25,166.71
1.342,,-42.45,99.74,865.27,2.62,28.99,165.53
1.397,,-40.25,93.75,864.12,1.98,30.48,164.93
1.453,,-37.95,91.72,872.77,2.87,30.84,165.34
1.508,,-37.33,88.07,871.22,2.27,31.08,164.38
1.563,,-35.92,84.61,879.85,3.32,29.73,164.96
1.618,,-35.10,78.12,876.89,2.76,30.71,163.82
1.675,,-35.62,75.68,876.51,3.52,31.77,164.54
1.730,,-37.13,73.79,887.77,3.40,30.64,163.54
1.787,,-40.50,69.96,887.33,2.88,29.90,162.96
1.843,,-49.09,64.08,888.16,2.30,31.00,163.20
1.897,,-56.10,62.29,889.17,1.58,32.07,163.11
1.953,,-59.98,61.83,890.04,1.58,32.82,163.50
2.007,,-71.05,59.85,888.25,0.87,33.24,162.75
2.062,,-78.21,59.02,893.69,0.57,32.81,162.67
2.117,,-82.26,58.92,895.78,-0.20,33.40,162.76
2.172,,-94.49,58.01,891.14,-0.69,34.87,162.87
2.228,,-104.48,57.31,894.25,-2.65,35.82,161.41
2.282,,-105.37,57.07,894.76,-2.65,35.68,161.39
2.337,,-110.65,55.75,894.91,-2.64,36.28,161.70
2.393,,-113.52,56.64,904.62,-2.65,36.46,161.62
2.448,,-113.35,56.21,899.90,-3.04,36.26,161.56
2.505,,-113.99,55.70,909.59,-2.92,35.63,161.37
2.562,,-112.18,54.44,907.53,-2.85,35.39,160.90
2.618,,-111.35,53.68,908.81,-2.05,35.90,161.71
2.677,,-109.65,52.78,902.87,-2.88,36.79,162.35
2.737,,-106.32,51.65,908.02,-2.72,35.78,161.13
