Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg)
1.890,0,103.17,-47.16,361.92,18.32,-0.15,162.97
1.939,0,88.81,-46.10,364.13,18.69,-0.37,161.19
1.984,0,85.74,-49.78,366.67,19.54,-0.07,162.92
2.030,0,90.71,-53.58,388.35,20.20,1.28,162.13
2.206,0,68.74,-58.02,412.45,23.27,-0.51,164.09
2.256,0,51.21,-49.84,374.11,22.86,-0.26,164.16
2.307,0,44.20,-48.19,376.72,22.50,0.12,162.68
2.353,0,39.01,-47.48,381.36,22.49,-0.22,164.82
2.398,0,33.83,-46.04,385.62,21.62,-0.11,164.54
2.445,0,29.21,-43.75,386.67,21.32,0.38,166.45
2.491,0,23.01,-39.39,389.34,20.30,1.02,167.38
2.536,0,12.70,-31.33,393.34,18.81,0.57,166.08
2.582,0,5.76,-26.36,393.32,18.53,1.16,165.30
2.626,0,2.61,-23.26,395.86,17.97,0.28,166.44
2.671,0,0.83,-20.17,393.76,17.82,-0.67,165.59
2.717,0,-4.21,-11.33,393.45,17.14,0.32,170.87
2.766,0,-15.41,9.19,388.02,14.97,-8.01,-178.03
2.815,0,-19.26,15.38,385.58,14.41,-11.15,-178.73
2.862,0,-24.04,21.39,383.65,12.95,0.29,174.49
2.916,0,-26.12,24.58,378.56,12.68,-5.67,-179.07
2.964,0,-27.87,27.00,376.67,12.43,-8.98,179.79
3.019,0,-29.00,31.70,375.98,12.06,-8.85,178.25
3.070,0,-30.34,34.68,376.52,11.74,-6.87,179.59
3.121,0,-32.16,36.83,377.55,10.49,2.64,169.72
3.171,0,-33.98,38.76,377.41,9.89,4.84,170.64
3.226,0,-37.09,41.66,377.82,9.11,7.10,172.24
3.276,0,-38.23,42.64,377.97,9.08,7.39,172.96
3.326,0,-38.75,43.02,380.04,9.05,6.21,171.52
3.377,0,-39.41,43.75,381.27,9.35,3.82,171.16
3.431,0,-41.40,45.75,379.67,8.33,7.05,169.34
3.482,0,-44.19,48.71,381.60,7.92,5.68,168.73
3.531,0,-47.70,52.03,384.43,8.18,2.88,168.76
3.580,0,-49.02,52.74,381.29,6.58,8.71,169.21
3.630,0,-52.46,55.67,386.16,6.65,5.45,169.13
3.678,0,-54.88,57.42,388.57,6.45,6.30,169.02
3.727,0,-55.07,57.68,387.51,6.29,7.28,170.87
3.773,0,-55.33,57.46,389.23,6.59,5.86,168.86
3.822,0,-55.36,58.22,390.45,6.96,4.90,170.01
3.868,0,-54.60,58.97,389.06,6.48,5.95,169.94
3.916,0,-53.52,59.46,386.97,6.46,5.61,168.98
3.965,0,-52.85,60.02,386.28,6.17,6.28,169.42
4.014,0,-49.07,60.61,384.86,6.77,4.06,169.60
4.064,0,-46.96,60.20,383.96,7.10,3.27,169.34
4.113,0,-42.62,59.30,381.62,7.44,4.50,170.90
4.160,0,-38.26,57.79,378.75,7.35,5.53,170.30
4.208,0,-35.80,58.00,380.33,9.13,-6.40,174.48
4.257,0,-31.03,56.78,377.14,7.58,5.67,170.42
4.304,0,-26.25,54.41,374.37,8.27,4.52,172.25
4.354,0,-22.37,51.64,373.89,8.77,3.74,171.60
4.409,0,-19.11,48.54,372.10,8.84,4.77,169.43
4.458,0,-17.30,47.44,372.50,10.41,-4.04,178.11
4.507,0,-15.49,46.64,374.62,10.35,-1.87,175.98
4.555,0,-13.77,45.99,373.47,9.57,6.87,172.21
4.603,0,-11.25,46.89,375.40,10.20,2.40,174.63
4.651,0,-8.71,47.07,374.27,9.62,5.55,172.64
4.698,0,-5.22,48.09,373.45,10.31,1.90,175.64
4.744,0,-4.11,48.57,372.19,10.07,3.78,172.61
4.791,0,-3.77,49.24,371.68,11.19,-3.73,172.62
4.843,0,-4.43,49.54,372.82,9.03,7.23,169.88
4.893,0,-4.15,49.86,373.24,9.83,3.36,170.29
4.939,0,-4.09,50.10,371.96,8.90,7.14,171.23
4.987,0,-1.74,53.24,367.07,7.41,10.44,173.98
5.033,0,2.72,57.34,359.12,6.92,11.95,177.80
5.083,0,9.53,64.40,343.89,4.73,18.53,178.94
