Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg),Marker No,X ,Y ,R
0.032,,-67.79,68.10,1251.40,7.33,-8.27,-172.99,0.00,577.00,296.00,88.00
0.114,,-68.13,68.63,1254.53,7.55,-10.07,-173.68,0.00,577.00,296.00,88.00
0.186,,-68.13,68.63,1254.53,7.55,-10.07,-173.68,0.00,577.00,296.00,88.00
0.245,,-68.13,68.63,1254.53,7.55,-10.07,-173.68,0.00,577.00,296.00,88.00
0.290,,-68.13,68.63,1254.53,7.55,-10.07,-173.68,0.00,577.00,296.00,88.00
0.339,,-68.13,68.63,1254.53,7.55,-10.07,-173.68,0.00,577.00,296.00,88.00
0.384,,-68.13,68.63,1254.53,7.55,-10.07,-173.68,0.00,577.00,296.00,88.00
0.432,,-68.13,68.63,1254.53,7.55,-10.07,-173.68,0.00,577.00,296.00,88.00
0.481,,-68.13,68.63,1254.53,7.55,-10.07,-173.68,0.00,577.00,296.00,88.00
0.531,,-68.13,68.63,1254.53,7.55,-10.07,-173.68,0.00,577.00,296.00,88.00
0.587,,-68.16,68.39,1257.12,6.62,1.26,163.41,0.00,577.00,296.00,88.00
0.639,,-67.67,68.38,1246.67,7.28,-12.86,-174.07,0.00,577.00,296.00,88.00
0.706,,-67.67,68.38,1246.67,7.28,-12.86,-174.07,0.00,577.00,296.00,88.00
0.799,,-67.84,68.26,1251.20,6.74,2.12,165.53,0.00,577.00,296.00,88.00
0.888,,-67.67,68.38,1246.67,7.28,-12.86,-174.07,0.00,577.00,296.00,88.00
1.003,,-67.84,68.26,1251.20,6.74,2.12,165.53,0.00,577.00,296.00,88.00
1.049,,-67.84,68.26,1251.20,6.74,2.12,165.53,0.00,577.00,296.00,88.00
1.098,,-67.67,68.38,1246.67,7.28,-12.86,-174.07,0.00,577.00,296.00,88.00
1.143,,-67.80,68.39,1253.50,6.62,4.68,166.16,0.00,577.00,296.00,88.00
1.191,,-67.84,68.26,1251.20,6.74,2.12,165.53,0.00,577.00,296.00,88.00
1.247,,-68.13,68.63,1254.53,7.55,-10.07,-173.68,0.00,577.00,296.00,88.00
1.313,,-67.80,68.39,1253.50,6.62,4.68,166.16,0.00,577.00,296.00,88.00
1.387,,-67.80,68.39,1253.50,6.62,4.68,166.16,0.00,577.00,296.00,88.00
