Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg)
0.029,0,-12.64,-62.19,370.15,-6.21,31.33,179.14
0.089,0,-12.22,-61.56,369.55,-6.02,31.83,179.25
0.135,0,-11.54,-61.20,370.58,-6.05,31.17,179.17
0.184,0,-11.38,-61.38,371.30,-6.26,30.72,179.05
0.233,0,-10.71,-61.20,370.59,-6.15,30.26,179.43
0.283,0,-10.39,-60.44,368.54,-5.81,31.63,179.78
0.332,0,-10.32,-60.24,369.10,-6.13,30.24,179.95
0.381,0,-10.85,-59.69,369.56,-6.42,29.74,179.16
0.434,0,-10.71,-59.80,367.85,-5.70,31.31,179.96
0.482,0,-10.61,-59.81,368.24,-6.21,31.13,179.53
0.530,0,-10.03,-59.76,368.64,-5.98,30.65,179.96
0.577,0,-9.49,-59.94,368.24,-6.03,30.04,179.55
0.628,0,-8.26,-59.27,368.49,-6.20,29.35,179.96
0.673,0,-7.25,-58.84,367.56,-6.39,28.88,179.80
0.729,0,6.39,-56.13,362.46,-5.41,26.03,-177.06
0.788,0,18.64,-51.98,355.26,-4.78,22.27,-175.54
0.836,0,31.11,-48.45,349.12,-4.13,20.31,-175.83
0.883,0,46.95,-42.08,335.95,-3.80,18.63,-177.13
0.927,0,51.87,-40.49,330.32,-3.55,20.22,-177.87
0.974,0,55.19,-39.19,326.19,-3.31,19.94,-179.92
1.021,0,55.71,-38.85,325.08,-3.47,20.78,-179.60
1.066,0,54.11,-39.60,325.69,-3.11,21.34,-178.99
1.113,0,51.07,-40.36,327.89,-3.49,19.91,179.92
1.158,0,46.62,-41.44,329.59,-3.05,20.81,180.00
1.205,0,41.48,-42.83,332.21,-3.07,23.00,-177.96
1.259,0,33.64,-44.80,337.93,-2.87,21.75,-177.69
1.304,0,25.29,-47.73,343.02,-3.03,22.80,-178.21
1.351,0,18.86,-49.93,344.72,-3.66,25.05,-178.49
1.397,0,5.24,-54.73,352.39,-4.11,28.30,-178.93
1.444,0,-3.03,-57.80,355.38,-5.01,29.85,-179.00
1.497,0,-6.67,-59.26,358.07,-5.13,30.62,-179.56
1.555,0,-10.63,-61.04,359.26,-5.04,32.86,179.99
1.603,0,-11.73,-62.00,360.16,-5.28,32.73,179.84
1.650,0,-9.44,-61.53,359.77,-5.28,32.19,-179.77
1.694,0,-6.64,-60.60,359.33,-4.97,31.58,-179.50
1.741,0,1.01,-57.54,354.73,-4.60,29.66,-178.74
1.789,0,7.50,-54.72,349.98,-4.60,29.85,-177.98
1.836,0,16.45,-50.78,346.29,-4.37,26.69,-176.77
1.881,0,22.62,-47.78,341.67,-4.07,25.78,-176.76
1.928,0,28.18,-45.50,337.22,-3.59,26.68,-176.55
1.975,0,34.50,-43.16,333.93,-3.59,26.19,-176.41
2.019,0,38.92,-42.07,332.83,-3.97,23.55,-178.09
2.065,0,41.75,-41.06,330.92,-3.96,22.05,-178.66
2.109,0,42.92,-40.54,330.67,-3.96,22.71,-177.94
2.151,0,42.88,-40.55,330.39,-3.82,22.79,-177.46
2.196,0,42.21,-40.63,330.73,-3.97,21.81,-179.05
2.241,0,37.83,-42.70,334.58,-3.76,21.92,-179.37
2.287,0,27.91,-45.59,338.66,-4.36,25.04,-178.91
2.333,0,25.24,-46.27,339.32,-4.21,26.40,-177.93
2.379,0,17.93,-48.18,342.97,-4.12,27.40,-178.50
2.425,0,12.40,-49.50,345.32,-4.55,28.83,-178.50
2.473,0,4.70,-52.60,349.55,-4.43,30.72,-178.63
2.518,0,4.09,-53.19,351.47,-4.74,29.42,-179.68
2.566,0,1.25,-54.94,352.77,-4.54,30.51,-179.52
