Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg)
0.010,,-291.89,-57.59,1364.33,3.99,15.09,171.28
0.029,,-293.07,-57.63,1369.86,3.47,14.73,169.94
0.053,,-291.89,-57.59,1364.33,3.99,15.09,171.28
0.086,,-292.76,-57.38,1369.35,4.04,15.81,172.59
0.108,,-294.39,-56.90,1383.10,4.46,14.61,173.00
0.132,,-287.85,-55.31,1354.29,4.53,16.90,171.96
0.154,,-292.91,-56.66,1377.17,4.43,14.04,171.72
0.171,,-290.85,-56.31,1363.45,3.96,15.25,171.24
0.189,,-292.22,-55.95,1369.86,3.45,14.76,169.88
0.206,,-293.01,-57.91,1376.63,3.50,15.27,171.17
0.222,,-289.18,-57.86,1360.61,4.05,16.51,170.77
0.238,,-287.85,-56.26,1357.34,4.48,15.70,172.57
0.253,,-292.06,-56.67,1377.24,4.43,14.07,171.73
0.271,,-292.06,-57.51,1377.27,4.44,14.06,171.76
0.286,,-292.07,-58.36,1377.31,4.45,14.06,171.78
0.302,,-291.62,-57.51,1377.21,4.41,14.04,171.63
0.318,,-288.33,-56.32,1363.65,3.97,15.33,171.25
0.333,,-293.29,-57.88,1391.33,4.91,12.78,172.27
0.349,,-285.35,-55.32,1354.50,4.54,16.97,171.97
0.364,,-287.96,-54.36,1366.90,4.98,15.97,172.44
0.380,,-289.49,-54.87,1374.22,4.47,15.43,171.12
0.398,,-291.81,-56.18,1386.33,4.40,13.37,173.65
0.414,,-290.57,-57.77,1383.52,4.52,14.75,173.17
0.430,,-290.13,-57.77,1383.49,4.49,14.73,173.05
0.446,,-288.66,-55.84,1377.47,4.43,14.17,171.71
0.462,,-288.65,-55.00,1377.43,4.42,14.17,171.69
0.477,,-291.94,-56.98,1390.02,3.98,14.32,171.75
0.492,,-289.52,-57.52,1377.48,4.45,14.14,171.77
0.508,,-290.98,-56.91,1383.38,4.47,14.71,173.02
0.532,,-290.56,-55.95,1380.34,4.55,16.01,172.49
0.564,,-290.56,-55.95,1380.34,4.55,16.01,172.49
0.584,,-293.19,-56.12,1389.77,3.94,14.25,171.59
0.607,,-295.77,-56.96,1389.61,3.94,14.18,171.61
0.631,,-294.83,-56.77,1380.03,4.55,15.88,172.49
0.650,,-297.47,-55.25,1389.40,3.92,14.14,171.55
0.672,,-294.27,-53.56,1373.36,3.52,16.50,170.58
0.693,,-300.28,-55.47,1395.35,3.98,14.71,172.94
0.722,,-301.15,-56.32,1395.32,3.99,14.68,172.97
0.751,,-298.09,-55.35,1376.11,3.46,15.13,171.06
0.771,,-304.14,-55.56,1398.00,3.88,13.26,173.46
0.795,,-304.58,-56.18,1391.97,4.03,15.83,172.32
0.814,,-305.44,-56.18,1391.90,4.03,15.81,172.32
0.831,,-302.23,-56.14,1370.31,3.16,18.44,172.48
0.849,,-305.26,-56.37,1381.14,3.68,18.51,172.43
0.869,,-306.10,-55.63,1383.97,3.62,17.36,173.01
0.887,,-309.22,-56.57,1396.15,3.59,16.45,170.55
0.904,,-306.55,-56.36,1381.06,3.71,18.49,172.51
0.921,,-307.82,-56.20,1381.95,3.12,17.50,170.08
0.938,,-309.17,-55.90,1380.17,2.72,19.46,171.83
0.954,,-310.88,-56.74,1380.07,2.73,19.41,171.86
0.972,,-313.68,-58.12,1387.71,3.16,17.89,171.24
0.990,,-314.16,-58.51,1386.92,2.21,18.95,170.73
1.006,,-316.60,-58.51,1391.89,2.71,18.51,169.59
1.025,,-316.73,-58.49,1386.72,2.21,18.88,170.72
1.044,,-321.72,-60.59,1400.90,2.71,17.80,171.27
1.062,,-325.18,-61.81,1399.68,1.73,18.75,170.69
1.081,,-325.95,-62.09,1391.68,2.27,19.18,171.87
1.102,,-325.51,-62.34,1383.25,1.85,20.57,172.44
1.120,,-330.57,-63.41,1397.32,0.77,19.72,170.20
1.140,,-334.05,-63.60,1401.78,1.83,20.16,171.29
1.157,,-337.43,-64.90,1406.70,2.35,19.77,170.25
1.175,,-342.57,-66.66,1416.99,1.29,19.10,171.82
1.199,,-346.96,-67.50,1416.69,1.29,18.98,171.84
1.224,,-343.99,-66.50,1400.01,0.88,20.84,170.80
1.245,,-355.35,-69.08,1427.07,0.83,19.96,171.24
1.265,,-352.78,-68.14,1398.97,1.02,23.10,170.77
1.282,,-361.28,-69.52,1418.56,-0.21,20.24,169.62
1.301,,-366.00,-70.60,1422.97,-1.20,21.54,170.06
1.319,,-364.11,-70.39,1401.79,0.04,24.20,171.13
1.338,,-367.59,-71.23,1401.57,0.05,24.10,171.15
1.355,,-378.06,-73.03,1428.62,0.01,23.42,171.63
1.372,,-381.22,-74.28,1415.19,-0.39,25.44,171.51
1.388,,-387.34,-75.33,1422.93,-0.99,24.93,170.50
1.404,,-386.95,-75.20,1416.51,-0.33,26.69,171.83
1.423,,-395.47,-76.49,1428.70,-0.89,26.74,171.75
1.440,,-395.13,-76.60,1422.58,-0.85,26.93,170.39
1.459,,-402.43,-77.92,1435.00,-1.44,26.99,170.27
1.482,,-397.22,-76.08,1409.21,-1.31,28.75,170.20
1.499,,-404.74,-76.37,1427.07,-0.79,28.67,171.53
1.515,,-404.90,-76.63,1423.69,-0.81,28.03,170.70
1.531,,-406.48,-76.23,1424.43,-0.76,29.39,170.99
1.547,,-402.49,-75.26,1410.47,-1.28,29.92,170.45
1.562,,-406.18,-75.69,1422.62,-0.72,30.13,170.48
1.578,,-410.21,-75.78,1436.71,-0.20,29.60,171.00
1.595,,-408.58,-75.04,1431.00,-1.36,29.80,169.51
1.611,,-405.23,-74.69,1420.04,-0.71,30.92,169.94
1.626,,-405.23,-74.69,1420.04,-0.71,30.92,169.94
1.643,,-408.36,-75.53,1431.84,-1.36,29.75,169.49
1.659,,-408.89,-75.58,1432.90,-1.39,29.05,170.02
1.675,,-413.24,-76.16,1448.14,-0.87,28.44,170.54
1.691,,-403.06,-74.11,1413.21,-0.15,30.52,171.34
1.707,,-405.78,-74.08,1425.14,-0.81,29.37,170.91
1.722,,-407.75,-74.30,1433.66,-1.41,29.05,170.00
1.739,,-404.90,-74.08,1425.21,-0.81,29.39,170.91
1.754,,-408.91,-74.15,1439.35,-0.30,28.85,171.43
1.769,,-405.37,-73.33,1427.65,-0.88,28.59,171.38
1.785,,-404.69,-72.85,1426.87,-0.87,28.67,171.40
1.803,,-403.10,-73.13,1423.63,-0.89,28.08,170.58
1.818,,-409.54,-74.31,1446.41,-0.97,27.15,170.16
1.834,,-406.23,-74.09,1437.94,-0.36,27.53,171.13
1.849,,-402.81,-73.73,1426.63,0.29,28.72,171.55
1.865,,-405.34,-74.10,1438.01,-0.36,27.56,171.13
1.880,,-404.45,-74.10,1438.07,-0.36,27.59,171.13
1.897,,-403.49,-73.97,1435.48,-0.32,28.42,170.61
1.913,,-401.71,-73.99,1435.61,-0.31,28.48,170.61
1.929,,-400.29,-73.85,1432.97,-0.26,29.33,170.13
1.945,,-402.65,-75.22,1446.37,0.21,27.36,170.34
1.962,,-401.15,-74.71,1445.08,-0.89,28.18,169.69
1.977,,-399.38,-74.20,1443.64,0.26,28.29,169.83
1.994,,-398.15,-73.47,1446.62,0.19,27.49,170.28
2.009,,-394.25,-72.10,1441.52,0.79,28.53,172.06
2.025,,-390.16,-69.26,1437.38,0.71,28.07,171.14
2.041,,-387.80,-65.99,1442.92,2.87,27.14,173.26
2.057,,-381.10,-61.77,1432.28,4.32,25.32,174.45
2.072,,-377.52,-57.49,1434.96,4.19,24.56,174.91
2.087,,-372.42,-54.66,1424.10,4.59,23.51,175.50
2.102,,-365.92,-49.30,1414.53,6.00,22.34,177.71
2.118,,-349.78,-41.86,1369.53,5.84,24.10,178.66
2.132,,-344.80,-35.87,1366.06,8.48,19.93,-177.82
2.148,,-339.59,-28.29,1364.09,9.13,16.39,-176.34
2.164,,-328.90,-23.68,1328.60,9.43,17.96,-174.79
2.180,,-327.11,-16.12,1339.94,13.37,-39.85,167.51
2.195,,-317.13,-8.09,1313.42,11.77,13.80,-172.15
2.211,,-311.03,-0.92,1304.07,15.44,-37.29,163.67
2.226,,-308.08,5.86,1302.69,14.93,-33.61,163.75
2.244,,-304.98,12.61,1298.82,14.41,-29.93,163.77
2.259,,-301.96,18.49,1292.69,14.10,-27.74,162.84
2.276,,-298.88,23.09,1284.53,13.78,-25.41,161.34
2.292,,-297.91,26.99,1282.79,13.61,-23.45,161.31
2.308,,-296.06,29.72,1272.96,12.78,-21.27,161.47
2.323,,-298.25,31.99,1276.34,12.59,-23.56,163.64
2.339,,-297.29,32.55,1267.94,12.46,-23.38,161.72
2.354,,-296.99,34.23,1258.09,11.27,-21.70,159.67
2.369,,-297.49,37.00,1251.83,11.02,-24.18,164.23
2.384,,-291.79,39.68,1222.18,12.68,-26.99,159.08
2.400,,-291.96,41.70,1221.12,11.80,-23.83,157.83
2.416,,-288.18,45.31,1202.09,13.53,-26.58,155.49
2.432,,-288.75,49.49,1199.61,14.11,-26.70,156.64
