Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg)
0.025,0,54.55,-44.66,349.76,-5.92,25.23,177.31
0.083,0,58.99,-46.04,350.56,-5.57,24.79,176.76
0.135,0,60.17,-47.21,352.26,-5.97,23.90,175.50
0.182,0,61.15,-50.63,353.07,-6.24,25.33,174.77
0.224,0,61.87,-51.48,353.46,-6.25,25.32,175.11
0.274,0,67.12,-64.21,346.08,-4.66,26.57,174.61
0.315,0,68.25,-65.34,345.48,-4.50,26.50,174.39
0.357,0,69.10,-66.46,343.25,-4.11,26.81,173.60
0.398,0,70.20,-68.13,342.72,-3.54,27.07,174.52
0.441,0,70.10,-68.66,340.50,-3.49,28.00,174.72
0.485,0,71.43,-68.11,339.71,-4.10,26.63,174.58
0.529,0,77.81,-64.36,333.74,-3.61,26.01,174.76
0.581,0,79.97,-62.63,330.94,-3.12,26.35,174.79
0.627,0,82.73,-60.38,327.82,-3.28,26.31,173.58
0.679,0,84.08,-59.37,326.24,-2.85,26.69,173.22
0.749,0,87.96,-55.33,322.70,-3.20,25.54,170.09
0.796,0,87.46,-54.49,320.14,-2.64,25.58,170.25
0.840,0,86.62,-54.61,320.95,-2.69,25.82,171.07
0.886,0,82.97,-56.36,323.82,-2.91,26.38,172.69
0.935,0,68.01,-61.45,334.18,-4.30,24.20,172.62
0.979,0,58.42,-63.33,338.67,-5.32,23.62,172.15
1.030,0,47.00,-65.70,344.56,-6.45,24.19,172.74
1.074,0,33.69,-67.64,348.67,-7.70,25.84,172.64
1.117,0,27.11,-69.16,352.87,-8.78,24.84,173.84
1.164,0,14.04,-71.55,356.19,-10.05,26.86,174.26
1.214,0,2.02,-73.46,358.44,-11.34,29.76,175.08
1.262,0,-9.68,-75.41,362.17,-12.71,31.39,175.47
1.316,0,-17.51,-76.00,361.21,-14.02,32.72,174.83
1.364,0,-20.47,-76.11,361.82,-13.95,34.24,175.07
1.414,0,-18.61,-75.44,362.31,-13.56,34.30,175.41
1.468,0,-12.89,-74.54,363.59,-12.26,32.51,176.80
1.515,0,-4.58,-71.71,360.86,-10.08,32.10,179.30
1.560,0,12.65,-63.21,354.12,-7.85,30.86,-177.54
1.603,0,18.68,-59.69,352.28,-6.61,29.57,-175.67
1.648,0,32.47,-51.61,347.29,-4.92,25.60,-173.92
1.692,0,40.77,-46.41,339.82,-4.60,27.25,-172.63
1.736,0,53.19,-41.99,337.46,-4.52,22.22,-174.42
1.781,0,61.47,-39.24,334.21,-4.21,22.20,-174.51
1.829,0,74.01,-36.23,329.29,-3.79,20.03,179.85
1.872,0,80.36,-35.94,324.70,-3.32,21.31,173.61
1.921,0,81.84,-36.38,324.08,-2.93,20.34,172.17
1.969,0,82.94,-36.85,324.59,-2.76,21.56,172.95
2.013,0,82.05,-40.27,329.52,-2.52,22.96,174.92
2.056,0,70.96,-48.06,339.79,-2.55,21.86,174.82
2.103,0,59.04,-54.89,348.58,-2.96,23.55,177.40
2.150,0,39.39,-63.40,357.92,-3.98,29.36,178.54
2.194,0,37.33,-64.38,360.51,-3.89,28.55,177.21
2.236,0,26.54,-67.56,366.78,-4.99,30.19,176.48
2.279,0,16.53,-70.20,372.89,-5.62,31.58,177.05
2.321,0,12.51,-70.92,374.75,-5.35,31.95,177.58
2.365,0,3.47,-73.20,378.91,-5.58,32.04,178.31
2.407,0,-3.10,-74.18,378.17,-5.56,35.58,179.83
2.452,0,-3.72,-74.19,380.78,-4.96,35.57,-179.52
2.495,0,-3.62,-74.80,384.82,-5.27,35.65,179.57
2.538,0,-0.61,-74.70,392.64,-5.90,34.09,179.33
2.580,0,2.29,-74.05,396.13,-5.86,32.64,179.39
2.624,0,4.83,-73.51,397.62,-5.94,31.49,179.78
2.666,0,9.28,-72.03,396.90,-4.89,31.59,-177.99
2.711,0,16.18,-69.84,397.87,-4.61,30.75,-177.67
2.755,0,27.03,-66.76,402.01,-3.96,25.46,-176.89
2.797,0,39.45,-61.53,400.30,-2.08,27.98,-177.75
2.839,0,41.08,-61.50,404.37,-2.35,27.83,-179.47
2.881,0,40.91,-62.20,406.42,-2.35,27.85,-179.43
2.925,0,39.18,-63.42,408.69,-1.88,28.54,-178.94
2.969,0,33.82,-66.71,414.60,-1.20,28.90,-178.66
3.012,0,31.17,-68.61,417.85,-1.17,29.60,-179.22
3.054,0,26.86,-66.52,420.92,0.12,31.52,-179.22
3.097,0,22.86,-65.57,423.62,0.28,31.01,-179.44
3.142,0,20.62,-65.10,424.60,0.10,31.19,-179.77
3.186,0,17.58,-62.76,423.60,0.63,32.98,-179.25
3.229,0,11.86,-59.45,424.05,2.18,34.84,-179.44
3.274,0,6.81,-58.18,421.43,3.46,38.87,-178.78
3.318,0,2.23,-55.55,422.12,4.50,38.39,-179.25
3.362,0,-4.75,-56.56,429.36,6.47,39.03,-179.11
3.406,0,-6.02,-56.45,428.03,6.56,40.28,-179.20
3.453,0,-16.34,-57.88,438.53,8.78,39.53,-177.87
