Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg)
0.031,0,61.31,24.95,390.19,4.49,5.27,166.70
0.112,0,55.54,26.80,392.34,4.20,6.14,164.07
0.178,0,48.05,28.70,397.60,3.73,6.83,165.55
0.228,0,45.43,28.96,400.55,3.33,8.38,167.51
0.277,0,42.17,29.20,402.70,3.54,8.87,168.75
0.334,0,38.96,30.78,404.48,3.14,9.63,167.79
0.382,0,37.19,31.31,404.89,3.05,8.11,167.98
0.429,0,36.63,32.20,405.80,3.78,-1.16,-178.13
0.476,0,35.74,32.10,406.92,2.62,9.13,168.40
0.524,0,35.91,31.59,405.60,2.80,7.82,164.74
0.586,0,36.17,31.65,406.28,2.85,9.35,167.40
0.639,0,36.47,31.84,406.76,3.20,9.23,168.58
0.692,0,37.80,31.96,405.60,3.15,8.75,166.78
0.754,0,42.14,31.03,403.37,3.38,8.54,165.96
0.818,0,44.36,30.02,401.12,3.52,7.84,166.88
0.869,0,46.46,29.36,401.30,3.92,7.89,166.54
0.918,0,45.43,29.28,401.83,3.55,9.81,167.01
0.963,0,44.61,29.34,402.10,3.37,9.42,166.42
1.009,0,43.87,29.26,402.09,3.26,9.46,165.61
1.060,0,41.37,29.31,402.83,3.17,9.79,168.22
1.110,0,36.89,29.80,402.06,2.55,11.70,168.25
1.163,0,32.14,30.81,404.80,2.60,10.15,165.77
1.213,0,28.95,31.61,407.25,1.92,11.27,165.63
1.273,0,24.62,32.76,409.54,2.08,-3.72,-174.20
1.324,0,18.97,30.61,411.36,0.68,8.66,162.81
1.376,0,16.08,27.46,411.82,0.20,9.38,163.63
1.430,0,14.54,22.86,414.03,0.20,9.06,163.48
1.486,0,14.04,20.37,413.28,-0.01,7.93,161.20
1.531,0,9.72,12.52,418.53,-0.53,7.03,159.82
1.577,0,5.65,10.05,420.05,-1.01,7.63,158.64
1.625,0,-4.91,8.54,423.41,-2.06,8.20,158.68
1.674,0,-12.61,7.35,425.82,-3.13,7.82,157.51
1.722,0,-19.68,2.44,427.25,-3.05,7.29,157.06
1.770,0,-25.15,-1.50,429.79,-3.46,8.49,157.96
1.817,0,-28.31,-4.64,429.15,-3.64,7.56,157.38
1.865,0,-30.41,-6.40,428.19,-4.05,6.83,156.95
1.910,0,-32.41,-9.90,430.50,-3.54,6.97,157.03
1.957,0,-31.66,-12.20,427.81,-3.53,5.76,155.89
2.004,0,-30.36,-17.08,426.24,-2.82,5.77,156.00
2.049,0,-29.36,-20.23,427.00,-2.46,5.75,155.95
2.095,0,-30.49,-20.98,428.03,-2.58,6.14,156.54
2.140,0,-31.80,-21.23,427.92,-2.59,5.99,156.56
2.184,0,-32.82,-21.54,426.00,-2.57,5.50,156.10
2.229,0,-32.46,-23.33,425.57,-2.26,5.31,156.27
2.276,0,-30.84,-25.53,424.71,-2.35,5.75,156.44
2.322,0,-29.48,-27.08,425.90,-1.87,5.70,156.74
2.366,0,-27.83,-28.83,424.80,-1.59,4.96,155.99
2.416,0,-27.93,-29.43,426.08,-1.54,5.73,156.33
2.467,0,-30.04,-28.56,427.48,-1.72,5.16,155.66
2.514,0,-32.84,-27.91,426.22,-2.18,5.63,155.01
2.559,0,-36.48,-28.37,427.52,-2.18,5.62,156.04
2.606,0,-37.47,-28.14,428.61,-2.39,4.60,154.73
2.650,0,-38.40,-28.50,430.63,-2.32,5.49,156.51
2.696,0,-39.70,-29.27,429.12,-2.54,4.55,155.30
2.743,0,-42.27,-29.28,427.17,-2.85,3.98,154.97
2.789,0,-44.04,-29.16,427.57,-3.10,4.87,156.27
2.835,0,-50.59,-26.80,425.71,-3.03,4.20,154.69
2.884,0,-52.80,-26.07,427.69,-3.26,3.83,154.78
2.938,0,-53.65,-25.51,427.01,-3.54,4.30,154.63
2.985,0,-55.62,-25.75,427.89,-3.69,4.61,155.12
3.033,0,-56.47,-26.04,429.42,-3.25,4.04,154.70
3.082,0,-56.47,-26.35,427.90,-3.53,4.09,154.37
3.132,0,-57.11,-26.78,427.66,-3.68,4.09,155.32
3.179,0,-57.88,-26.31,427.12,-3.57,3.54,154.21
3.230,0,-58.76,-25.72,427.16,-3.68,4.11,154.44
3.280,0,-60.44,-25.29,429.79,-3.92,3.73,154.19
3.331,0,-60.60,-25.23,431.28,-3.87,4.77,154.39
