Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg)
3.384,0,-60.29,-25.66,430.51,-3.72,4.54,153.91
3.433,0,-59.73,-26.49,431.38,-3.73,4.11,154.24
3.485,0,-59.53,-26.41,432.25,-3.71,4.64,154.49
3.543,0,-59.31,-26.21,432.21,-3.91,3.83,154.18
3.599,0,-58.81,-24.74,433.57,-5.69,-20.33,-147.15
3.649,0,-59.02,-25.72,432.93,-3.56,4.92,154.81
3.699,0,-58.47,-25.13,430.37,-4.02,4.41,153.94
3.753,0,-58.35,-25.22,432.04,-3.76,4.16,153.69
3.802,0,-57.13,-25.97,431.38,-3.42,4.20,154.24
3.851,0,-55.58,-26.12,430.65,-3.54,4.63,154.28
3.898,0,-54.57,-26.16,432.69,-3.39,4.57,155.16
3.945,0,-53.09,-25.79,428.35,-3.38,4.39,154.66
3.993,0,-49.05,-23.88,425.89,-3.21,4.44,155.38
4.041,0,-45.16,-19.64,418.78,-3.18,5.16,157.57
4.088,0,-43.75,-17.49,416.30,-3.18,5.51,157.95
4.135,0,-42.22,-15.86,413.29,-3.19,5.45,158.21
4.183,0,-39.28,-9.57,405.12,-2.80,5.38,159.41
4.231,0,-36.96,-2.61,404.33,-3.19,6.98,161.57
4.280,0,-33.80,3.04,402.29,-2.72,6.17,161.86
4.328,0,-30.24,7.87,399.34,-2.15,8.16,164.32
4.377,0,-26.03,14.39,397.01,-1.28,9.61,165.69
4.426,0,-23.37,19.09,396.96,-0.66,10.01,167.29
4.472,0,-18.44,28.78,398.39,-0.54,11.61,167.61
4.518,0,-17.93,29.87,399.94,-0.16,10.36,167.48
4.565,0,-15.14,33.85,401.00,-0.19,11.71,168.86
4.614,0,-9.31,37.72,402.27,0.83,13.31,169.91
4.663,0,-7.77,39.45,403.12,0.71,12.39,169.19
4.711,0,-7.04,41.03,404.03,0.20,14.55,169.32
4.760,0,-4.29,42.31,407.04,0.37,15.27,168.39
4.808,0,-1.83,39.70,407.17,0.94,14.13,169.14
4.857,0,-1.51,39.37,408.32,1.11,13.97,169.03
4.905,0,0.15,36.59,408.89,1.22,12.79,168.53
4.955,0,1.77,34.62,411.57,3.53,-11.56,-177.75
5.003,0,1.89,33.33,412.08,0.93,14.09,168.01
5.051,0,3.87,33.06,412.81,1.51,13.39,167.97
5.101,0,6.48,32.62,412.21,1.90,12.20,167.60
5.150,0,10.01,32.92,413.53,2.47,10.80,167.83
5.198,0,13.12,32.48,410.69,2.58,13.63,169.69
5.246,0,16.04,32.56,412.59,4.20,-5.55,-176.78
5.293,0,19.04,31.60,413.67,4.78,-5.06,-178.06
5.342,0,23.15,29.01,411.28,3.60,14.41,170.23
5.390,0,17.93,30.32,416.86,4.63,-8.60,-175.31
5.440,0,13.86,30.79,421.17,4.32,-8.27,-174.27
5.490,0,5.88,29.62,429.77,2.13,12.06,164.49
5.540,0,-1.67,29.20,434.50,1.33,14.89,166.13
5.590,0,-3.81,29.22,434.08,1.08,15.94,165.10
5.652,0,-5.21,29.29,434.85,1.06,15.83,165.53
5.705,0,-7.42,31.06,434.81,3.89,-16.57,-174.44
5.753,0,-9.07,31.20,432.36,1.57,14.70,166.52
5.801,0,-8.84,32.11,433.12,1.85,12.51,166.16
5.851,0,-7.43,31.87,430.77,1.64,13.15,166.57
5.898,0,-3.03,31.57,429.55,1.73,13.91,166.51
5.945,0,1.48,31.24,428.43,2.04,14.63,167.56
5.994,0,5.26,30.82,428.23,2.54,12.02,167.60
6.041,0,17.03,30.13,424.40,3.31,10.40,166.86
6.088,0,27.05,28.44,420.81,3.96,8.95,168.84
6.134,0,36.37,26.46,416.88,4.31,6.77,165.88
6.182,0,44.41,25.43,413.81,4.49,6.85,164.83
6.229,0,54.30,24.15,410.43,4.69,6.32,163.43
6.278,0,61.70,23.75,410.95,5.30,5.49,165.02
6.327,0,66.31,23.30,408.97,5.15,5.50,163.44
6.374,0,77.52,21.95,406.48,6.01,3.41,165.40
6.421,0,81.91,21.67,405.66,5.98,4.27,165.04
6.468,0,84.32,21.44,405.62,6.60,3.75,165.23
6.514,0,87.28,21.29,403.86,6.74,3.69,164.97
6.561,0,87.64,22.06,403.20,6.86,3.32,165.04
6.609,0,87.28,23.59,403.33,6.35,4.44,164.50
6.659,0,88.38,25.92,401.07,6.03,4.45,164.83
6.707,0,90.59,26.39,397.71,6.25,2.79,164.73
6.755,0,91.91,26.34,397.09,6.49,2.64,164.23
6.803,0,92.80,26.62,397.89,6.22,3.26,163.26
6.849,0,93.02,26.67,399.09,6.07,3.43,164.58
6.896,0,92.95,26.74,398.91,6.31,2.25,165.50
6.938,0,91.94,26.57,398.43,6.23,1.46,167.08
6.986,0,90.74,26.28,399.25,6.37,3.57,163.79
7.030,0,89.72,25.85,399.56,6.07,3.48,165.39
7.074,0,88.33,25.68,401.19,6.01,2.80,166.99
7.118,0,83.86,26.87,406.28,5.75,4.00,167.74
7.163,0,75.78,28.97,413.60,4.99,4.99,165.93
7.206,0,71.21,30.01,419.22,4.85,4.78,164.27
7.254,0,64.99,31.67,433.83,4.40,7.18,165.53
7.302,0,59.19,34.67,451.28,4.00,9.32,166.12
7.350,0,57.03,36.16,458.23,3.57,10.02,165.32
7.400,0,54.64,40.75,478.49,2.66,12.66,164.57
7.449,0,53.47,44.01,490.28,1.65,15.91,164.27
7.495,0,54.22,46.53,497.59,3.45,-4.05,-173.53
7.543,0,53.69,46.35,498.90,1.42,18.60,165.66
7.591,0,53.77,49.63,506.26,3.41,-6.77,-174.90
7.638,0,52.17,51.10,510.80,0.62,20.33,163.94
7.687,0,52.68,53.55,519.09,0.40,22.19,164.69
7.747,0,53.46,53.98,522.62,0.63,21.60,164.00
7.795,0,55.95,54.16,527.52,0.52,23.35,163.01
7.847,0,62.10,53.58,538.63,0.58,26.82,162.55
7.896,0,66.25,54.08,545.19,0.96,28.11,162.55
7.945,0,68.23,54.62,547.89,0.94,30.61,163.09
7.996,0,70.63,55.04,547.92,0.10,32.33,161.64
8.045,0,71.50,56.06,551.38,-0.47,32.92,161.05
8.113,0,70.74,55.95,551.93,0.13,31.79,161.68
8.189,0,64.02,57.73,544.14,4.46,-13.84,-170.98
8.254,0,59.34,59.01,539.96,4.61,-13.64,-171.78
8.303,0,48.19,61.06,520.26,4.17,-14.75,-173.41
8.351,0,45.50,61.22,514.65,4.38,-15.33,-176.32
8.401,0,35.63,57.97,472.27,-1.00,30.27,173.15
8.450,0,36.68,59.21,432.12,0.57,33.21,179.92
8.499,0,37.80,62.07,407.43,2.44,33.48,-175.11
8.548,0,49.90,70.02,341.19,4.49,31.75,-165.28
