Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg),Marker No,X ,Y ,R
0.036,,518.00,725.00,73.00,5.67,-13.61,-179.25,0.00,257.00,548.00,77.00
0.105,,518.00,725.00,73.00,5.39,-10.38,-179.55,0.00,257.00,548.00,77.00
0.199,,518.00,725.00,73.00,5.39,-10.38,-179.55,0.00,257.00,548.00,77.00
0.248,,518.00,725.00,73.00,5.39,-10.38,-179.55,0.00,257.00,548.00,77.00
0.297,,518.00,725.00,73.00,5.39,-10.38,-179.55,0.00,257.00,548.00,77.00
0.349,,518.00,725.00,73.00,5.39,-10.38,-179.55,0.00,257.00,548.00,77.00
0.399,,518.00,725.00,73.00,5.39,-10.38,-179.55,0.00,257.00,548.00,77.00
0.448,,518.00,725.00,73.00,5.39,-10.38,-179.55,0.00,257.00,548.00,77.00
0.499,,518.00,725.00,73.00,5.39,-10.38,-179.55,0.00,257.00,548.00,77.00
0.568,,518.00,725.00,73.00,5.39,-10.38,-179.55,0.00,257.00,548.00,77.00
0.629,,518.00,725.00,73.00,5.67,-13.61,-179.25,0.00,257.00,548.00,77.00
0.683,,518.00,725.00,73.00,5.50,-10.56,178.90,0.00,257.00,548.00,77.00
0.749,,518.00,725.00,73.00,5.67,-13.61,-179.25,0.00,257.00,548.00,77.00
0.824,,518.00,725.00,72.00,5.44,-2.89,172.17,0.00,257.00,548.00,77.00
0.942,,518.00,725.00,73.00,5.39,-10.38,-179.55,0.00,257.00,548.00,77.00
1.016,,518.00,725.00,73.00,5.39,-10.38,-179.55,0.00,257.00,548.00,77.00
1.083,,518.00,725.00,73.00,5.39,-10.38,-179.55,0.00,257.00,548.00,77.00
1.134,,518.00,725.00,73.00,5.67,-13.61,-179.25,0.00,257.00,548.00,77.00
1.186,,518.00,725.00,73.00,5.50,-10.56,178.90,0.00,257.00,548.00,77.00
1.239,,518.00,725.00,73.00,5.50,-10.56,178.90,0.00,257.00,548.00,77.00
1.321,,518.00,725.00,73.00,5.50,-10.56,178.90,0.00,257.00,548.00,77.00
1.392,,518.00,725.00,73.00,5.50,-10.56,178.90,0.00,257.00,548.00,77.00
1.444,,518.00,725.00,73.00,5.39,-10.38,-179.55,0.00,257.00,548.00,77.00
1.500,,518.00,725.00,73.00,5.39,-10.38,-179.55,0.00,257.00,548.00,77.00
1.551,,518.00,725.00,73.00,5.39,-10.38,-179.55,0.00,257.00,548.00,77.00
1.604,,518.00,725.00,73.00,5.39,-10.38,-179.55,0.00,257.00,548.00,77.00
1.657,,518.00,726.00,72.00,4.60,-3.07,172.22,0.00,257.00,548.00,77.00
1.713,,518.00,726.00,72.00,5.61,-12.52,176.21,0.00,257.00,548.00,77.00
1.765,,519.00,727.00,72.00,5.44,-2.82,172.02,0.00,257.00,548.00,77.00
1.819,,521.00,728.00,73.00,4.10,6.47,177.87,0.00,257.00,548.00,77.00
1.871,,525.00,729.00,73.00,4.38,0.10,-175.13,0.00,257.00,548.00,77.00
1.922,,526.00,728.00,73.00,3.90,-0.59,170.83,0.00,257.00,548.00,77.00
1.974,,527.00,729.00,73.00,3.15,6.52,176.51,0.00,257.00,548.00,77.00
2.029,,529.00,728.00,74.00,3.41,9.51,174.72,0.00,257.00,548.00,77.00
2.081,,530.00,726.00,74.00,4.45,-1.95,172.05,0.00,257.00,548.00,77.00
2.134,,531.00,725.00,74.00,3.85,-13.19,-178.81,0.00,257.00,548.00,77.00
2.184,,531.00,721.00,75.00,3.82,-13.29,-178.68,0.00,257.00,548.00,77.00
2.234,,530.00,719.00,74.00,4.08,-11.01,-179.69,0.00,257.00,548.00,77.00
2.286,,528.00,717.00,73.00,3.61,-2.01,172.83,0.00,257.00,548.00,77.00
2.335,,524.00,712.00,75.00,4.28,-15.30,178.87,0.00,257.00,548.00,77.00
2.387,,520.00,709.00,74.00,4.27,2.05,166.58,0.00,257.00,548.00,77.00
2.438,,515.00,706.00,76.00,4.98,-13.20,-171.16,0.00,257.00,548.00,77.00
2.687,,418.00,679.00,79.00,13.46,-11.84,-163.99,0.00,257.00,548.00,77.00
2.785,,394.00,674.00,79.00,16.01,-15.22,-166.45,0.00,257.00,548.00,77.00
2.834,,387.00,672.00,75.00,17.20,-13.62,-170.49,0.00,257.00,548.00,77.00
2.886,,381.00,671.00,77.00,17.33,-17.44,-168.05,0.00,257.00,548.00,77.00
3.148,,308.00,655.00,79.00,23.75,-19.83,-166.41,0.00,257.00,548.00,77.00
3.197,,299.00,652.00,78.00,25.54,-20.32,-167.20,0.00,257.00,548.00,77.00
3.247,,282.00,649.00,71.00,27.39,-8.43,174.29,0.00,257.00,548.00,77.00
3.299,,267.00,645.00,75.00,29.61,-22.64,-178.19,0.00,257.00,548.00,77.00
3.352,,261.00,641.00,74.00,28.20,-1.36,165.64,0.00,257.00,548.00,77.00
3.405,,249.00,637.00,75.00,30.54,-20.59,-177.51,0.00,257.00,548.00,77.00
3.460,,236.00,629.00,74.00,30.14,1.87,172.15,0.00,257.00,548.00,77.00
3.512,,226.00,621.00,73.00,33.29,-23.71,177.28,0.00,257.00,548.00,77.00
3.564,,221.00,617.00,76.00,30.91,3.90,172.53,0.00,257.00,548.00,77.00
3.616,,216.00,609.00,76.00,31.92,1.32,170.54,0.00,257.00,548.00,77.00
3.668,,213.00,603.00,74.00,33.34,-5.64,168.25,0.00,257.00,548.00,77.00
3.722,,212.00,597.00,80.00,37.10,-26.21,165.75,0.00,257.00,548.00,77.00
3.825,,207.00,580.00,81.00,36.80,-28.55,167.63,0.00,257.00,548.00,77.00
3.877,,207.00,568.00,83.00,36.69,-29.65,164.10,0.00,257.00,548.00,77.00
3.980,,212.00,555.00,84.00,36.57,-30.76,169.47,0.00,257.00,548.00,77.00
4.030,,214.00,552.00,82.00,34.92,-26.25,172.24,0.00,257.00,548.00,77.00
4.083,,215.00,549.00,81.00,34.71,-26.05,172.57,0.00,257.00,548.00,77.00
4.135,,219.00,544.00,80.00,32.58,-24.25,-174.34,0.00,257.00,548.00,77.00
4.188,,221.00,542.00,81.00,33.41,-28.88,-177.97,0.00,257.00,548.00,77.00
4.242,,223.00,540.00,82.00,30.05,-0.56,164.03,0.00,257.00,548.00,77.00
4.294,,224.00,539.00,82.00,30.58,2.28,167.08,0.00,257.00,548.00,77.00
4.346,,225.00,538.00,82.00,29.21,1.82,163.44,0.00,257.00,548.00,77.00
4.398,,227.00,539.00,81.00,31.95,-29.01,-177.39,0.00,257.00,548.00,77.00
4.450,,228.00,540.00,81.00,32.29,-27.21,-176.90,0.00,257.00,548.00,77.00
4.501,,229.00,541.00,81.00,29.43,1.21,164.66,0.00,257.00,548.00,77.00
4.553,,230.00,542.00,81.00,30.67,-26.45,-172.22,0.00,257.00,548.00,77.00
4.604,,231.00,545.00,81.00,31.90,-24.90,-176.03,0.00,257.00,548.00,77.00
4.758,,237.00,551.00,80.00,30.57,-24.65,-175.83,0.00,257.00,548.00,77.00
4.808,,241.00,553.00,79.00,30.99,-24.59,-175.75,0.00,257.00,548.00,77.00
4.861,,243.00,555.00,79.00,30.35,-24.59,-175.27,0.00,257.00,548.00,77.00
4.912,,245.00,555.00,78.00,28.96,-0.11,170.08,0.00,257.00,548.00,77.00
4.964,,249.00,554.00,80.00,31.66,-24.55,171.34,0.00,257.00,548.00,77.00
5.015,,250.00,554.00,78.00,30.03,-28.18,-179.78,0.00,257.00,548.00,77.00
5.067,,253.00,549.00,80.00,31.17,-29.25,172.19,0.00,257.00,548.00,77.00
5.123,,254.00,546.00,71.00,29.78,-16.11,178.22,0.00,257.00,548.00,77.00
5.187,,256.00,542.00,73.00,29.57,-8.82,172.98,0.00,257.00,548.00,77.00
5.240,,260.00,537.00,75.00,28.64,-27.31,179.19,0.00,257.00,548.00,77.00
5.343,,268.00,529.00,77.00,28.79,-26.13,176.95,0.00,257.00,548.00,77.00
5.396,,270.00,526.00,79.00,27.60,-28.17,-179.95,0.00,257.00,548.00,77.00
5.447,,274.00,523.00,77.00,25.70,-29.18,-173.19,0.00,257.00,548.00,77.00
5.499,,276.00,522.00,79.00,25.05,-31.21,-171.40,0.00,257.00,548.00,77.00
5.551,,277.00,521.00,78.00,25.24,-30.85,-172.98,0.00,257.00,548.00,77.00
5.602,,278.00,520.00,78.00,26.12,-32.34,-176.46,0.00,257.00,548.00,77.00
5.654,,279.00,521.00,78.00,26.27,-30.69,-174.84,0.00,257.00,548.00,77.00
5.705,,279.00,521.00,77.00,25.60,-29.33,-172.86,0.00,257.00,548.00,77.00
5.757,,279.00,522.00,78.00,25.24,-30.77,-172.94,0.00,257.00,548.00,77.00
5.807,,278.00,523.00,77.00,25.04,-29.22,-172.94,0.00,257.00,548.00,77.00
5.860,,278.00,525.00,76.00,26.73,-27.10,-177.53,0.00,257.00,548.00,77.00
5.910,,276.00,526.00,78.00,27.37,-28.89,176.46,0.00,257.00,548.00,77.00
5.962,,277.00,528.00,75.00,27.68,-31.40,179.38,0.00,257.00,548.00,77.00
6.065,,275.00,532.00,74.00,25.82,5.72,175.08,0.00,257.00,548.00,77.00
6.118,,275.00,533.00,75.00,27.49,-29.27,178.74,0.00,257.00,548.00,77.00
6.170,,274.00,535.00,72.00,27.33,-25.72,177.70,0.00,257.00,548.00,77.00
6.225,,274.00,537.00,74.00,27.74,-30.02,176.98,0.00,257.00,548.00,77.00
6.276,,274.00,539.00,73.00,27.31,-29.30,178.85,0.00,257.00,548.00,77.00
6.329,,273.00,540.00,74.00,27.19,9.14,179.71,0.00,257.00,548.00,77.00
6.380,,272.00,542.00,72.00,27.43,-25.07,177.15,0.00,257.00,548.00,77.00
6.433,,272.00,543.00,71.00,26.88,1.98,178.09,0.00,257.00,548.00,77.00
6.484,,272.00,543.00,72.00,28.01,-27.99,175.65,0.00,257.00,548.00,77.00
6.537,,272.00,544.00,73.00,29.13,-28.62,173.51,0.00,257.00,548.00,77.00
6.590,,271.00,545.00,67.00,26.80,-6.25,177.87,0.00,257.00,548.00,77.00
6.641,,272.00,545.00,71.00,28.36,-26.14,174.61,0.00,257.00,548.00,77.00
6.694,,272.00,545.00,71.00,28.36,-26.14,174.61,0.00,257.00,548.00,77.00
6.746,,272.00,545.00,71.00,28.36,-25.72,174.41,0.00,257.00,548.00,77.00
6.800,,272.00,545.00,71.00,28.36,-25.72,174.41,0.00,257.00,548.00,77.00
6.852,,272.00,544.00,73.00,29.07,-31.31,172.78,0.00,257.00,548.00,77.00
6.905,,272.00,543.00,71.00,28.31,-25.63,171.45,0.00,257.00,548.00,77.00
6.959,,272.00,542.00,70.00,27.92,-0.78,-177.25,0.00,257.00,548.00,77.00
7.011,,272.00,543.00,71.00,28.34,-25.79,174.48,0.00,257.00,548.00,77.00
7.043,,272.00,543.00,71.00,28.34,-25.79,174.48,1.00,808.00,203.00,78.00
7.092,,272.00,542.00,70.00,27.46,1.01,-178.81,1.00,808.00,203.00,78.00
7.145,,272.00,542.00,70.00,27.46,1.01,-178.81,1.00,808.00,203.00,78.00
7.199,,272.00,542.00,70.00,27.46,1.01,-178.81,1.00,808.00,203.00,78.00
7.261,,272.00,542.00,71.00,27.35,-0.27,178.97,1.00,808.00,203.00,78.00
