Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg),Marker No,X ,Y ,R
0.030,,-38.60,-28.66,1205.90,2.30,-11.14,-160.95,0.00,579.00,375.00,97.00
0.108,,-38.64,-27.46,1207.10,2.72,-10.73,-162.67,0.00,579.00,375.00,97.00
0.161,,-38.46,-26.82,1202.02,2.30,-12.20,-163.18,0.00,579.00,375.00,97.00
0.227,,-38.10,-25.97,1197.84,2.60,4.33,162.12,0.00,579.00,375.00,97.00
0.276,,-37.67,-25.27,1204.13,2.76,-8.99,-162.27,0.00,579.00,375.00,97.00
0.326,,-37.05,-25.41,1202.04,2.31,-12.13,-163.21,0.00,579.00,375.00,97.00
0.376,,-37.61,-26.10,1202.40,2.30,-9.79,-160.59,0.00,579.00,375.00,97.00
0.425,,-38.49,-26.52,1197.19,2.70,-11.30,-161.27,0.00,579.00,375.00,97.00
0.474,,-40.05,-27.88,1197.30,3.10,7.45,163.77,0.00,579.00,375.00,97.00
0.525,,-41.54,-29.30,1204.81,3.55,7.33,163.67,0.00,579.00,375.00,97.00
0.608,,-43.71,-30.28,1201.43,3.47,5.91,163.28,0.00,579.00,375.00,97.00
0.673,,-47.53,-34.57,1202.08,3.95,-9.66,-158.36,0.00,579.00,375.00,97.00
0.735,,-50.27,-39.05,1210.25,4.36,4.71,165.22,0.00,579.00,375.00,97.00
0.789,,-50.57,-42.76,1198.52,4.25,-10.81,-156.79,0.00,579.00,375.00,97.00
0.841,,-47.67,-50.64,1209.50,3.40,-9.87,-157.49,0.00,579.00,375.00,97.00
0.893,,-42.19,-55.28,1205.89,2.87,-11.17,-158.13,0.00,579.00,375.00,97.00
0.943,,-32.90,-62.11,1204.52,1.81,9.74,164.06,0.00,579.00,375.00,97.00
0.995,,-25.38,-66.49,1203.03,1.14,5.31,160.62,0.00,579.00,375.00,97.00
1.047,,-14.26,-72.62,1201.75,-1.72,-7.63,-152.77,0.00,579.00,375.00,97.00
1.097,,-3.42,-82.38,1222.49,-1.39,4.80,163.89,0.00,579.00,375.00,97.00
1.149,,8.44,-91.28,1215.26,-2.86,7.47,163.50,0.00,579.00,375.00,97.00
1.203,,16.39,-98.87,1217.11,-4.23,5.76,161.02,0.00,579.00,375.00,97.00
1.264,,24.67,-107.16,1233.80,-4.28,6.37,168.72,0.00,579.00,375.00,97.00
1.319,,29.48,-113.35,1234.98,-4.83,4.72,168.00,0.00,579.00,375.00,97.00
1.370,,29.48,-118.65,1242.24,-5.28,4.58,167.94,0.00,579.00,375.00,97.00
1.422,,27.74,-125.56,1253.97,-4.01,4.75,168.46,0.00,579.00,375.00,97.00
1.470,,26.31,-134.49,1273.41,-3.65,4.12,174.00,0.00,579.00,375.00,97.00
1.519,,24.42,-141.28,1278.04,-3.80,-4.52,-162.62,0.00,579.00,375.00,97.00
1.569,,22.93,-144.28,1262.13,-3.57,4.51,169.15,0.00,579.00,375.00,97.00
1.618,,22.81,-149.27,1287.72,-2.92,7.06,175.70,0.00,579.00,375.00,97.00
1.667,,20.64,-155.86,1292.75,-2.78,3.99,174.98,0.00,579.00,375.00,97.00
1.714,,17.99,-157.74,1290.82,-3.61,-2.21,-160.68,0.00,579.00,375.00,97.00
1.761,,10.84,-160.69,1280.65,-3.61,-3.10,-158.60,0.00,579.00,375.00,97.00
1.809,,7.90,-164.46,1290.39,-2.10,-8.18,-162.28,0.00,579.00,375.00,97.00
1.857,,4.78,-165.35,1279.73,-2.54,-4.87,-156.48,0.00,579.00,375.00,97.00
1.905,,-1.14,-170.40,1255.42,-0.55,3.21,168.39,0.00,579.00,375.00,97.00
1.954,,-2.59,-171.75,1227.13,-0.75,7.64,167.51,0.00,579.00,375.00,97.00
2.000,,-2.15,-177.67,1248.97,-2.32,-6.22,-150.53,0.00,579.00,375.00,97.00
2.046,,-2.04,-178.98,1238.81,-0.94,6.31,166.85,0.00,579.00,375.00,97.00
2.092,,-1.63,-179.43,1225.02,-0.79,4.13,162.40,0.00,579.00,375.00,97.00
2.136,,-2.57,-181.90,1228.15,-0.80,6.98,165.92,0.00,579.00,375.00,97.00
2.181,,-2.92,-186.20,1225.93,-0.25,7.72,164.91,0.00,579.00,375.00,97.00
2.226,,-3.18,-185.93,1196.50,-0.99,5.17,159.54,0.00,579.00,375.00,97.00
2.272,,-2.42,-188.21,1173.35,-1.86,7.14,158.57,0.00,579.00,375.00,97.00
2.315,,-2.57,-192.26,1166.56,-2.34,6.46,156.08,0.00,579.00,375.00,97.00
2.362,,-2.71,-194.54,1158.02,-1.89,6.46,156.35,0.00,579.00,375.00,97.00
2.405,,-2.70,-195.99,1157.21,-2.26,6.67,154.24,0.00,579.00,375.00,97.00
2.493,,-1.99,-191.77,1143.48,-2.81,5.57,152.55,0.00,579.00,375.00,97.00
2.542,,-2.68,-190.15,1143.14,-2.28,6.37,153.12,0.00,579.00,375.00,97.00
2.589,,-3.31,-186.67,1129.35,-2.01,5.42,151.48,0.00,579.00,375.00,97.00
2.633,,-4.59,-188.75,1150.52,-1.87,6.57,154.14,0.00,579.00,375.00,97.00
2.684,,-5.96,-187.00,1149.42,-2.21,6.96,153.27,0.00,579.00,375.00,97.00
2.734,,-6.69,-182.80,1129.78,-1.55,5.82,150.70,0.00,579.00,375.00,97.00
2.784,,-7.58,-182.36,1136.67,-1.95,5.91,151.65,0.00,579.00,375.00,97.00
2.828,,-8.94,-177.53,1136.67,-1.94,6.02,152.67,0.00,579.00,375.00,97.00
2.874,,-10.18,-175.80,1142.15,-1.37,7.30,152.25,0.00,579.00,375.00,97.00
2.927,,-10.94,-171.71,1126.71,-4.02,-7.60,-132.95,0.00,579.00,375.00,97.00
2.974,,-12.42,-172.33,1130.67,-0.78,5.80,151.45,0.00,579.00,375.00,97.00
3.021,,-13.51,-171.04,1123.32,-1.21,5.46,150.30,0.00,579.00,375.00,97.00
3.070,,-14.34,-173.19,1136.36,-0.68,6.44,151.81,0.00,579.00,375.00,97.00
3.117,,-15.76,-172.26,1129.18,-1.08,6.31,151.98,0.00,579.00,375.00,97.00
3.166,,-15.88,-170.50,1114.22,-1.45,6.18,149.13,0.00,579.00,375.00,97.00
3.212,,-16.17,-172.73,1123.33,-1.21,5.29,150.39,0.00,579.00,375.00,97.00
3.261,,-16.20,-171.73,1113.45,-1.45,6.09,149.11,0.00,579.00,375.00,97.00
3.308,,-17.28,-175.43,1136.50,-2.83,-7.51,-134.22,0.00,579.00,375.00,97.00
3.354,,-17.43,-177.80,1129.64,-1.16,5.55,148.55,0.00,579.00,375.00,97.00
3.403,,-18.75,-177.98,1127.55,-0.58,6.70,151.58,0.00,579.00,375.00,97.00
3.449,,-19.07,-181.00,1127.22,-0.61,6.45,150.44,0.00,579.00,375.00,97.00
3.498,,-19.51,-179.89,1113.97,-0.65,5.98,148.51,0.00,579.00,375.00,97.00
3.549,,-20.48,-182.45,1113.10,-0.65,5.93,148.58,0.00,579.00,375.00,97.00
