Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg)
1.501,0,-12.23,157.35,506.08,-13.51,27.89,164.31
1.558,0,-11.30,144.59,514.29,-12.38,26.28,165.98
1.610,0,-10.27,141.35,516.44,-11.42,25.92,166.59
1.660,0,-8.45,135.10,514.68,-11.14,26.75,166.70
1.712,0,-4.36,128.82,518.15,-9.17,26.10,167.80
1.764,0,-2.89,123.71,520.43,-7.84,26.29,166.75
1.817,0,-5.23,114.12,516.74,-8.32,28.33,166.77
1.869,0,-8.38,106.96,524.03,-8.70,27.67,164.82
1.920,0,-11.33,99.92,529.21,-8.77,27.91,162.72
1.971,0,-15.76,92.36,531.89,-9.29,28.34,162.92
2.023,0,-17.62,87.56,532.34,-9.25,28.51,162.14
2.073,0,-19.60,86.45,535.63,-7.84,28.46,162.28
2.124,0,-25.03,84.28,535.33,-8.51,29.90,162.01
2.179,0,-26.53,84.29,537.55,-8.92,29.59,160.82
2.179,17,396.72,638.75,2419.01,3.72,9.94,-125.58
2.233,0,-46.83,82.80,550.88,-10.05,27.04,161.27
2.234,17,402.02,647.87,2453.58,4.02,9.09,-125.95
2.286,0,-65.41,80.30,560.83,-11.47,25.59,161.46
2.342,0,-71.42,78.71,559.42,-12.24,28.18,161.95
2.392,0,-81.10,75.47,562.88,-12.69,28.65,162.47
2.443,0,-88.15,73.86,566.05,-12.61,28.64,162.55
2.494,0,-97.76,72.82,574.47,-13.21,28.17,161.56
2.547,0,-106.86,72.15,576.06,-13.82,29.58,161.54
2.597,0,-112.57,71.46,575.76,-14.12,30.88,161.18
2.597,17,430.94,696.83,2637.48,5.97,7.06,-128.76
2.646,0,-124.94,70.60,579.92,-15.42,31.12,160.86
2.698,0,-130.91,68.81,579.37,-15.74,32.63,160.30
2.749,0,-138.19,66.35,585.65,-16.44,31.87,159.98
2.799,0,-142.16,63.70,582.27,-16.51,32.94,160.92
2.852,0,-145.30,63.34,587.99,-16.55,31.94,160.97
2.903,0,-146.87,61.75,582.08,-16.61,33.63,160.63
2.955,0,-147.18,61.19,581.88,-16.73,34.16,160.65
3.007,0,-144.58,60.61,579.21,-16.75,33.70,160.16
3.058,0,-144.11,59.62,581.09,-16.44,33.74,159.99
3.058,17,405.60,655.87,2482.40,5.52,7.02,-127.26
3.109,0,-143.64,58.12,579.59,-16.68,34.07,160.60
3.109,17,423.38,685.25,2593.63,6.08,6.08,-128.43
3.164,0,-144.97,57.41,584.32,-16.81,33.61,159.81
3.222,0,-144.69,56.46,582.85,-16.59,34.09,159.95
3.275,0,-144.33,54.84,582.97,-16.34,33.65,160.66
3.328,0,-144.24,52.61,585.33,-15.88,33.36,160.88
3.379,0,-143.43,48.33,584.13,-16.13,33.74,160.42
3.429,0,-143.40,47.66,585.91,-16.26,33.28,160.40
3.429,17,417.88,675.72,2557.55,5.74,7.03,-127.99
3.480,0,-141.50,46.39,584.98,-15.50,33.76,160.88
3.530,0,-140.75,45.98,584.58,-15.42,33.59,160.63
3.581,0,-137.67,43.64,583.74,-15.01,33.75,161.39
3.631,0,-137.35,41.96,584.39,-14.95,32.90,160.94
3.682,0,-137.72,40.55,584.88,-14.90,33.14,161.37
3.733,0,-138.26,39.83,584.82,-14.86,33.11,161.43
3.789,0,-138.98,38.39,586.01,-15.52,33.07,161.45
3.843,0,-139.22,36.39,585.91,-15.31,32.81,161.39
3.893,0,-138.36,35.24,583.50,-15.08,33.43,161.03
3.944,0,-138.20,34.93,585.98,-14.82,33.36,161.31
3.996,0,-138.67,34.40,586.03,-14.83,33.59,161.11
4.046,0,-140.08,34.05,587.72,-14.97,32.99,161.08
4.097,0,-142.08,33.51,589.10,-15.27,33.23,160.84
4.097,17,412.41,666.26,2521.73,5.40,7.95,-127.55
4.149,0,-143.23,33.13,588.49,-15.81,33.62,160.87
4.149,17,407.37,657.10,2488.54,4.33,8.22,-126.32
4.199,0,-143.71,32.98,588.98,-15.33,33.69,160.95
4.200,17,457.01,736.40,2783.92,3.35,11.07,-132.23
4.251,0,-144.11,33.01,589.46,-15.38,33.90,161.23
4.303,0,-143.58,33.16,587.26,-15.64,33.97,160.93
4.356,0,-144.20,33.33,588.68,-15.83,33.48,160.84
4.406,0,-145.42,33.77,591.37,-15.73,33.82,161.08
4.456,0,-145.44,34.25,590.28,-16.18,33.45,160.70
4.506,0,-144.44,34.44,587.34,-15.78,34.15,161.08
4.557,0,-145.50,35.19,587.46,-15.76,33.77,161.31
4.609,0,-148.41,36.12,590.54,-16.32,33.43,160.88
4.662,0,-149.37,36.87,589.13,-16.24,34.04,161.17
4.712,0,-150.19,37.10,589.79,-16.30,34.18,161.41
4.764,0,-148.49,37.02,585.62,-16.38,34.84,161.19
4.815,0,-148.79,37.04,589.05,-16.39,34.61,160.59
4.815,17,417.88,675.72,2557.55,5.74,7.03,-127.99
4.869,0,-148.43,36.88,587.99,-16.08,34.50,161.19
4.869,17,401.47,648.20,2454.83,4.03,9.08,-125.97
4.925,0,-148.94,37.20,587.03,-16.58,34.37,161.10
4.980,0,-149.42,37.43,587.82,-16.03,34.17,161.45
5.035,0,-149.97,37.46,588.16,-16.10,34.37,161.70
5.088,0,-150.00,37.27,587.92,-16.63,34.50,161.90
5.140,0,-149.83,37.47,589.80,-16.34,34.20,161.37
5.191,0,-148.74,37.19,585.50,-16.33,34.58,161.46
5.191,17,410.77,664.85,2516.40,5.85,6.10,-127.68
