Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg),Marker No,X ,Y ,R
1.879,,612.00,640.00,90.00,9.62,17.92,-170.66,0.00,952.00,263.00,78.00
1.933,,608.00,619.00,87.00,10.38,-13.27,167.17,0.00,952.00,263.00,78.00
1.985,,606.00,609.00,86.00,10.03,-7.06,168.30,0.00,952.00,263.00,78.00
2.039,,605.00,597.00,87.00,6.56,4.26,163.11,0.00,952.00,263.00,78.00
2.093,,603.00,593.00,87.00,6.25,-6.15,-167.78,0.00,952.00,263.00,78.00
2.146,,600.00,595.00,88.00,4.38,-7.95,-166.32,0.00,952.00,263.00,78.00
2.198,,598.00,599.00,89.00,4.44,-2.42,-161.12,0.00,952.00,263.00,78.00
2.249,,598.00,601.00,88.00,3.65,-7.14,-168.88,0.00,952.00,263.00,78.00
2.301,,597.00,604.00,88.00,3.25,-8.02,-166.77,0.00,952.00,263.00,78.00
2.353,,594.00,607.00,89.00,1.41,-3.30,-160.19,0.00,952.00,263.00,78.00
2.404,,592.00,609.00,89.00,0.28,-6.50,-164.27,0.00,952.00,263.00,78.00
2.458,,593.00,614.00,88.00,-0.37,1.34,168.73,0.00,952.00,263.00,78.00
2.509,,594.00,620.00,88.00,0.03,1.07,168.11,0.00,952.00,263.00,78.00
2.560,,595.00,625.00,90.00,-1.47,-5.65,-172.53,0.00,952.00,263.00,78.00
2.611,,595.00,626.00,90.00,-0.30,0.26,-169.11,0.00,952.00,263.00,78.00
2.662,,595.00,627.00,88.00,-3.08,-4.50,-168.06,0.00,952.00,263.00,78.00
2.714,,595.00,626.00,89.00,-3.43,-4.88,-169.33,0.00,952.00,263.00,78.00
2.764,,597.00,625.00,89.00,-3.35,-1.40,-164.42,0.00,952.00,263.00,78.00
2.818,,599.00,622.00,89.00,-2.95,0.16,-165.91,0.00,952.00,263.00,78.00
2.871,,600.00,620.00,89.00,-2.67,-4.12,-168.24,0.00,952.00,263.00,78.00
2.931,,600.00,616.00,89.00,-2.68,-4.16,-168.15,0.00,952.00,263.00,78.00
2.980,,601.00,614.00,88.00,-2.61,-1.84,-169.96,0.00,952.00,263.00,78.00
3.029,,601.00,612.00,88.00,-2.37,-5.77,-174.72,0.00,952.00,263.00,78.00
3.087,,601.00,610.00,89.00,-1.53,-2.62,-170.50,0.00,952.00,263.00,78.00
3.139,,601.00,608.00,88.00,-1.86,2.86,173.20,0.00,952.00,263.00,78.00
3.197,,601.00,607.00,88.00,-2.04,-6.44,-171.35,0.00,952.00,263.00,78.00
3.251,,602.00,608.00,89.00,-1.48,-0.05,-165.61,0.00,952.00,263.00,78.00
3.306,,603.00,610.00,89.00,-1.90,-1.56,-164.06,0.00,952.00,263.00,78.00
3.360,,602.00,612.00,89.00,-1.91,-2.06,-167.23,0.00,952.00,263.00,78.00
3.416,,600.00,615.00,89.00,-2.25,-1.70,-166.87,0.00,952.00,263.00,78.00
3.469,,600.00,616.00,90.00,-3.03,-4.25,-163.51,0.00,952.00,263.00,78.00
3.526,,598.00,617.00,89.00,-1.86,1.40,168.66,0.00,952.00,263.00,78.00
3.582,,597.00,618.00,88.00,-1.90,-4.08,-173.99,0.00,952.00,263.00,78.00
3.637,,598.00,618.00,90.00,-2.62,-3.18,-165.23,0.00,952.00,263.00,78.00
3.696,,598.00,618.00,89.00,-2.31,-4.62,-168.68,0.00,952.00,263.00,78.00
3.754,,600.00,616.00,89.00,-1.90,-2.08,-167.32,0.00,952.00,263.00,78.00
3.807,,601.00,616.00,88.00,-1.96,-6.73,-175.89,0.00,952.00,263.00,78.00
3.856,,603.00,616.00,88.00,-1.96,-6.67,-175.84,0.00,952.00,263.00,78.00
3.909,,604.00,616.00,90.00,-1.90,-3.15,-165.17,0.00,952.00,263.00,78.00
3.959,,605.00,618.00,89.00,-1.92,-3.08,-171.32,0.00,952.00,263.00,78.00
4.009,,605.00,623.00,89.00,-1.90,-3.01,-171.39,0.00,952.00,263.00,78.00
4.061,,605.00,631.00,91.00,-2.13,-1.01,166.48,0.00,952.00,263.00,78.00
4.109,,604.00,636.00,91.00,-2.58,-2.77,-171.64,0.00,952.00,263.00,78.00
