Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg)
0.014,0,-185.01,-28.91,782.56,-0.80,22.60,175.06
0.037,0,-185.96,-28.69,786.58,-0.54,22.22,175.42
0.066,0,-184.89,-28.17,782.04,-0.83,22.70,175.01
0.093,0,-184.00,-27.70,778.75,-0.52,23.47,175.15
0.123,0,-184.18,-27.19,781.07,-1.45,22.76,174.00
0.142,0,-182.58,-26.49,774.76,-0.83,23.86,174.71
0.161,0,-182.47,-26.24,774.28,-0.84,23.95,174.69
0.183,0,-181.73,-26.01,771.11,-0.54,24.28,175.24
0.198,0,-182.70,-25.79,775.29,-0.89,22.94,175.40
0.212,0,-182.05,-25.33,772.52,-0.60,23.20,175.92
0.227,0,-181.47,-25.10,769.02,-0.32,22.66,176.33
0.241,0,-181.74,-25.11,769.63,-0.32,23.04,176.81
0.256,0,-182.82,-25.08,772.21,-0.64,21.85,176.18
0.270,0,-183.22,-25.35,773.35,-0.63,22.14,176.69
0.283,0,-184.58,-25.33,776.56,-0.95,21.31,176.55
0.297,0,-183.90,-25.57,772.66,-1.24,21.67,176.09
0.311,0,-183.37,-25.33,769.40,-0.91,22.04,176.71
0.326,0,-183.63,-25.34,769.94,-0.91,22.43,177.19
0.340,0,-183.72,-25.11,769.82,-0.94,21.92,176.62
0.353,0,-183.62,-24.87,769.91,-0.93,22.44,177.16
0.368,0,-183.36,-24.39,769.33,-0.94,22.04,176.64
0.381,0,-183.87,-24.39,773.03,-0.70,21.18,176.49
0.397,0,-183.13,-23.93,769.88,-0.96,22.47,177.10
0.411,0,-183.00,-23.95,770.35,-0.37,22.40,177.15
0.426,0,-184.80,-23.90,776.42,-1.02,21.30,176.39
0.441,0,-183.76,-23.65,772.05,-0.69,21.80,176.09
0.455,0,-183.76,-23.65,772.05,-0.69,21.80,176.09
0.470,0,-183.27,-23.70,769.96,-0.94,22.87,176.71
0.483,0,-183.63,-23.45,769.43,-0.95,22.93,176.70
0.498,0,-183.75,-23.70,769.92,-0.94,22.84,176.71
0.513,0,-183.83,-23.67,768.75,-0.38,22.53,176.22
0.531,0,-183.70,-23.46,766.14,-0.64,23.64,176.81
0.559,0,-183.70,-23.46,766.14,-0.64,23.64,176.81
0.574,0,-182.90,-23.23,762.79,-0.34,23.99,177.33
0.589,0,-184.07,-23.21,769.75,-0.38,22.44,177.16
0.607,0,-182.67,-22.54,766.89,-0.67,22.74,177.61
0.627,0,-179.71,-21.88,760.47,-0.13,22.59,178.48
0.647,0,-177.00,-20.96,761.15,-0.13,22.71,179.42
0.667,0,-174.60,-20.27,761.15,0.40,21.94,179.37
0.691,0,-171.50,-19.60,757.44,0.66,22.03,179.34
0.716,0,-168.89,-19.15,757.52,0.62,21.25,179.25
0.733,0,-166.49,-18.46,757.41,1.14,20.44,179.19
0.753,0,-164.93,-17.94,764.08,1.04,18.30,178.35
0.772,0,-160.37,-16.83,760.61,0.75,17.91,177.81
0.794,0,-157.67,-16.42,757.36,0.98,17.88,177.67
0.812,0,-154.99,-15.54,754.13,1.80,17.92,178.79
0.828,0,-154.23,-15.07,753.86,1.24,18.09,178.73
0.846,0,-151.92,-14.43,750.62,2.06,17.50,179.34
0.864,0,-150.27,-14.26,747.66,1.76,17.42,179.27
0.882,0,-149.81,-14.27,747.69,1.76,17.44,179.28
0.898,0,-149.08,-14.50,748.17,1.19,16.91,179.73
0.916,0,-147.02,-14.54,744.27,2.02,17.00,179.83
