Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg)
0.011,,-297.17,-59.14,1044.61,-6.12,18.31,169.93
0.028,,-297.28,-58.89,1043.26,-5.69,19.15,171.47
0.059,,-297.79,-58.82,1042.14,-5.66,19.84,171.07
0.076,,-301.26,-59.84,1054.30,-5.75,18.89,170.71
0.103,,-301.91,-59.83,1054.25,-5.75,18.86,170.72
0.128,,-305.43,-60.31,1062.46,-6.65,17.33,169.50
0.152,,-304.77,-59.06,1060.73,-5.48,17.05,170.75
0.172,,-303.35,-58.58,1055.19,-5.82,18.07,171.06
0.187,,-305.63,-58.76,1061.38,-6.25,18.17,171.04
0.202,,-304.96,-58.20,1054.34,-6.59,19.84,170.85
0.217,,-306.04,-57.99,1056.36,-5.82,19.17,171.33
0.233,,-308.00,-57.50,1059.64,-5.86,18.87,172.48
0.248,,-304.22,-56.44,1046.03,-5.74,20.54,172.35
0.262,,-307.29,-56.43,1054.88,-5.45,19.30,173.22
0.277,,-305.33,-55.85,1046.99,-5.76,19.81,172.81
0.291,,-307.36,-56.03,1053.40,-5.45,18.71,172.50
0.305,,-308.64,-56.02,1056.05,-5.87,19.07,171.25
0.319,,-309.83,-56.13,1058.39,-5.86,19.52,172.00
0.335,,-309.29,-56.01,1056.00,-5.87,19.04,171.25
0.350,,-310.48,-56.13,1058.33,-5.86,19.49,172.00
0.364,,-311.14,-56.12,1058.28,-5.86,19.47,172.00
0.379,,-311.30,-56.06,1057.11,-5.85,20.15,171.52
0.394,,-311.79,-55.46,1058.20,-5.88,19.44,171.97
0.408,,-310.12,-55.36,1053.08,-5.43,20.49,172.24
0.422,,-307.61,-54.43,1044.54,-5.78,21.06,171.79
0.436,,-310.11,-54.71,1053.04,-5.45,20.49,172.21
0.451,,-311.28,-54.76,1057.04,-5.88,20.15,171.47
0.466,,-312.42,-54.21,1059.16,-5.89,20.60,172.16
0.481,,-313.08,-54.20,1059.11,-5.90,20.57,172.16
0.495,,-314.53,-53.83,1061.21,-6.35,19.65,170.66
0.509,,-313.04,-52.09,1052.75,-5.49,20.37,172.16
0.526,,-313.65,-51.78,1053.12,-5.53,19.74,172.59
0.545,,-314.46,-50.83,1053.59,-5.55,19.63,172.53
0.577,,-313.08,-48.77,1047.78,-5.95,20.00,173.17
0.597,,-308.85,-46.46,1039.66,-5.15,21.38,175.14
0.615,,-307.22,-44.97,1041.98,-4.43,20.21,176.13
0.634,,-303.95,-43.96,1040.38,-4.44,19.88,175.46
0.655,,-297.49,-43.02,1036.86,-4.06,18.48,176.55
0.674,,-293.43,-42.37,1035.88,-4.08,18.07,175.78
0.704,,-289.03,-41.71,1034.82,-4.08,17.68,175.07
0.728,,-284.60,-40.76,1034.23,-3.39,15.26,174.57
0.745,,-268.30,-36.24,1017.65,-2.30,13.90,175.65
0.762,,-262.50,-34.67,1012.64,-2.69,13.04,176.20
0.778,,-255.18,-32.47,1002.04,-1.93,13.69,177.07
0.795,,-249.07,-30.33,997.21,-1.64,12.19,178.25
0.812,,-242.10,-28.17,989.90,-1.98,12.41,176.73
0.829,,-236.50,-26.09,986.04,-1.70,11.54,178.78
0.845,,-230.71,-24.32,981.21,-1.38,10.67,179.47
0.862,,-226.94,-23.13,981.62,-1.43,9.93,-179.84
0.879,,-216.53,-20.81,964.03,-1.79,10.93,-179.17
0.895,,-212.36,-19.67,958.89,-1.43,10.05,-178.17
0.913,,-204.51,-17.62,951.69,-1.07,11.45,-175.70
0.930,,-198.92,-15.91,959.48,-0.85,6.82,-178.17
0.947,,-187.50,-14.31,948.81,-0.84,7.09,-178.17
0.963,,-180.90,-13.11,946.95,-0.81,5.57,-175.32
0.980,,-179.62,-13.10,953.63,-1.29,3.10,-178.23
0.997,,-172.14,-12.02,948.46,-0.92,4.57,-176.91
1.013,,-160.22,-9.95,939.25,-0.86,4.59,-179.09
1.030,,-154.43,-9.37,938.74,-0.83,3.71,-177.25
1.049,,-150.98,-9.19,934.46,-1.16,6.07,-177.76
