Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg)
1.067,,-141.56,-7.86,927.95,-0.83,5.75,-176.33
1.082,,-135.38,-6.73,927.18,-0.85,3.61,-175.71
1.099,,-131.70,-6.28,922.57,-0.51,3.37,-175.38
1.116,,-125.98,-5.56,917.31,-0.20,3.97,-175.76
1.133,,-120.45,-5.49,922.96,-0.53,2.92,-176.87
1.152,,-116.11,-5.70,912.21,-0.53,4.82,-175.95
1.175,,-113.67,-6.12,914.38,-0.78,2.96,-174.23
1.196,,-111.39,-6.97,915.67,-0.78,0.07,-174.24
1.215,,-109.14,-8.11,913.15,-1.32,-8.95,170.29
1.232,,-105.90,-9.03,911.01,-0.47,0.90,-174.95
1.248,,-101.43,-9.85,904.55,-0.92,-7.30,169.15
1.266,,-99.26,-10.05,905.54,-0.38,1.16,-170.99
1.282,,-97.54,-10.39,902.46,-0.94,-10.19,168.44
1.299,,-95.46,-10.53,903.68,-1.29,-8.36,170.36
1.316,,-92.91,-10.63,900.90,-0.95,-10.92,170.95
1.334,,-89.21,-10.13,900.09,-0.07,-0.69,-170.46
1.350,,-87.35,-10.47,894.74,-0.54,-8.34,167.55
1.366,,-83.90,-10.31,893.40,-0.27,-9.47,168.38
1.381,,-81.91,-10.29,890.94,-0.26,-7.72,167.87
1.396,,-80.08,-10.40,889.11,0.07,-9.58,168.68
1.411,,-77.90,-10.40,889.22,0.07,-9.48,168.68
1.427,,-75.68,-10.23,885.82,0.38,-10.82,168.61
1.443,,-74.47,-9.44,887.14,0.60,4.29,-168.69
1.462,,-70.44,-8.80,879.64,0.57,1.56,-166.55
1.482,,-69.72,-9.13,882.05,0.39,-7.05,167.84
1.499,,-66.27,-8.69,876.59,0.71,-11.21,167.46
1.513,,-64.37,-8.42,876.24,0.69,-10.60,166.96
1.529,,-61.99,-7.63,876.78,0.72,-10.99,167.41
1.543,,-59.26,-6.45,869.71,0.90,3.00,-165.22
1.559,,-56.87,-5.67,869.83,1.50,3.09,-165.31
1.574,,-55.63,-5.75,869.52,1.36,-9.65,165.34
1.589,,-53.51,-5.22,869.63,1.37,-9.54,165.32
1.603,,-51.50,-4.80,864.88,1.05,-9.25,165.16
1.618,,-50.35,-3.93,865.28,1.18,3.39,-165.23
1.633,,-48.10,-3.64,860.34,1.76,3.92,-164.10
1.649,,-45.86,-3.35,860.88,1.38,-9.11,165.32
1.664,,-44.19,-2.38,863.46,1.78,4.84,-167.38
1.680,,-42.57,-1.97,862.55,2.10,5.46,-165.86
1.695,,-40.45,-2.05,855.25,2.01,-9.29,163.72
1.710,,-39.41,-2.05,855.31,2.01,-9.23,163.73
1.726,,-39.12,-1.66,853.98,1.47,3.50,-163.82
1.741,,-37.85,-2.05,855.39,2.01,-9.14,163.74
1.755,,-37.26,-1.42,855.79,2.08,4.83,-164.14
1.770,,-35.68,-1.54,850.62,2.00,-9.53,162.69
1.785,,-35.57,-1.54,853.54,2.00,-7.74,163.43
1.802,,-35.63,-1.65,851.03,1.47,5.45,-163.04
1.818,,-35.38,-1.90,848.70,1.44,3.97,-162.40
1.834,,-35.66,-2.06,852.07,1.16,4.91,-164.31
1.850,,-35.36,-2.43,854.71,1.07,-7.00,164.85
1.865,,-34.99,-2.44,849.02,1.07,-7.67,163.40
1.880,,-34.99,-2.44,849.02,1.07,-7.67,163.40
1.895,,-35.22,-2.69,851.73,1.66,-8.86,164.04
1.910,,-35.74,-2.45,854.19,0.89,3.87,-163.76
1.924,,-35.19,-2.95,850.98,1.08,-8.94,163.74
1.939,,-34.99,-2.95,849.02,1.07,-7.68,163.43
1.954,,-35.14,-2.06,852.10,1.16,4.95,-164.31
1.968,,-34.40,-2.43,844.24,1.06,-8.26,162.43
1.984,,-34.40,-2.43,844.24,1.06,-8.26,162.43
1.999,,-34.40,-2.43,844.24,1.06,-8.26,162.43
2.015,,-33.95,-1.78,844.68,1.16,6.27,-164.60
2.029,,-33.01,-2.30,842.10,0.78,-9.54,162.95
2.045,,-32.47,-1.78,843.48,1.15,5.10,-164.42
2.063,,-31.96,-1.78,843.51,1.15,5.14,-164.42
2.080,,-31.45,-1.78,843.54,1.15,5.18,-164.42
2.098,,-30.93,-1.78,843.57,1.15,5.22,-164.42
2.116,,-30.42,-1.78,843.59,1.15,5.26,-164.43
2.131,,-29.43,-2.30,834.94,0.78,-8.71,161.44
2.147,,-29.33,-1.75,838.08,1.15,5.74,-163.00
2.163,,-29.71,-2.30,856.83,0.59,5.27,-161.13
2.178,,-29.74,-2.59,861.72,0.00,4.88,-162.07
2.192,,-29.76,-2.95,858.79,0.28,4.13,-160.54
2.208,,-29.41,-3.04,841.10,0.58,4.14,-163.65
2.222,,-29.47,-3.83,839.71,0.79,-8.17,162.44
2.237,,-30.49,-4.34,839.65,0.78,-8.23,162.47
2.252,,-32.08,-4.74,844.38,0.45,-8.24,162.62
2.268,,-33.26,-4.65,850.26,0.58,6.11,-165.96
2.283,,-37.25,-5.31,852.77,0.91,4.58,-165.48
2.300,,-40.98,-6.13,857.43,1.52,3.77,-166.70
2.315,,-42.78,-6.23,856.68,1.19,3.91,-165.13
2.332,,-47.69,-7.24,855.46,1.31,-6.18,164.31
2.348,,-54.07,-7.54,865.05,1.37,-5.00,166.89
2.365,,-60.46,-7.39,859.85,1.04,-5.00,164.38
2.379,,-67.25,-7.00,859.02,1.30,-6.11,163.16
2.394,,-75.32,-6.23,871.42,1.28,-5.51,168.56
2.408,,-83.01,-4.73,871.09,1.64,1.09,170.88
2.423,,-89.69,-3.53,862.34,1.27,-3.73,166.59
2.439,,-94.12,-3.00,864.96,1.27,-2.41,167.30
2.454,,-102.81,-1.61,868.99,1.24,2.58,172.52
2.468,,-111.65,0.04,871.87,1.25,2.86,174.94
2.483,,-114.40,0.83,862.75,1.17,6.53,174.65
2.498,,-123.05,2.90,868.97,1.51,7.10,178.74
2.512,,-128.94,5.17,864.78,1.18,9.58,179.88
2.527,,-134.44,7.58,863.67,1.76,11.21,-178.48
2.542,,-135.62,8.54,854.69,2.32,14.85,-179.57
