Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg),Marker No,X ,Y ,R
0.031,,-71.80,69.15,1254.64,7.94,-9.97,-176.77,0.00,838.00,489.00,77.00
0.088,,-71.80,69.15,1254.64,7.94,-9.97,-176.77,0.00,838.00,489.00,77.00
0.168,,-71.80,69.15,1254.64,7.94,-9.97,-176.77,0.00,838.00,489.00,77.00
0.211,,-71.33,68.53,1246.77,7.72,-12.56,-176.89,0.00,838.00,489.00,77.00
0.255,,-71.80,69.15,1254.64,7.94,-9.97,-176.77,0.00,838.00,489.00,77.00
0.299,,-72.47,69.58,1263.16,8.08,-10.49,178.49,0.00,838.00,489.00,77.00
0.343,,-71.80,69.15,1254.64,7.94,-9.97,-176.77,0.00,838.00,489.00,77.00
0.385,,-72.47,69.58,1263.16,8.08,-10.49,178.49,0.00,838.00,489.00,77.00
0.428,,-71.80,69.15,1254.64,7.94,-9.97,-176.77,0.00,838.00,489.00,77.00
0.472,,-72.47,69.58,1263.16,8.08,-10.49,178.49,0.00,838.00,489.00,77.00
0.515,,-72.47,69.58,1263.16,8.08,-10.49,178.49,0.00,838.00,489.00,77.00
0.572,,-71.80,69.15,1254.64,7.94,-9.97,-176.77,0.00,838.00,489.00,77.00
0.619,,-71.80,69.15,1254.64,7.94,-9.97,-176.77,0.00,838.00,489.00,77.00
0.666,,-71.80,69.15,1254.64,7.94,-9.97,-176.77,0.00,838.00,489.00,77.00
0.717,,-71.56,69.11,1254.00,8.23,-13.03,-177.22,0.00,838.00,489.00,77.00
0.774,,-71.80,69.15,1254.64,7.94,-9.97,-176.77,0.00,838.00,489.00,77.00
0.819,,-72.47,69.58,1263.16,8.08,-10.49,178.49,0.00,838.00,489.00,77.00
0.865,,-71.80,69.15,1254.64,7.94,-9.97,-176.77,0.00,838.00,489.00,77.00
0.912,,-71.56,69.11,1254.00,8.23,-13.03,-177.22,0.00,838.00,489.00,77.00
0.957,,-72.47,69.58,1263.16,8.08,-10.49,178.49,0.00,838.00,489.00,77.00
1.004,,-72.47,69.58,1263.16,8.08,-10.49,178.49,0.00,838.00,489.00,77.00
1.049,,-72.47,69.58,1263.16,8.08,-10.49,178.49,0.00,838.00,489.00,77.00
1.095,,-72.47,69.58,1263.16,8.08,-10.49,178.49,0.00,838.00,489.00,77.00
1.140,,-72.47,69.58,1263.16,8.08,-10.49,178.49,0.00,838.00,489.00,77.00
1.187,,-72.47,69.58,1263.16,8.08,-10.49,178.49,0.00,838.00,489.00,77.00
1.232,,-72.47,69.58,1263.16,8.08,-10.49,178.49,0.00,838.00,489.00,77.00
1.290,,-72.47,69.58,1263.16,8.08,-10.49,178.49,0.00,838.00,489.00,77.00
1.351,,-72.47,69.58,1263.16,8.08,-10.49,178.49,0.00,838.00,489.00,77.00
1.396,,-72.47,69.58,1263.16,8.08,-10.49,178.49,0.00,838.00,489.00,77.00
1.441,,-72.47,69.58,1263.16,8.08,-10.49,178.49,0.00,838.00,489.00,77.00
1.486,,-72.30,69.04,1255.19,7.16,3.10,168.98,0.00,838.00,489.00,77.00
1.530,,-72.30,69.11,1254.07,8.24,-13.06,-177.25,0.00,838.00,489.00,77.00
1.575,,-72.04,69.59,1252.39,8.42,-10.16,-173.88,0.00,838.00,489.00,77.00
1.622,,-72.04,69.59,1252.39,8.42,-10.16,-173.88,0.00,838.00,489.00,77.00
1.669,,-71.46,69.04,1242.79,8.57,-13.25,-176.91,0.00,838.00,489.00,77.00
1.715,,-69.84,67.29,1233.01,7.91,-11.10,-171.42,0.00,838.00,489.00,77.00
1.761,,-67.79,64.90,1228.85,7.17,-12.85,-174.07,0.00,838.00,489.00,77.00
1.806,,-52.14,53.67,1128.37,4.98,-18.07,-158.94,0.00,838.00,489.00,77.00
1.853,,-40.28,47.81,1097.77,1.61,-16.57,-152.81,0.00,838.00,489.00,77.00
1.989,,21.62,21.80,1142.97,-7.64,-8.71,-154.32,0.00,838.00,489.00,77.00
2.080,,69.19,-7.33,1128.85,-14.23,-8.29,-153.49,0.00,838.00,489.00,77.00
2.126,,89.73,-23.02,1188.29,-14.57,-4.50,-158.56,0.00,838.00,489.00,77.00
2.175,,99.12,-30.38,1222.02,-14.39,3.27,-161.35,0.00,838.00,489.00,77.00
2.227,,111.06,-45.37,1207.18,-15.05,6.32,-157.74,0.00,838.00,489.00,77.00
2.272,,130.48,-68.20,1245.83,-15.97,8.26,-166.02,0.00,838.00,489.00,77.00
2.316,,135.07,-79.51,1233.33,-17.61,7.74,164.69,0.00,838.00,489.00,77.00
2.362,,137.97,-86.50,1239.74,-18.25,6.12,-161.66,0.00,838.00,489.00,77.00
2.408,,136.07,-91.40,1214.95,-17.41,6.88,160.58,0.00,838.00,489.00,77.00
2.455,,142.53,-99.77,1250.18,-19.23,5.24,170.11,0.00,838.00,489.00,77.00
2.501,,143.08,-100.95,1243.57,-18.74,5.27,166.64,0.00,838.00,489.00,77.00
2.548,,146.20,-102.07,1260.16,-19.09,5.30,-163.84,0.00,838.00,489.00,77.00
2.594,,150.58,-103.61,1269.04,-17.86,4.35,168.50,0.00,838.00,489.00,77.00
2.638,,155.06,-101.86,1258.88,-19.37,8.34,-163.48,0.00,838.00,489.00,77.00
2.683,,158.38,-102.68,1263.50,-19.92,7.81,167.04,0.00,838.00,489.00,77.00
2.728,,165.18,-103.12,1277.61,-20.69,8.28,-169.96,0.00,838.00,489.00,77.00
2.775,,168.83,-103.22,1283.94,-21.19,7.44,173.73,0.00,838.00,489.00,77.00
2.819,,168.43,-101.79,1270.45,-21.46,10.09,-165.81,0.00,838.00,489.00,77.00
2.872,,171.89,-102.48,1283.92,-21.20,7.62,173.63,0.00,838.00,489.00,77.00
2.921,,172.67,-101.97,1283.74,-21.17,9.52,-170.57,0.00,838.00,489.00,77.00
2.969,,172.24,-101.87,1280.41,-21.68,7.63,-167.44,0.00,838.00,489.00,77.00
3.017,,172.39,-101.73,1278.60,-21.72,7.36,-166.71,0.00,838.00,489.00,77.00
3.064,,172.16,-102.94,1277.18,-21.67,4.60,171.23,0.00,838.00,489.00,77.00
3.112,,172.81,-104.05,1287.08,-21.39,-0.92,-178.22,0.00,838.00,489.00,77.00
3.161,,169.06,-103.45,1267.03,-21.88,8.14,166.51,0.00,838.00,489.00,77.00
3.209,,171.13,-105.37,1288.07,-21.20,13.01,-173.09,0.00,838.00,489.00,77.00
3.259,,169.96,-104.90,1280.30,-21.67,7.61,-167.33,0.00,838.00,489.00,77.00
3.308,,169.92,-105.16,1283.19,-20.78,10.71,-172.42,0.00,838.00,489.00,77.00
3.355,,169.53,-105.09,1281.18,-21.27,-0.31,178.89,0.00,838.00,489.00,77.00
3.408,,170.38,-105.00,1283.61,-21.16,9.53,-170.48,0.00,838.00,489.00,77.00
3.466,,171.13,-105.37,1288.07,-21.20,13.01,-173.09,0.00,838.00,489.00,77.00
3.491,,171.13,-105.37,1288.07,-21.20,13.01,-173.09,1.00,379.00,676.00,80.00
3.544,,168.43,-103.30,1270.36,-21.45,10.11,-165.77,1.00,379.00,676.00,80.00
3.591,,169.60,-104.75,1283.82,-21.19,7.51,173.81,1.00,379.00,676.00,80.00
3.638,,170.60,-105.50,1293.76,-21.72,1.61,-176.29,1.00,379.00,676.00,80.00
3.685,,169.73,-105.23,1289.18,-20.81,14.35,-169.99,1.00,379.00,676.00,80.00
3.735,,169.31,-105.45,1289.03,-21.23,14.09,-175.62,1.00,379.00,676.00,80.00
3.784,,169.58,-105.35,1288.06,-21.19,12.98,-173.05,1.00,379.00,676.00,80.00
3.835,,169.40,-105.95,1290.81,-20.32,9.43,-170.38,1.00,379.00,676.00,80.00
3.887,,167.99,-105.08,1281.19,-21.27,-0.39,178.89,1.00,379.00,676.00,80.00
3.935,,161.28,-102.83,1272.50,-20.00,10.13,-165.69,1.00,379.00,676.00,80.00
3.980,,155.27,-101.37,1276.27,-19.60,7.68,-166.80,1.00,379.00,676.00,80.00
4.027,,148.17,-99.71,1271.10,-17.63,8.95,-160.10,1.00,379.00,676.00,80.00
4.074,,126.50,-94.11,1268.71,-16.17,2.11,-166.41,1.00,379.00,676.00,80.00
4.120,,101.82,-87.35,1237.56,-13.43,2.04,-159.13,1.00,379.00,676.00,80.00
4.257,,41.39,-74.16,1213.61,-5.98,7.40,161.44,1.00,379.00,676.00,80.00
4.303,,3.14,-63.92,1201.20,-3.13,-10.92,-155.73,1.00,379.00,676.00,80.00
4.389,,-22.40,-56.45,1193.68,-0.60,-13.12,-155.50,1.00,379.00,676.00,80.00
4.436,,-46.43,-48.27,1225.65,2.84,-17.91,-160.93,1.00,379.00,676.00,80.00
4.482,,-73.37,-33.03,1236.54,7.14,7.89,164.58,1.00,379.00,676.00,80.00
4.570,,-91.79,-16.81,1220.88,8.14,-16.76,-165.58,1.00,379.00,676.00,80.00
4.616,,-96.99,-11.91,1228.18,9.21,-18.86,-168.32,1.00,379.00,676.00,80.00
4.663,,-107.77,1.35,1226.44,10.45,-20.82,-169.55,1.00,379.00,676.00,80.00
4.707,,-113.39,11.36,1225.31,11.49,-20.45,-170.09,1.00,379.00,676.00,80.00
4.751,,-117.42,18.95,1243.50,12.07,-18.73,-172.45,1.00,379.00,676.00,80.00
4.797,,-119.68,27.95,1240.87,13.06,-18.55,-173.03,1.00,379.00,676.00,80.00
