Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg),Marker No,X ,Y ,R
0.036,,-68.54,67.70,1260.72,6.72,1.61,167.72,0.00,358.00,719.00,78.00
0.103,,-68.29,67.61,1255.56,6.17,4.42,168.95,0.00,358.00,719.00,78.00
0.150,,-68.29,67.61,1255.56,6.17,4.42,168.95,0.00,358.00,719.00,78.00
0.195,,-68.29,67.61,1255.56,6.17,4.42,168.95,0.00,358.00,719.00,78.00
0.240,,-68.29,67.61,1255.56,6.17,4.42,168.95,0.00,358.00,719.00,78.00
0.286,,-68.29,67.61,1255.56,6.17,4.42,168.95,0.00,358.00,719.00,78.00
0.333,,-68.54,67.70,1260.72,6.72,1.61,167.72,0.00,358.00,719.00,78.00
0.380,,-68.29,67.61,1255.56,6.17,4.42,168.95,0.00,358.00,719.00,78.00
0.428,,-68.29,67.61,1255.56,6.17,4.42,168.95,0.00,358.00,719.00,78.00
0.476,,-68.29,67.61,1255.56,6.17,4.42,168.95,0.00,358.00,719.00,78.00
0.535,,-68.29,67.61,1255.56,6.17,4.42,168.95,0.00,358.00,719.00,78.00
0.584,,-68.29,67.61,1255.56,6.17,4.42,168.95,0.00,358.00,719.00,78.00
0.638,,-68.29,67.61,1255.56,6.17,4.42,168.95,0.00,358.00,719.00,78.00
0.690,,-68.29,67.61,1255.56,6.17,4.42,168.95,0.00,358.00,719.00,78.00
0.735,,-67.94,67.83,1253.50,7.34,-0.35,164.08,0.00,358.00,719.00,78.00
0.782,,-68.29,67.61,1255.56,6.17,4.42,168.95,0.00,358.00,719.00,78.00
0.828,,-67.94,67.83,1253.50,7.34,-0.35,164.08,0.00,358.00,719.00,78.00
0.876,,-68.29,67.61,1255.56,6.17,4.42,168.95,0.00,358.00,719.00,78.00
0.932,,-68.12,67.80,1255.22,5.65,7.61,172.34,0.00,358.00,719.00,78.00
0.989,,-68.29,67.61,1255.56,6.17,4.42,168.95,0.00,358.00,719.00,78.00
1.047,,-67.94,67.83,1253.50,7.34,-0.35,164.08,0.00,358.00,719.00,78.00
1.094,,-67.94,67.83,1253.50,7.34,-0.35,164.08,0.00,358.00,719.00,78.00
1.139,,-68.29,67.61,1255.56,6.17,4.42,168.95,0.00,358.00,719.00,78.00
1.188,,-67.94,67.83,1253.50,7.34,-0.35,164.08,0.00,358.00,719.00,78.00
1.245,,-68.29,67.61,1255.56,6.17,4.42,168.95,0.00,358.00,719.00,78.00
1.301,,-68.29,67.61,1255.56,6.17,4.42,168.95,0.00,358.00,719.00,78.00
1.358,,-67.94,67.83,1253.50,7.34,-0.35,164.08,0.00,358.00,719.00,78.00
1.408,,-67.94,67.83,1253.50,7.34,-0.35,164.08,0.00,358.00,719.00,78.00
1.459,,-67.94,67.83,1253.50,7.34,-0.35,164.08,0.00,358.00,719.00,78.00
1.505,,-68.29,67.61,1255.56,6.17,4.42,168.95,0.00,358.00,719.00,78.00
1.551,,-67.94,67.83,1253.50,7.34,-0.35,164.08,0.00,358.00,719.00,78.00
1.598,,-67.94,67.83,1253.50,7.34,-0.35,164.08,0.00,358.00,719.00,78.00
1.643,,-67.94,67.83,1253.50,7.34,-0.35,164.08,0.00,358.00,719.00,78.00
1.689,,-67.94,67.83,1253.50,7.34,-0.35,164.08,0.00,358.00,719.00,78.00
1.736,,-67.94,67.83,1253.50,7.34,-0.35,164.08,0.00,358.00,719.00,78.00
1.782,,-67.94,67.83,1253.50,7.34,-0.35,164.08,0.00,358.00,719.00,78.00
1.831,,-67.94,67.83,1253.50,7.34,-0.35,164.08,0.00,358.00,719.00,78.00
1.878,,-67.94,67.83,1253.50,7.34,-0.35,164.08,0.00,358.00,719.00,78.00
1.938,,-67.94,67.83,1253.50,7.34,-0.35,164.08,0.00,358.00,719.00,78.00
1.981,,-68.19,68.66,1262.04,7.27,-7.15,-175.45,0.00,358.00,719.00,78.00
2.036,,-67.94,67.83,1253.50,7.34,-0.35,164.08,0.00,358.00,719.00,78.00
2.092,,-67.94,67.83,1253.50,7.34,-0.35,164.08,0.00,358.00,719.00,78.00
2.148,,-68.19,68.66,1262.04,7.27,-7.15,-175.45,0.00,358.00,719.00,78.00
2.206,,-67.94,67.83,1253.50,7.34,-0.35,164.08,0.00,358.00,719.00,78.00
2.263,,-67.94,67.83,1253.50,7.34,-0.35,164.08,0.00,358.00,719.00,78.00
2.319,,-67.94,67.83,1253.50,7.34,-0.35,164.08,0.00,358.00,719.00,78.00
2.366,,-68.19,68.66,1262.04,7.27,-7.15,-175.45,0.00,358.00,719.00,78.00
2.413,,-68.19,68.66,1262.04,7.27,-7.15,-175.45,0.00,358.00,719.00,78.00
2.457,,-68.19,68.66,1262.04,7.27,-7.15,-175.45,0.00,358.00,719.00,78.00
2.505,,-67.94,67.83,1253.50,7.34,-0.35,164.08,0.00,358.00,719.00,78.00
2.551,,-67.94,67.83,1253.50,7.34,-0.35,164.08,0.00,358.00,719.00,78.00
2.601,,-67.94,67.83,1253.50,7.34,-0.35,164.08,0.00,358.00,719.00,78.00
2.656,,-67.94,67.83,1253.50,7.34,-0.35,164.08,0.00,358.00,719.00,78.00
2.713,,-67.94,67.83,1253.50,7.34,-0.35,164.08,0.00,358.00,719.00,78.00
2.770,,-67.94,67.83,1253.50,7.34,-0.35,164.08,0.00,358.00,719.00,78.00
2.817,,-67.94,67.83,1253.50,7.34,-0.35,164.08,0.00,358.00,719.00,78.00
