Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg)
1.369,0,-130.42,116.84,381.46,11.42,-28.25,160.67
1.427,0,-113.98,85.75,374.58,2.09,13.02,172.69
1.484,0,-110.62,79.50,379.82,2.45,15.16,174.03
1.542,0,-104.96,68.49,388.41,2.41,19.36,174.14
1.597,0,-94.53,63.99,399.01,3.80,18.34,174.01
1.653,0,-85.60,65.55,399.05,5.12,18.23,174.76
1.712,0,-76.24,68.87,395.83,6.42,17.63,175.50
1.768,0,-57.33,78.76,388.69,10.94,15.64,176.62
1.822,0,-30.32,95.73,372.28,17.13,15.45,-179.05
