Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg),Marker No,X ,Y ,R
0.036,,576.00,414.00,89.00,-14.60,0.00,162.94,0.00,254.00,703.00,87.00
0.145,,572.00,419.00,89.00,-14.90,0.43,161.97,0.00,254.00,703.00,87.00
0.207,,563.00,429.00,89.00,-13.45,-0.98,161.17,0.00,254.00,703.00,87.00
0.258,,558.00,436.00,91.00,-13.78,-2.12,160.39,0.00,254.00,703.00,87.00
0.307,,557.00,437.00,91.00,-13.33,-1.41,159.39,0.00,254.00,703.00,87.00
0.355,,557.00,442.00,90.00,-13.00,-1.23,160.80,0.00,254.00,703.00,87.00
0.405,,557.00,447.00,89.00,-12.60,-0.01,-149.16,0.00,254.00,703.00,87.00
0.454,,556.00,451.00,90.00,-12.40,0.26,-147.73,0.00,254.00,703.00,87.00
0.509,,556.00,454.00,90.00,-12.26,-1.87,161.42,0.00,254.00,703.00,87.00
0.586,,556.00,457.00,87.00,-12.74,-0.42,165.46,0.00,254.00,703.00,87.00
0.661,,555.00,460.00,88.00,-12.29,-0.16,165.66,0.00,254.00,703.00,87.00
0.744,,553.00,466.00,87.00,-11.99,-0.37,165.21,0.00,254.00,703.00,87.00
0.815,,537.00,486.00,84.00,-10.21,0.15,169.42,0.00,254.00,703.00,87.00
0.899,,514.00,501.00,82.00,-8.77,4.47,172.89,0.00,254.00,703.00,87.00
1.037,,482.00,518.00,80.00,-6.82,-11.61,-162.14,0.00,254.00,703.00,87.00
1.102,,445.00,539.00,78.00,-3.85,-13.37,-163.78,0.00,254.00,703.00,87.00
1.158,,385.00,571.00,72.00,3.19,-7.98,167.34,0.00,254.00,703.00,87.00
1.264,,326.00,605.00,70.00,8.81,-13.59,-161.77,0.00,254.00,703.00,87.00
1.324,,306.00,620.00,68.00,10.93,-12.63,-167.33,0.00,254.00,703.00,87.00
1.420,,299.00,627.00,66.00,12.83,-9.35,-167.16,0.00,254.00,703.00,87.00
1.484,,259.00,659.00,66.00,16.60,-12.70,-162.21,0.00,254.00,703.00,87.00
1.540,,247.00,667.00,69.00,17.93,-15.38,-156.08,0.00,254.00,703.00,87.00
1.597,,239.00,671.00,71.00,18.71,-15.14,-153.74,0.00,254.00,703.00,87.00
1.654,,229.00,677.00,71.00,19.32,-16.29,-153.51,0.00,254.00,703.00,87.00
