Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg),Marker No,X ,Y ,R
0.129,,482.00,502.00,103.00,-9.74,4.52,-145.30,0.00,588.00,470.00,93.00
0.314,,480.00,502.00,104.00,-10.76,-11.92,153.89,0.00,588.00,470.00,93.00
0.376,,480.00,503.00,103.00,-11.70,-10.99,155.18,0.00,588.00,470.00,93.00
0.478,,478.00,507.00,103.00,-11.68,-11.11,155.06,0.00,588.00,470.00,93.00
0.532,,478.00,509.00,103.00,-11.13,-12.25,154.95,0.00,588.00,470.00,93.00
0.600,,478.00,509.00,104.00,-11.27,-11.53,153.26,0.00,588.00,470.00,93.00
0.816,,478.00,517.00,102.00,-9.85,4.79,-149.67,0.00,588.00,470.00,93.00
0.944,,477.00,521.00,103.00,-10.55,-11.18,155.80,0.00,588.00,470.00,93.00
1.004,,477.00,524.00,104.00,-10.61,-12.27,153.12,0.00,588.00,470.00,93.00
1.070,,477.00,524.00,104.00,-10.34,-12.82,153.61,0.00,588.00,470.00,93.00
1.127,,477.00,524.00,104.00,-10.34,-12.82,153.61,0.00,588.00,470.00,93.00
1.257,,477.00,523.00,104.00,-11.19,-11.22,154.56,0.00,588.00,470.00,93.00
1.359,,478.00,523.00,103.00,-11.31,-11.92,155.15,0.00,588.00,470.00,93.00
1.443,,478.00,522.00,104.00,-10.92,-11.66,153.90,0.00,588.00,470.00,93.00
1.500,,479.00,522.00,104.00,-11.69,-12.60,155.70,0.00,588.00,470.00,93.00
1.555,,479.00,522.00,104.00,-11.96,-12.01,155.17,0.00,588.00,470.00,93.00
1.610,,478.00,523.00,103.00,-10.92,-11.30,155.76,0.00,588.00,470.00,93.00
1.665,,478.00,523.00,103.00,-10.92,-11.30,155.76,0.00,588.00,470.00,93.00
1.724,,477.00,523.00,104.00,-11.19,-11.22,154.56,0.00,588.00,470.00,93.00
1.780,,477.00,523.00,104.00,-11.45,-11.24,153.42,0.00,588.00,470.00,93.00
1.893,,474.00,524.00,103.00,-10.65,-11.86,154.92,0.00,588.00,470.00,93.00
1.951,,471.00,525.00,103.00,-10.26,-12.05,156.28,0.00,588.00,470.00,93.00
2.008,,469.00,526.00,102.00,-10.36,-12.27,156.09,0.00,588.00,470.00,93.00
2.065,,466.00,528.00,103.00,-9.96,-12.41,156.13,0.00,588.00,470.00,93.00
2.121,,463.00,529.00,104.00,-9.46,-12.02,153.70,0.00,588.00,470.00,93.00
2.228,,461.00,531.00,103.00,-9.46,-11.08,154.80,0.00,588.00,470.00,93.00
2.282,,461.00,531.00,104.00,-9.17,-12.33,154.82,0.00,588.00,470.00,93.00
2.336,,463.00,529.00,102.00,-9.30,-12.32,156.01,0.00,588.00,470.00,93.00
2.390,,468.00,526.00,102.00,-9.69,-12.22,155.99,0.00,588.00,470.00,93.00
2.455,,469.00,524.00,103.00,-9.59,-11.89,154.90,0.00,588.00,470.00,93.00
2.510,,471.00,523.00,103.00,-10.55,-11.42,155.80,0.00,588.00,470.00,93.00
2.563,,473.00,521.00,102.00,-10.68,-11.46,157.03,0.00,588.00,470.00,93.00
2.618,,476.00,518.00,103.00,-11.35,-11.86,154.11,0.00,588.00,470.00,93.00
2.673,,478.00,514.00,104.00,-11.62,-11.71,154.19,0.00,588.00,470.00,93.00
2.726,,480.00,513.00,104.00,-10.67,-12.56,152.91,0.00,588.00,470.00,93.00
2.780,,484.00,510.00,103.00,-12.16,-12.30,154.89,0.00,588.00,470.00,93.00
2.835,,492.00,504.00,105.00,-12.02,-12.18,151.09,0.00,588.00,470.00,93.00
2.956,,500.00,498.00,104.00,-13.52,-11.73,154.14,0.00,588.00,470.00,93.00
3.011,,501.00,497.00,104.00,-12.60,-12.11,154.57,0.00,588.00,470.00,93.00
3.177,,513.00,491.00,104.00,-14.46,-10.66,153.72,0.00,588.00,470.00,93.00
3.232,,518.00,490.00,104.00,-14.85,-10.62,154.91,0.00,588.00,470.00,93.00
3.342,,527.00,488.00,104.00,-15.92,-10.39,155.04,0.00,588.00,470.00,93.00
3.454,,534.00,486.00,104.00,-16.29,-10.77,154.47,0.00,588.00,470.00,93.00
3.509,,538.00,485.00,104.00,-16.54,-10.11,155.08,0.00,588.00,470.00,93.00
3.564,,540.00,485.00,104.00,-16.28,-10.62,154.54,0.00,588.00,470.00,93.00
3.677,,545.00,482.00,104.00,-17.21,-9.36,154.44,0.00,588.00,470.00,93.00
3.736,,547.00,481.00,104.00,-16.96,-9.71,155.07,0.00,588.00,470.00,93.00
3.789,,552.00,479.00,104.00,-17.64,-9.14,154.50,0.00,588.00,470.00,93.00
3.843,,555.00,478.00,105.00,-17.82,-9.67,152.95,0.00,588.00,470.00,93.00
3.896,,560.00,476.00,104.00,-18.43,-9.57,155.21,0.00,588.00,470.00,93.00
3.950,,562.00,474.00,104.00,-18.66,-9.57,152.93,0.00,588.00,470.00,93.00
4.003,,564.00,472.00,105.00,-18.25,-9.40,151.84,0.00,588.00,470.00,93.00
4.056,,565.00,470.00,103.00,-19.11,-8.79,155.75,0.00,588.00,470.00,93.00
4.108,,567.00,468.00,104.00,-19.19,-8.28,153.09,0.00,588.00,470.00,93.00
4.161,,569.00,466.00,104.00,-19.47,-9.86,154.88,0.00,588.00,470.00,93.00
4.214,,570.00,465.00,103.00,-18.93,-8.56,155.94,0.00,588.00,470.00,93.00
4.268,,572.00,464.00,104.00,-19.35,-8.60,154.94,0.00,588.00,470.00,93.00
4.323,,574.00,463.00,104.00,-19.11,-9.18,153.16,0.00,588.00,470.00,93.00
4.376,,575.00,462.00,104.00,-19.64,-10.19,154.24,0.00,588.00,470.00,93.00
4.429,,577.00,462.00,103.00,-19.70,-9.67,154.86,0.00,588.00,470.00,93.00
4.488,,576.00,462.00,104.00,-19.52,-9.05,154.26,0.00,588.00,470.00,93.00
4.550,,575.00,462.00,104.00,-19.91,-9.66,153.69,0.00,588.00,470.00,93.00
4.604,,575.00,463.00,104.00,-19.95,-9.07,155.39,0.00,588.00,470.00,93.00
4.658,,574.00,463.00,104.00,-19.78,-8.66,153.67,0.00,588.00,470.00,93.00
