Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg)
8.573,,194.00,419.00,77.00,38.83,-4.20,-159.50,0.00,157.00,419.00,74.00
8.621,,192.00,419.00,76.00,37.96,-5.41,-159.82,0.00,157.00,419.00,74.00
8.671,,190.00,418.00,77.00,38.60,-4.56,-158.49,0.00,157.00,419.00,74.00
8.722,,190.00,416.00,78.00,38.74,-6.38,-157.58,0.00,157.00,419.00,74.00
8.770,,189.00,416.00,76.00,39.17,-5.55,-160.06,0.00,157.00,419.00,74.00
8.817,,190.00,415.00,77.00,39.41,-4.47,-159.80,0.00,157.00,419.00,74.00
8.865,,190.00,415.00,76.00,38.73,-7.30,-158.96,0.00,157.00,419.00,74.00
8.915,,189.00,414.00,75.00,38.82,-5.15,-161.24,0.00,157.00,419.00,74.00
8.974,,189.00,413.00,76.00,39.08,-3.97,-160.79,0.00,157.00,419.00,74.00
9.028,,189.00,412.00,77.00,40.36,-25.34,153.89,0.00,157.00,419.00,74.00
9.077,,190.00,411.00,75.00,38.79,-5.28,-161.33,0.00,157.00,419.00,74.00
9.127,,190.00,411.00,78.00,39.26,-4.93,-158.47,0.00,157.00,419.00,74.00
9.176,,190.00,410.00,78.00,38.92,-4.40,-159.67,0.00,157.00,419.00,74.00
9.226,,190.00,411.00,78.00,39.26,-4.93,-158.47,0.00,157.00,419.00,74.00
9.301,,189.00,411.00,76.00,38.57,-5.63,-159.94,1.00,896.00,419.00,91.00
9.350,,190.00,412.00,76.00,38.97,-7.11,-160.31,1.00,896.00,419.00,91.00
9.397,,190.00,411.00,78.00,38.82,-7.85,-156.59,1.00,896.00,419.00,91.00
9.447,,190.00,412.00,77.00,38.60,-4.76,-158.31,1.00,896.00,419.00,91.00
9.495,,191.00,413.00,77.00,40.06,-26.60,153.51,1.00,896.00,419.00,91.00
9.545,,191.00,413.00,76.00,40.07,-27.72,156.00,1.00,896.00,419.00,91.00
9.595,,191.00,414.00,78.00,38.23,-7.71,-156.44,1.00,896.00,419.00,91.00
9.645,,190.00,414.00,78.00,38.35,-5.07,-157.21,1.00,896.00,419.00,91.00
9.695,,191.00,417.00,78.00,38.88,-4.35,-159.87,1.00,896.00,419.00,91.00
10.780,,877.00,427.00,107.00,-19.35,4.21,148.92,1.00,896.00,419.00,91.00
10.827,,887.00,429.00,104.00,-20.75,5.67,150.38,1.00,896.00,419.00,91.00
10.875,,897.00,430.00,107.00,-21.40,4.35,148.53,1.00,896.00,419.00,91.00
10.922,,905.00,431.00,105.00,-22.78,4.09,151.07,1.00,896.00,419.00,91.00
10.970,,915.00,432.00,105.00,-25.74,1.11,153.64,1.00,896.00,419.00,91.00
11.019,,918.00,434.00,106.00,-26.01,2.29,152.33,1.00,896.00,419.00,91.00
11.077,,919.00,433.00,107.00,-26.87,2.72,151.62,1.00,896.00,419.00,91.00
11.129,,920.00,434.00,108.00,-27.56,3.31,149.12,1.00,896.00,419.00,91.00
11.178,,920.00,436.00,108.00,-28.54,3.01,148.96,1.00,896.00,419.00,91.00
11.224,,921.00,436.00,108.00,-28.99,18.36,-147.65,1.00,896.00,419.00,91.00
11.272,,920.00,438.00,108.00,-28.25,3.74,149.34,1.00,896.00,419.00,91.00
11.322,,917.00,441.00,108.00,-27.40,3.63,148.29,1.00,896.00,419.00,91.00
11.371,,914.00,440.00,108.00,-26.71,3.01,148.09,1.00,896.00,419.00,91.00
11.419,,910.00,439.00,107.00,-27.13,2.51,149.58,1.00,896.00,419.00,91.00
11.471,,908.00,437.00,108.00,-26.97,3.43,148.67,1.00,896.00,419.00,91.00
11.518,,909.00,435.00,108.00,-26.87,18.60,-147.16,1.00,896.00,419.00,91.00
11.567,,909.00,435.00,106.00,-26.28,2.38,151.66,1.00,896.00,419.00,91.00
11.615,,910.00,434.00,106.00,-25.59,1.98,151.27,1.00,896.00,419.00,91.00
11.662,,912.00,430.00,105.00,-25.44,1.66,153.08,1.00,896.00,419.00,91.00
11.712,,913.00,428.00,103.00,-24.83,1.34,156.36,1.00,896.00,419.00,91.00
11.762,,913.00,425.00,102.00,-25.45,0.60,157.03,1.00,896.00,419.00,91.00
11.811,,911.00,420.00,101.00,-23.78,0.03,159.34,1.00,896.00,419.00,91.00
11.861,,905.00,417.00,100.00,-22.43,-1.81,160.91,1.00,896.00,419.00,91.00
11.910,,902.00,416.00,98.00,-22.36,-1.56,163.41,1.00,896.00,419.00,91.00
11.960,,899.00,415.00,98.00,-22.18,-0.60,162.75,1.00,896.00,419.00,91.00
12.009,,896.00,415.00,97.00,-22.28,-0.09,163.80,1.00,896.00,419.00,91.00
12.059,,889.00,415.00,96.00,-21.91,-0.73,165.56,1.00,896.00,419.00,91.00
12.107,,886.00,416.00,95.00,-21.44,-1.94,166.12,1.00,896.00,419.00,91.00
12.157,,883.00,417.00,95.00,-22.20,-1.50,167.32,1.00,896.00,419.00,91.00
12.207,,880.00,421.00,93.00,-22.43,-1.19,172.12,1.00,896.00,419.00,91.00
12.256,,880.00,423.00,93.00,-21.93,-0.23,170.09,1.00,896.00,419.00,91.00
12.306,,879.00,424.00,93.00,-22.17,1.02,169.11,1.00,896.00,419.00,91.00
12.355,,878.00,425.00,94.00,-21.69,-2.08,170.96,1.00,896.00,419.00,91.00
12.405,,878.00,426.00,94.00,-22.36,0.81,169.22,1.00,896.00,419.00,91.00
12.454,,878.00,425.00,94.00,-21.78,15.24,-165.91,1.00,896.00,419.00,91.00
12.503,,878.00,425.00,94.00,-21.78,15.24,-165.91,1.00,896.00,419.00,91.00
12.553,,878.00,425.00,94.00,-21.73,13.80,-164.49,1.00,896.00,419.00,91.00
12.602,,878.00,426.00,94.00,-21.67,15.92,-165.65,1.00,896.00,419.00,91.00
12.652,,879.00,426.00,94.00,-21.29,17.37,-164.67,1.00,896.00,419.00,91.00
12.701,,880.00,427.00,93.00,-20.60,17.06,-164.01,1.00,896.00,419.00,91.00
12.750,,880.00,427.00,94.00,-21.69,17.87,-166.88,1.00,896.00,419.00,91.00
12.799,,881.00,427.00,94.00,-21.80,15.27,-166.01,1.00,896.00,419.00,91.00
12.849,,882.00,427.00,94.00,-21.38,14.99,-166.49,1.00,896.00,419.00,91.00
