Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg)
0.412,0,-53.61,155.85,546.35,-10.19,27.37,179.66
0.461,0,-41.90,116.88,628.58,-14.16,22.83,171.98
0.508,0,-39.61,115.56,645.40,-14.46,16.61,173.05
0.558,0,-15.57,96.88,662.59,-12.52,21.51,173.11
0.608,0,-2.99,89.65,686.00,-11.96,19.59,173.56
0.659,0,3.39,87.21,694.51,-11.92,18.37,173.60
0.712,0,10.82,80.79,702.17,-12.29,20.90,172.78
0.759,0,18.17,72.86,709.16,-12.59,23.72,171.13
0.808,0,24.25,66.02,718.71,-12.54,23.12,171.93
0.855,0,32.02,59.06,723.88,-11.65,24.13,171.28
0.901,0,33.57,55.71,721.88,-11.42,25.44,171.62
0.951,0,37.49,47.88,725.46,-10.88,25.49,170.40
0.998,0,37.82,40.49,731.94,-10.69,25.75,169.88
1.044,0,38.16,35.15,732.23,-10.55,26.49,169.90
1.092,0,37.95,29.79,734.80,-10.68,26.58,169.06
1.141,0,38.59,29.14,738.28,-10.30,26.12,168.65
1.194,0,38.83,25.13,732.80,-9.32,29.33,167.97
1.245,0,35.68,23.51,734.63,-9.73,30.38,167.10
1.293,0,33.58,22.76,739.79,-9.69,30.05,166.62
1.345,0,27.18,18.74,740.33,-10.38,31.86,166.68
1.396,0,21.30,18.03,743.46,-10.77,32.40,166.84
1.445,0,18.26,18.04,739.40,-11.09,32.52,166.32
1.495,0,15.07,19.36,742.72,-10.87,32.41,166.32
1.545,0,8.64,20.18,743.96,-12.12,33.79,165.25
1.595,0,4.33,20.95,742.72,-12.10,35.44,165.96
1.645,0,-1.55,21.45,743.73,-12.20,35.69,166.87
1.696,0,-8.73,22.97,748.85,-12.55,32.98,166.97
1.747,0,-13.15,23.25,746.59,-12.45,34.27,167.17
1.797,0,-14.68,23.45,749.14,-12.82,34.23,167.03
1.846,0,-19.28,23.69,745.46,-13.53,36.24,166.96
1.895,0,-21.55,25.04,745.26,-13.58,36.04,166.87
1.947,0,-22.25,25.74,745.72,-13.58,35.90,166.85
1.999,17,84.18,18.87,174.99,-165.07,4.35,92.06
1.999,0,-23.61,26.65,745.60,-13.61,35.78,166.78
2.054,0,-26.21,27.33,748.34,-14.11,36.02,166.99
2.112,0,-28.05,27.80,751.80,-13.68,35.25,167.10
2.165,0,-28.95,26.87,748.26,-14.04,35.81,167.08
2.215,0,-29.18,26.88,748.33,-14.01,35.80,167.13
2.267,0,-28.21,26.70,749.72,-13.49,36.35,167.67
2.317,0,-27.04,26.67,749.23,-13.50,36.49,166.84
2.367,0,-27.04,26.67,749.23,-13.50,36.49,166.84
2.419,0,-27.50,26.67,749.22,-13.50,36.46,166.85
2.471,0,-28.05,26.88,745.43,-13.83,36.67,167.17
2.524,0,-27.81,26.88,748.39,-14.03,35.90,167.11
2.575,0,-27.39,26.68,749.38,-13.42,36.04,167.25
2.624,0,-26.36,26.21,745.86,-13.89,37.16,166.79
2.674,0,-25.89,26.21,749.13,-13.32,35.79,166.90
2.723,0,-25.99,26.65,755.43,-13.41,35.59,166.36
2.775,0,-25.67,26.21,749.33,-13.50,36.61,166.86
2.826,0,-25.51,25.93,747.88,-14.04,36.15,166.29
2.883,0,-25.06,26.18,751.84,-13.63,35.49,166.35
2.911,0,-25.16,26.38,747.67,-14.15,36.60,165.84
2.965,0,-25.99,26.64,751.90,-13.84,36.21,166.25
3.019,0,-26.13,27.12,749.24,-13.54,36.56,166.78
3.073,0,-26.59,27.12,749.22,-13.54,36.52,166.79
3.134,0,-25.67,27.12,749.26,-13.55,36.59,166.77
3.191,0,-25.35,27.59,746.41,-13.31,36.97,167.19
3.244,0,-24.73,28.44,748.29,-13.47,35.91,165.84
3.299,0,-25.13,28.50,746.43,-13.34,36.98,167.14
