Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg),Marker No,X ,Y ,R
0.036,,-46.45,71.21,1136.21,5.40,-18.78,-162.13,0.00,528.00,245.00,71.00
0.116,,-46.63,71.24,1136.75,5.50,-19.93,-162.26,0.00,528.00,245.00,71.00
0.189,,-46.45,71.21,1136.21,5.40,-18.78,-162.13,0.00,528.00,245.00,71.00
0.242,,-46.45,71.21,1136.21,5.40,-18.78,-162.13,0.00,528.00,245.00,71.00
0.304,,-46.45,71.21,1136.21,5.40,-18.78,-162.13,0.00,528.00,245.00,71.00
0.368,,-46.45,71.21,1136.21,5.40,-18.78,-162.13,0.00,528.00,245.00,71.00
0.424,,-46.45,71.21,1136.21,5.40,-18.78,-162.13,0.00,528.00,245.00,71.00
0.480,,-52.49,78.89,1246.10,7.07,-8.97,-173.26,0.00,528.00,245.00,71.00
0.536,,-52.12,78.53,1246.05,7.09,-9.73,-173.81,0.00,528.00,245.00,71.00
0.603,,-52.12,78.53,1246.05,7.09,-9.73,-173.81,0.00,528.00,245.00,71.00
0.805,,-46.87,71.09,1142.20,5.81,-18.95,-162.06,0.00,528.00,245.00,71.00
0.873,,-46.87,70.26,1142.30,6.17,-18.80,-163.22,0.00,528.00,245.00,71.00
0.984,,-53.83,73.27,1255.71,7.05,-9.38,-176.20,0.00,528.00,245.00,71.00
1.042,,-54.24,68.87,1254.02,6.56,4.68,171.85,0.00,528.00,245.00,71.00
1.100,,-54.35,62.16,1251.17,6.46,8.49,172.27,0.00,528.00,245.00,71.00
1.154,,-54.59,55.10,1249.05,6.69,3.17,166.27,0.00,528.00,245.00,71.00
1.211,,-54.14,48.00,1248.24,7.18,-7.59,-171.57,0.00,528.00,245.00,71.00
1.277,,-55.03,43.30,1260.55,7.33,-9.89,-175.03,0.00,528.00,245.00,71.00
1.336,,-54.75,31.78,1268.26,6.39,2.93,170.70,0.00,528.00,245.00,71.00
1.392,,-53.24,19.24,1250.45,7.28,0.65,163.86,0.00,528.00,245.00,71.00
1.447,,-53.93,7.87,1266.60,7.42,-6.41,-169.15,0.00,528.00,245.00,71.00
1.500,,-52.72,-10.03,1258.90,6.84,-6.29,-165.41,0.00,528.00,245.00,71.00
1.553,,-46.23,-20.43,1152.15,4.13,17.57,163.06,0.00,528.00,245.00,71.00
1.604,,-51.48,-36.01,1287.25,6.85,-6.76,-172.41,0.00,528.00,245.00,71.00
1.658,,-49.86,-43.81,1278.64,6.41,-4.89,-166.32,0.00,528.00,245.00,71.00
1.708,,-47.21,-57.70,1268.99,5.28,-10.22,-168.39,0.00,528.00,245.00,71.00
1.760,,-45.99,-70.28,1286.68,5.26,-10.47,-167.85,0.00,528.00,245.00,71.00
1.808,,-45.06,-76.96,1284.62,6.25,1.16,175.99,0.00,528.00,245.00,71.00
1.857,,-43.76,-90.61,1296.95,5.88,-3.98,-167.38,0.00,528.00,245.00,71.00
1.906,,-43.31,-103.67,1294.55,5.49,-4.67,-163.69,0.00,528.00,245.00,71.00
1.954,,-42.15,-128.52,1292.49,5.58,2.22,172.12,0.00,528.00,245.00,71.00
2.003,,-42.05,-141.62,1290.81,4.51,-7.59,-160.60,0.00,528.00,245.00,71.00
2.055,,-43.05,-153.39,1307.21,5.88,3.68,176.93,0.00,528.00,245.00,71.00
2.107,,-43.29,-160.81,1305.22,4.41,-8.60,-162.86,0.00,528.00,245.00,71.00
2.159,,-42.62,-166.63,1297.14,3.50,-11.88,-163.67,0.00,528.00,245.00,71.00
2.212,,-42.21,-175.80,1304.68,5.98,3.91,177.95,0.00,528.00,245.00,71.00
2.266,,-42.08,-179.22,1305.56,6.04,7.27,-178.11,0.00,528.00,245.00,71.00
2.318,,-41.36,-182.33,1302.11,5.69,5.12,175.56,0.00,528.00,245.00,71.00
2.372,,-39.86,-192.75,1312.92,3.66,-9.28,-161.76,0.00,528.00,245.00,71.00
2.426,,-39.33,-198.35,1318.70,5.76,2.22,177.92,0.00,528.00,245.00,71.00
2.480,,-38.24,-201.52,1313.35,5.76,7.49,176.81,0.00,528.00,245.00,71.00
2.532,,-36.51,-206.96,1312.51,3.16,-12.12,-161.78,0.00,528.00,245.00,71.00
2.585,,-36.59,-215.45,1328.15,3.98,-6.66,-160.07,0.00,528.00,245.00,71.00
2.638,,-36.31,-225.59,1331.02,4.51,-0.57,176.74,0.00,528.00,245.00,71.00
2.690,,-35.94,-231.98,1339.94,4.51,-3.76,-157.39,0.00,528.00,245.00,71.00
2.743,,-35.01,-238.11,1340.16,5.58,5.42,179.97,0.00,528.00,245.00,71.00
2.797,,-34.87,-242.26,1341.85,5.70,8.02,-176.25,0.00,528.00,245.00,71.00
2.849,,-35.73,-247.14,1351.82,6.14,7.59,-176.48,0.00,528.00,245.00,71.00
2.909,,-35.72,-248.75,1351.62,6.15,7.59,-176.43,0.00,528.00,245.00,71.00
2.979,,-36.06,-253.23,1359.91,4.50,-3.97,-156.57,0.00,528.00,245.00,71.00
3.038,,-35.88,-254.96,1362.31,2.53,-9.03,-161.73,0.00,528.00,245.00,71.00
3.094,,-37.69,-261.05,1372.98,5.77,5.30,-175.60,0.00,528.00,245.00,71.00
3.150,,-37.56,-259.79,1360.89,6.09,4.68,-176.07,0.00,528.00,245.00,71.00
3.203,,-38.41,-262.96,1367.10,2.67,-13.48,-164.59,0.00,528.00,245.00,71.00
3.259,,-41.40,-268.68,1383.78,3.73,-8.48,-161.52,0.00,528.00,245.00,71.00
3.316,,-43.66,-268.11,1371.11,3.97,-9.39,-162.02,0.00,528.00,245.00,71.00
3.370,,-45.42,-269.44,1369.39,3.28,-12.91,-161.51,0.00,528.00,245.00,71.00
3.424,,-48.33,-271.65,1365.77,2.61,-16.33,-161.15,0.00,528.00,245.00,71.00
3.479,,-53.87,-282.28,1406.85,6.57,-3.62,-167.99,0.00,528.00,245.00,71.00
3.533,,-58.44,-277.99,1364.07,3.54,-16.64,-161.15,0.00,528.00,245.00,71.00
3.587,,-62.65,-282.13,1372.37,9.75,6.77,-174.94,0.00,528.00,245.00,71.00
3.643,,-68.24,-286.98,1374.32,8.59,3.50,-178.39,0.00,528.00,245.00,71.00
3.705,,-70.12,-289.19,1370.79,9.52,3.32,-178.24,0.00,528.00,245.00,71.00
3.760,,-72.09,-291.78,1361.18,9.23,6.39,179.85,0.00,528.00,245.00,71.00
3.813,,-73.44,-296.42,1369.93,5.72,-15.33,-158.57,0.00,528.00,245.00,71.00
3.865,,-74.01,-303.53,1370.00,9.84,6.41,-174.29,0.00,528.00,245.00,71.00
3.917,,-73.39,-305.43,1368.80,5.60,-15.44,-158.11,0.00,528.00,245.00,71.00
3.970,,-71.89,-308.71,1368.52,9.90,6.62,-179.46,0.00,528.00,245.00,71.00
4.022,,-70.33,-309.95,1362.76,8.74,2.06,178.67,0.00,528.00,245.00,71.00
4.076,,-69.93,-312.46,1366.46,9.34,4.39,179.90,0.00,528.00,245.00,71.00
4.129,,-69.54,-312.09,1361.14,3.52,-15.04,-154.66,0.00,528.00,245.00,71.00
4.183,,-67.49,-309.20,1348.62,3.38,-15.40,-152.74,0.00,528.00,245.00,71.00
4.236,,-66.32,-308.62,1345.25,3.15,-14.04,-150.38,0.00,528.00,245.00,71.00
4.288,,-66.04,-312.37,1361.47,8.44,6.74,-179.52,0.00,528.00,245.00,71.00
4.339,,-64.42,-311.82,1360.00,4.04,-12.55,-154.43,0.00,528.00,245.00,71.00
4.391,,-63.41,-312.40,1360.68,3.43,-15.20,-154.92,0.00,528.00,245.00,71.00
