Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg)
0.027,0,48.78,81.51,523.13,0.53,11.59,173.77
0.071,0,50.43,79.62,524.94,0.92,9.63,173.99
0.110,0,51.87,77.88,524.29,0.60,14.73,173.11
0.148,0,52.34,77.51,523.86,0.92,12.70,173.80
0.185,0,53.21,76.60,523.01,0.98,13.10,170.96
0.224,0,53.80,76.25,522.15,0.60,14.80,171.76
0.259,0,55.90,75.47,522.96,1.33,13.61,171.18
0.296,0,57.28,75.87,524.95,2.40,7.84,172.58
0.334,0,57.56,75.42,522.64,1.51,12.95,170.79
0.371,0,58.69,75.26,524.14,2.95,8.42,176.08
0.408,0,59.11,74.17,523.66,2.68,8.92,169.52
0.447,0,59.32,74.27,523.43,3.24,4.73,175.86
0.486,0,59.24,74.17,518.78,3.78,-1.06,175.16
0.526,0,60.38,74.29,520.11,3.24,4.50,175.87
0.559,0,62.96,73.74,517.86,2.94,4.66,176.24
0.594,0,64.91,74.01,516.96,3.28,4.12,175.83
0.629,0,65.60,73.69,515.76,3.79,1.86,172.21
0.665,0,67.88,73.89,515.96,3.23,6.95,168.94
0.699,0,67.99,73.75,512.83,3.87,0.70,172.17
0.735,0,68.29,74.20,512.97,2.14,13.30,170.69
0.771,0,67.67,74.47,512.29,4.15,1.77,172.44
0.807,0,62.76,73.85,510.84,4.81,-0.52,175.84
0.843,0,59.60,74.32,510.87,4.69,-1.94,175.77
0.878,0,54.07,75.80,513.16,4.27,2.17,174.97
0.919,0,49.77,76.57,511.43,4.72,-2.64,174.92
0.959,0,47.27,77.19,511.38,4.72,-2.72,174.87
0.999,0,46.85,77.70,513.88,4.83,-1.42,173.79
1.037,0,43.74,78.19,518.50,3.92,4.22,176.11
1.071,0,36.06,82.97,530.59,-0.41,24.57,168.75
1.107,0,32.44,85.67,536.13,-1.86,24.01,163.85
1.146,0,26.38,87.75,540.62,-1.29,22.42,165.05
1.183,0,23.89,87.15,543.31,0.17,20.26,168.17
1.221,0,19.86,85.80,541.61,1.84,18.70,169.18
1.258,0,13.26,84.81,545.83,5.09,14.13,170.22
1.296,0,5.60,82.26,555.16,5.38,14.63,170.68
1.335,0,-0.23,78.35,558.88,3.07,18.96,166.63
1.374,0,-5.39,75.21,557.37,1.46,22.17,164.52
1.411,0,-8.83,74.87,561.12,2.49,20.69,165.14
1.450,0,-17.79,70.65,568.37,1.25,19.00,166.64
1.487,0,-22.53,69.06,569.30,0.96,18.41,168.02
1.526,0,-26.05,67.80,570.18,1.02,17.74,169.01
1.564,0,-31.30,65.81,571.78,0.83,18.39,168.50
1.602,0,-35.90,64.62,575.54,0.41,16.88,170.12
1.641,0,-39.01,63.82,577.04,0.17,17.36,169.73
1.677,0,-45.56,61.44,572.78,-1.11,21.05,168.88
1.717,0,-51.62,60.52,574.44,-0.90,21.51,169.24
1.756,0,-58.35,59.03,575.97,-1.66,23.05,168.40
1.794,0,-63.18,58.81,577.73,-2.39,23.90,168.23
1.832,0,-68.30,59.30,576.99,-2.21,25.83,167.80
1.872,0,-74.44,59.63,578.81,-2.18,27.13,167.64
1.912,0,-77.61,59.77,578.19,-3.24,28.28,167.01
1.951,0,-85.31,60.36,581.62,-3.49,29.79,166.51
1.989,0,-91.47,61.20,585.68,-4.16,30.99,166.25
2.027,0,-98.59,61.03,585.10,-3.81,32.00,166.28
2.068,0,-103.26,60.30,583.54,-4.66,32.85,166.64
2.106,0,-107.76,60.86,584.23,-4.85,32.37,165.72
2.144,0,-114.66,61.78,585.28,-4.48,32.55,166.73
2.182,0,-119.32,62.30,589.74,-4.90,32.02,166.96
2.222,0,-124.09,61.87,585.07,-4.99,32.60,167.13
2.260,0,-132.91,61.82,581.69,-5.78,34.26,167.79
2.299,0,-135.75,61.96,580.08,-5.67,34.95,168.40
2.339,0,-138.43,63.35,579.34,-5.30,35.11,168.13
2.376,0,-140.81,63.01,576.72,-5.68,35.85,167.59
2.416,0,-142.29,63.61,577.13,-5.23,36.01,168.46
2.454,0,-142.47,63.86,575.27,-5.50,35.80,168.38
2.493,0,-144.28,64.59,575.17,-5.53,35.65,168.33
