Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg),Marker No,X ,Y ,R
0.031,,-68.36,65.93,1255.75,7.34,-13.05,-176.92,0.00,132.00,333.00,71.00
0.134,,-68.06,65.84,1254.01,7.57,-15.54,-176.78,0.00,132.00,333.00,71.00
0.181,,-68.36,65.93,1255.75,7.34,-13.05,-176.92,0.00,132.00,333.00,71.00
0.228,,-68.06,65.84,1254.01,7.57,-15.54,-176.78,0.00,132.00,333.00,71.00
0.278,,-68.36,65.93,1255.75,7.34,-13.05,-176.92,0.00,132.00,333.00,71.00
0.325,,-68.06,65.84,1254.01,7.57,-15.54,-176.78,0.00,132.00,333.00,71.00
0.374,,-68.36,65.93,1255.75,7.34,-13.05,-176.92,0.00,132.00,333.00,71.00
0.430,,-68.36,65.93,1255.75,7.34,-13.05,-176.92,0.00,132.00,333.00,71.00
0.487,,-68.36,65.93,1255.75,7.34,-13.05,-176.92,0.00,132.00,333.00,71.00
0.542,,-68.06,65.84,1254.01,7.57,-15.54,-176.78,0.00,132.00,333.00,71.00
0.601,,-68.36,65.93,1255.75,7.34,-13.05,-176.92,0.00,132.00,333.00,71.00
0.722,,-68.05,65.70,1250.12,6.37,10.24,171.38,0.00,132.00,333.00,71.00
0.779,,-68.06,65.84,1254.01,7.57,-15.54,-176.78,0.00,132.00,333.00,71.00
0.843,,-68.36,65.93,1255.75,7.34,-13.05,-176.92,0.00,132.00,333.00,71.00
0.905,,-68.14,65.80,1255.74,6.12,6.71,168.97,0.00,132.00,333.00,71.00
0.963,,-68.06,65.84,1254.01,7.57,-15.54,-176.78,0.00,132.00,333.00,71.00
1.020,,-68.30,65.95,1255.67,5.80,4.59,166.34,0.00,132.00,333.00,71.00
1.082,,-68.48,66.13,1255.17,6.08,7.53,169.60,0.00,132.00,333.00,71.00
1.129,,-68.48,66.13,1255.17,6.08,7.53,169.60,0.00,132.00,333.00,71.00
1.174,,-68.57,66.02,1256.84,5.70,7.22,167.05,0.00,132.00,333.00,71.00
