Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg),Marker No,X ,Y ,R
0.179,,-59.74,71.72,1124.74,2.99,17.19,155.91,0.00,160.00,422.00,71.00
0.272,,-67.85,80.67,1252.00,6.73,1.98,164.67,0.00,160.00,422.00,71.00
0.318,,-59.74,71.72,1124.74,2.99,17.19,155.91,0.00,160.00,422.00,71.00
0.498,,-59.74,71.72,1124.74,2.99,17.19,155.91,0.00,160.00,422.00,71.00
0.548,,-67.13,80.49,1242.97,7.69,-6.78,-169.50,0.00,160.00,422.00,71.00
0.609,,-59.74,71.72,1124.74,2.99,17.19,155.91,0.00,160.00,422.00,71.00
0.666,,-67.00,80.33,1238.20,7.73,-12.10,-174.26,0.00,160.00,422.00,71.00
0.736,,-59.56,71.68,1124.20,2.93,18.27,155.84,0.00,160.00,422.00,71.00
0.791,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
0.840,,-59.74,71.72,1124.74,2.99,17.19,155.91,0.00,160.00,422.00,71.00
0.896,,-67.35,80.90,1244.28,7.96,-9.94,-173.67,0.00,160.00,422.00,71.00
0.949,,-67.35,80.90,1244.28,7.96,-9.94,-173.67,0.00,160.00,422.00,71.00
0.997,,-67.35,80.90,1244.28,7.96,-9.94,-173.67,0.00,160.00,422.00,71.00
1.047,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
1.097,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
1.147,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
1.196,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
1.252,,-67.35,80.90,1244.28,7.96,-9.94,-173.67,0.00,160.00,422.00,71.00
1.312,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
1.376,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
1.426,,-66.96,80.72,1243.92,7.63,-11.02,-171.84,0.00,160.00,422.00,71.00
1.476,,-66.96,80.48,1240.21,7.41,-8.88,-170.69,0.00,160.00,422.00,71.00
1.523,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
1.569,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
1.617,,-66.96,80.48,1240.21,7.41,-8.88,-170.69,0.00,160.00,422.00,71.00
1.667,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
1.717,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
1.768,,-67.35,80.90,1244.28,7.96,-9.94,-173.67,0.00,160.00,422.00,71.00
1.815,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
1.863,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
1.911,,-67.35,80.90,1244.28,7.96,-9.94,-173.67,0.00,160.00,422.00,71.00
1.957,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
2.005,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
2.051,,-66.96,80.48,1240.21,7.41,-8.88,-170.69,0.00,160.00,422.00,71.00
2.099,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
2.148,,-66.96,80.48,1240.21,7.41,-8.88,-170.69,0.00,160.00,422.00,71.00
2.195,,-66.96,80.48,1240.21,7.41,-8.88,-170.69,0.00,160.00,422.00,71.00
2.243,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
2.290,,-66.96,80.48,1240.21,7.41,-8.88,-170.69,0.00,160.00,422.00,71.00
2.342,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
2.392,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
2.438,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
2.488,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
2.535,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
2.582,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
2.629,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
2.678,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
2.727,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
2.774,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
2.820,,-67.35,80.90,1244.28,7.96,-9.94,-173.67,0.00,160.00,422.00,71.00
2.869,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
2.922,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
2.972,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
3.023,,-67.35,80.90,1244.28,7.96,-9.94,-173.67,0.00,160.00,422.00,71.00
3.074,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
3.122,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
3.172,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
3.222,,-67.35,80.90,1244.28,7.96,-9.94,-173.67,0.00,160.00,422.00,71.00
3.274,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
3.326,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
3.378,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
3.434,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
3.491,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
3.548,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
3.601,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
3.653,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
3.702,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
3.751,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
3.799,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
3.850,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
3.898,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
3.947,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
3.995,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
4.043,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
4.091,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
4.141,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
4.188,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
4.236,,-67.21,80.98,1245.55,8.23,-12.49,-174.52,0.00,160.00,422.00,71.00
4.285,,-67.35,80.90,1244.28,7.96,-9.94,-173.67,0.00,160.00,422.00,71.00
4.339,,-67.35,80.90,1244.28,7.96,-9.94,-173.67,0.00,160.00,422.00,71.00
4.395,,-67.35,80.90,1244.28,7.96,-9.94,-173.67,0.00,160.00,422.00,71.00
4.445,,-68.89,81.60,1252.98,8.68,-12.32,-179.76,0.00,160.00,422.00,71.00
