Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg)
0.036,0,-129.89,100.66,574.50,-5.46,33.24,167.15
0.143,0,-122.50,99.02,568.01,-4.87,32.36,167.91
0.216,0,-97.94,94.79,551.59,-2.88,28.70,168.62
0.264,0,-91.08,93.29,545.55,-2.37,27.98,169.21
0.312,0,-86.35,92.34,541.41,-1.98,28.79,169.53
0.358,0,-79.73,91.36,537.67,-1.64,29.07,169.35
0.406,0,-74.62,90.01,534.61,-1.23,28.87,169.42
0.454,0,-71.61,88.95,530.46,-1.43,29.14,168.72
0.503,0,-68.04,88.75,530.22,-0.97,28.72,169.06
0.573,0,-65.28,89.02,529.67,-0.60,28.50,168.58
0.643,0,-62.39,89.91,531.45,-0.09,26.35,170.36
0.710,0,-55.16,90.84,526.90,0.10,25.70,170.19
0.929,0,-45.97,83.22,514.46,0.23,24.11,170.62
0.982,0,-46.10,80.47,513.96,0.21,25.14,169.45
1.040,0,-46.01,79.25,512.93,0.38,25.32,169.87
1.106,0,-47.02,76.25,513.02,0.30,26.90,169.65
1.160,0,-48.33,73.69,516.64,0.29,27.32,169.17
1.227,0,-48.40,71.57,515.45,-0.21,27.80,168.66
1.361,0,-48.30,69.73,515.82,-0.42,27.77,168.77
1.449,0,-44.54,63.44,525.46,0.26,26.53,167.69
1.511,0,-44.29,66.08,531.91,0.58,24.77,167.44
1.565,0,-45.88,66.94,532.38,0.22,24.60,167.89
1.619,0,-47.64,67.35,534.01,0.05,24.44,167.80
1.673,0,-48.90,67.17,535.09,0.48,25.32,167.83
1.674,17,-758.80,477.74,8775.14,95.86,35.65,-168.40
1.725,0,-51.15,65.30,537.81,0.21,25.62,167.65
1.778,0,-51.45,63.68,536.81,-0.02,26.90,167.75
1.836,0,-51.27,61.80,537.01,0.14,27.74,166.91
1.906,0,-51.10,60.94,538.08,0.05,27.62,166.64
1.958,0,-49.29,58.87,537.70,0.39,26.95,167.29
2.013,0,-48.38,58.22,538.46,0.26,27.21,166.81
2.058,0,-46.57,57.10,537.16,0.50,27.04,167.16
