Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg)
2.107,0,-46.15,57.16,538.39,0.72,26.30,167.23
2.155,0,-45.74,57.39,540.69,0.91,25.05,166.78
2.202,0,-45.40,56.08,538.06,0.82,26.17,167.11
2.248,0,-45.44,55.67,537.94,0.87,25.85,166.78
2.295,0,-45.77,54.96,541.22,0.68,24.97,166.85
2.342,0,-45.37,54.23,537.16,0.72,26.01,167.13
2.388,0,-44.61,52.96,538.22,0.66,26.21,166.79
2.434,0,-43.40,51.87,537.76,1.02,26.43,166.94
2.480,0,-42.64,51.12,535.41,0.58,27.72,166.92
2.527,0,-42.08,51.18,537.51,1.01,27.11,166.60
2.574,0,-41.65,50.86,536.24,0.55,26.53,166.36
2.621,0,-41.33,50.99,536.25,0.91,26.27,166.66
2.667,0,-41.11,50.95,535.08,1.02,26.48,166.95
2.715,0,-41.56,51.20,538.55,0.99,25.49,166.13
2.761,0,-41.52,51.01,537.18,0.82,25.48,166.15
2.810,0,-41.68,50.75,535.68,0.75,26.32,167.00
2.861,0,-41.63,51.06,537.71,0.80,25.66,166.46
2.914,0,-41.95,51.21,538.55,0.64,25.52,166.06
2.963,0,-41.86,51.42,537.38,0.76,25.74,166.41
3.015,0,-41.84,51.76,536.16,0.87,26.23,166.59
3.038,0,-42.32,52.32,537.25,0.69,25.96,166.09
3.088,0,-42.18,53.05,535.41,0.95,26.23,166.78
3.140,0,-42.55,53.39,536.77,0.81,26.05,167.00
3.189,0,-42.20,53.98,533.00,0.53,26.40,166.99
3.239,0,-41.68,54.89,533.71,0.98,26.61,167.03
3.290,0,-41.87,55.88,534.46,1.00,25.81,167.33
3.340,0,-42.75,55.98,534.17,1.00,25.86,167.38
3.391,0,-43.21,56.02,535.21,0.92,25.04,166.89
3.442,0,-43.31,56.33,535.64,0.88,25.23,167.17
3.496,0,-42.36,56.25,532.47,0.76,26.21,167.09
3.547,0,-41.79,56.91,533.32,0.93,26.07,166.73
3.599,0,-42.91,56.81,533.51,0.54,26.82,166.61
3.651,0,-45.03,56.79,534.36,0.26,25.93,166.91
3.703,0,-47.55,56.93,534.38,0.23,25.97,166.64
3.754,0,-55.39,58.02,537.83,-0.11,25.43,167.10
3.808,0,-59.80,58.43,537.75,-0.26,26.18,166.64
3.853,0,-63.49,58.45,537.66,-0.68,26.78,166.47
3.901,0,-69.58,58.73,540.19,-0.89,26.75,166.99
3.950,0,-71.18,58.55,538.93,-1.10,27.10,167.07
4.013,0,-72.97,58.62,536.17,-1.51,28.62,168.22
4.066,0,-68.23,59.50,531.14,-0.91,30.13,168.16
4.117,0,-61.32,59.51,526.10,-0.58,30.06,168.42
4.169,0,-57.26,59.66,523.19,-0.50,29.61,168.71
4.220,0,-49.76,59.28,520.97,0.20,27.74,168.43
4.269,0,-42.54,59.20,518.37,0.78,25.79,169.13
4.318,0,-32.57,59.23,515.79,1.39,23.47,169.43
4.369,0,-21.28,58.97,509.60,2.28,21.19,169.17
4.418,0,-6.78,58.91,504.09,3.15,18.94,168.94
4.469,0,2.11,58.41,500.29,3.47,17.17,169.10
4.519,0,7.37,57.87,495.02,3.35,16.85,169.54
4.570,0,16.63,58.24,488.86,4.09,14.87,169.14
4.618,0,25.16,58.06,482.60,4.71,13.77,169.43
4.667,0,31.55,57.80,477.66,4.68,14.23,169.91
4.716,0,39.02,57.26,473.48,5.33,11.76,168.84
4.767,0,43.93,56.75,469.96,5.76,13.06,171.16
4.817,0,49.36,55.94,465.55,5.40,13.76,171.42
4.865,0,54.04,54.76,461.05,5.35,17.01,171.06
4.916,0,56.30,54.18,460.05,5.48,15.07,169.04
4.967,0,57.46,53.69,460.57,5.46,15.12,171.52
4.967,17,1772.16,-161.40,7463.22,-103.27,28.01,178.51
5.015,0,57.69,53.48,460.63,5.47,15.14,171.59
5.064,0,58.80,53.48,463.09,5.66,11.71,173.20
5.113,0,59.17,52.82,462.67,5.32,12.81,170.97
5.165,0,60.65,52.24,463.88,4.87,15.62,170.92
5.214,0,62.36,51.49,464.52,5.41,10.71,168.22
5.265,0,63.46,51.58,465.81,5.25,11.92,170.59
5.315,0,63.88,51.46,466.30,5.04,13.57,170.16
5.365,0,63.22,50.98,465.93,4.58,15.30,170.90
5.410,0,62.89,51.18,467.17,4.82,14.78,171.54
5.457,0,63.08,51.23,468.61,5.04,12.75,171.97
5.504,0,63.74,50.97,465.89,4.62,14.29,170.45
5.549,0,64.27,51.17,466.47,4.89,11.95,171.34
5.596,0,66.33,50.58,465.32,5.11,10.86,167.08
5.642,0,66.52,50.64,465.86,4.55,15.33,172.12
5.688,0,68.80,49.46,467.64,4.70,12.30,172.61
5.737,0,68.83,49.05,466.86,4.80,13.15,170.66
5.783,0,70.11,47.87,466.80,4.71,10.70,167.81
5.835,0,71.30,47.41,467.14,4.64,12.00,169.90
5.887,0,71.82,47.31,466.96,4.70,12.88,168.80
5.938,0,72.03,47.82,467.44,4.59,11.78,168.89
5.991,0,71.36,48.34,467.98,4.54,12.78,169.97
6.042,0,70.95,48.78,467.95,4.59,13.88,170.09
6.098,0,71.21,49.88,467.60,5.22,9.67,177.21
6.155,0,70.90,49.50,466.17,4.86,12.20,167.57
6.204,0,71.15,50.40,466.69,4.50,14.50,172.38
6.253,0,69.91,51.08,466.31,4.88,12.71,172.27
6.304,0,67.09,52.32,466.34,5.04,11.99,168.74
6.353,0,59.40,53.20,466.42,4.33,13.89,168.94
6.404,0,54.45,53.69,464.98,4.16,13.97,167.42
6.454,0,46.18,55.36,466.57,3.88,16.81,169.18
6.503,0,42.51,56.12,468.32,3.70,14.07,167.12
6.551,0,38.79,56.65,469.55,3.72,14.87,167.84
6.600,0,33.44,57.29,470.24,3.37,17.41,168.94
6.650,0,29.66,57.57,473.25,3.11,16.48,168.49
6.700,0,26.22,57.44,472.77,3.05,17.50,168.53
6.747,0,23.30,56.87,470.39,2.87,20.06,169.86
6.795,0,21.20,56.71,472.86,2.67,19.24,169.99
6.844,0,18.31,56.47,476.06,2.57,18.07,168.39
6.891,0,15.55,56.77,480.06,2.47,17.88,168.89
6.940,0,13.04,56.48,480.59,1.50,18.81,168.58
6.988,0,10.44,56.75,482.93,1.70,17.48,168.58
6.989,17,1817.71,-164.88,7662.61,-104.46,17.73,168.39
7.036,0,8.36,56.71,484.69,1.63,17.56,168.22
7.084,0,6.01,56.82,485.53,1.58,17.87,169.28
7.133,0,4.69,56.50,484.94,1.16,18.96,168.61
7.181,0,3.07,56.61,486.95,1.26,18.06,168.36
7.229,0,1.54,56.95,488.36,1.45,18.11,168.33
7.277,0,-1.89,56.86,491.30,1.03,17.61,167.47
7.326,0,-4.78,56.81,489.70,0.78,19.49,168.10
