Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg)
0.789,0,-69.21,88.22,370.05,-9.83,21.58,165.34
0.843,0,-75.33,68.21,394.04,-11.97,24.42,160.40
0.895,0,-77.06,60.52,404.31,-12.93,23.89,159.05
0.946,0,-78.45,50.72,408.97,-13.70,25.23,156.83
0.996,0,-79.88,46.93,410.66,-13.74,25.73,156.22
1.048,0,-77.96,42.32,408.50,-13.28,26.30,157.34
1.099,0,-78.83,36.56,409.72,-13.23,25.78,157.07
1.151,0,-77.74,33.57,409.54,-12.79,25.65,158.07
1.205,0,-74.13,27.88,407.93,-11.54,25.09,158.88
1.263,0,-71.02,24.57,407.39,-10.55,24.72,160.32
1.319,0,-68.30,22.99,408.70,-10.47,24.89,159.87
1.373,0,-65.02,18.39,409.42,-11.21,26.75,157.27
1.423,0,-64.20,17.73,410.36,-11.04,27.07,157.38
1.472,0,-64.55,16.74,410.57,-11.24,26.64,157.60
1.519,0,-64.35,16.85,411.86,-10.96,25.48,157.90
1.574,0,-64.38,17.32,409.47,-10.60,26.53,158.06
1.623,0,-64.58,17.96,409.49,-10.92,26.16,158.11
1.670,0,-64.57,18.27,410.70,-10.58,25.77,158.68
1.718,0,-64.44,18.53,409.89,-10.69,25.40,157.81
1.766,0,-63.93,19.36,407.23,-10.38,26.55,158.88
1.815,0,-63.84,19.85,407.03,-10.46,26.81,158.63
1.871,0,-63.82,20.56,406.08,-10.08,26.08,159.35
1.929,0,-63.86,21.05,405.92,-10.14,26.35,159.15
1.977,0,-64.21,21.73,404.44,-10.25,26.79,159.46
2.026,0,-64.11,22.11,404.63,-10.14,25.77,159.61
2.074,0,-63.07,22.66,403.58,-9.51,25.79,160.10
2.122,0,-62.25,23.19,404.39,-9.88,25.92,159.25
2.170,0,-60.35,23.55,402.05,-9.34,26.47,160.03
2.217,0,-58.25,24.56,402.66,-9.34,25.92,160.35
2.264,0,-53.23,25.87,399.54,-8.54,25.30,161.08
2.313,0,-50.53,27.11,397.14,-8.15,25.57,161.44
2.362,0,-44.80,30.50,393.46,-7.58,25.53,161.81
2.410,0,-37.70,35.76,386.66,-6.44,25.93,162.86
2.458,0,-34.18,40.13,383.58,-5.90,25.42,163.71
2.505,0,-30.30,43.92,378.98,-4.80,24.68,165.70
2.555,0,-23.53,48.88,373.33,-3.04,24.99,169.36
2.603,0,-11.06,58.64,367.89,0.32,23.23,169.57
2.650,0,0.92,66.26,358.99,1.68,23.85,171.01
2.699,0,7.02,69.50,360.85,2.95,21.66,169.37
2.749,0,12.17,70.93,359.98,2.54,22.46,168.96
2.793,0,16.65,73.62,359.61,2.59,20.75,169.92
2.843,0,24.47,78.82,354.10,3.37,21.64,174.20
2.898,0,41.15,89.79,330.84,5.41,26.40,-176.80
