Time (s),Target,X (mm),Y (mm),Z (mm),Yaw,Pitch,Roll
0.471,1,-147.00,70.55,2272.22,-4.13,36.45,170.57
0.532,1,-150.45,67.62,2324.70,-4.12,-42.96,-170.85
0.592,1,-148.33,65.14,2286.15,-6.68,-43.93,-168.39
0.653,1,-148.99,66.35,2273.89,-8.41,-44.78,-165.47
0.713,1,-144.32,68.78,2161.83,-7.37,-49.25,-164.20
0.833,1,-147.42,80.91,2071.85,-12.95,42.35,162.73
0.894,1,-145.17,83.26,2041.83,-9.49,43.67,168.55
0.954,1,-141.57,85.53,2032.44,-7.31,43.78,170.05
1.015,1,-138.29,87.55,2048.87,-9.24,41.87,169.40
1.437,1,-81.11,99.16,1894.32,-6.23,42.28,173.47
1.497,1,-75.44,98.00,1874.51,-8.46,43.17,170.77
1.559,1,-70.86,96.12,1869.49,-8.52,43.38,168.82
1.618,1,-67.22,94.36,1866.84,-8.56,43.50,169.54
1.678,1,-64.07,94.27,1884.65,-0.98,-47.10,-179.55
1.739,1,-59.39,92.69,1876.97,-2.52,-46.22,-176.31
1.861,1,-47.31,89.03,1868.90,-2.77,-44.13,-176.40
1.920,1,-42.78,88.63,1881.79,-3.65,-43.95,-176.37
1.981,1,-36.94,87.38,1868.05,-1.73,-44.30,-178.12
2.041,1,-31.19,86.01,1838.29,-1.72,-43.28,-178.89
2.102,1,-25.65,86.56,1840.50,-0.47,-43.53,179.86
2.162,1,-20.71,86.49,1825.53,0.21,-45.26,-179.65
2.222,1,-17.09,86.10,1812.87,0.88,-45.55,178.61
2.283,1,-14.57,85.12,1783.81,0.99,-46.82,178.97
2.343,1,-13.37,84.67,1770.55,-4.27,46.61,173.40
2.404,1,-12.73,85.14,1784.30,0.95,-46.76,178.23
2.464,1,-12.85,84.26,1782.71,0.94,-47.22,178.66
2.524,1,-13.49,83.35,1780.79,0.92,-46.86,179.09
2.585,1,-14.81,83.37,1781.08,0.91,-46.89,179.06
2.645,1,-15.98,83.77,1793.97,0.19,-46.54,-179.96
2.705,1,-17.03,82.47,1779.25,1.02,-48.23,179.28
