Time (s),Target,X (mm),Y (mm),Z (mm),Yaw,Pitch,Roll
0.045,1,-26.60,266.83,2052.12,2.25,0.98,-140.18
0.112,1,-17.80,208.92,1604.54,1.82,3.09,-131.75
0.168,1,-6.24,204.86,1353.60,-30.98,-3.68,-64.99
0.228,1,-14.67,206.59,1596.83,1.73,0.03,119.50
0.287,1,-12.83,225.26,1732.23,2.48,-0.53,-142.50
0.347,1,-7.49,206.04,1597.07,0.90,2.67,122.22
0.410,1,-3.52,194.21,1515.92,0.20,2.74,124.24
0.468,1,-3.13,212.09,1629.15,-0.18,2.41,117.65
0.528,1,-8.15,201.28,1548.27,1.39,1.50,112.20
0.589,1,-13.63,186.69,1427.81,2.95,0.07,-121.79
0.651,1,-21.98,245.71,1897.65,1.80,1.43,-135.71
0.711,1,-14.55,205.35,1599.07,2.06,1.00,123.24
0.771,1,-6.03,182.14,1421.08,1.15,3.38,119.86
1.677,1,89.64,60.81,802.60,-35.61,-66.04,-112.49
1.737,1,3755.28,3374.50,36153.08,11.69,-34.84,-45.79
1.797,1,1055.41,780.79,9497.86,-36.91,-58.77,9.12
1.860,1,990.24,823.98,9204.66,-74.07,57.23,54.83
1.918,1,8557.91,7055.89,79363.70,33.60,20.00,165.69
1.978,1,50413.21,46883.60,493343.70,-65.23,24.66,-153.49
2.039,1,373.83,233.23,3163.69,-54.04,-54.36,-99.61
2.099,1,158.31,90.36,1334.75,-55.63,-38.37,80.91
2.160,1,61.45,34.75,536.25,-55.22,-37.17,-103.35
2.220,1,72.15,40.65,618.34,-58.62,-18.28,-99.67
2.280,1,62.78,37.19,554.21,-58.15,-14.64,-100.74
2.346,1,114.22,64.38,957.05,-83.59,72.64,65.76
2.401,1,493.27,304.74,4159.09,-81.29,-34.61,57.04
2.462,1,299.73,183.81,2528.26,-60.54,-52.62,-92.44
2.523,1,1766.08,1267.75,15543.05,-95.37,-35.64,88.21
2.582,1,1565.29,1141.37,13774.81,-3.71,-41.62,-9.03
2.644,1,22076.61,16374.15,196460.87,-40.64,-45.08,-111.33
2.704,1,1993.98,1349.15,17298.95,-74.63,-59.56,22.57
2.763,1,452.32,251.15,3680.15,178.03,-68.83,43.47
2.827,1,623.25,390.47,5281.04,-88.40,-45.76,81.06
2.884,1,14069.43,9230.80,121041.48,46.53,41.97,113.18
2.945,1,10422982.82,6541131.97,88520162.95,-44.76,-17.14,12.93
3.007,1,303.89,178.20,2531.00,-56.37,-21.15,-100.83
3.066,1,355.22,181.52,2842.93,143.58,49.25,-80.66
