Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg)
0.047,0,55.80,-73.65,495.86,-7.15,10.24,178.93
0.149,0,57.89,-72.89,491.44,-6.83,10.55,178.02
0.248,0,58.82,-71.62,485.04,-6.25,11.59,179.83
0.333,0,59.51,-71.98,480.28,-6.21,14.38,-179.23
0.404,0,62.02,-69.11,474.03,-5.06,16.11,178.35
0.470,0,62.56,-67.31,470.83,-4.24,23.92,177.34
0.526,0,64.49,-68.21,471.78,-3.75,21.62,178.18
0.582,0,64.46,-67.84,471.27,-3.98,22.75,178.15
0.639,0,63.66,-68.65,474.20,-4.63,18.46,177.21
0.701,0,64.02,-68.78,475.20,-4.67,18.61,177.85
0.787,0,65.15,-67.95,473.63,-4.17,19.79,178.61
0.866,0,65.47,-68.06,471.68,-4.20,20.94,178.45
0.927,0,68.42,-68.08,471.09,-4.00,21.31,179.19
0.991,0,78.67,-64.28,459.58,-2.79,19.14,176.47
1.050,0,87.07,-63.04,451.53,-1.56,17.09,175.19
1.111,0,90.87,-61.92,449.03,-0.68,16.72,175.65
1.172,0,103.65,-55.97,430.38,-0.06,10.42,-157.41
1.230,0,113.79,-50.01,415.01,2.04,12.31,-154.94
1.293,0,122.69,-44.43,399.28,3.68,13.51,-151.94
1.362,0,135.24,-37.05,382.77,5.25,12.05,-150.85
1.429,0,137.19,-35.69,375.58,5.49,11.37,-151.41
1.503,0,135.29,-36.08,371.28,7.72,27.52,165.33
1.564,0,134.03,-35.67,372.86,7.97,27.22,165.78
1.621,0,132.44,-36.40,378.09,7.68,26.28,166.48
1.677,0,129.29,-39.69,387.33,7.33,26.23,168.03
1.734,0,126.65,-39.70,391.74,4.97,10.84,-152.65
1.791,0,123.64,-41.80,398.18,6.43,25.39,169.78
1.847,0,118.63,-43.29,406.61,5.72,24.25,169.84
1.904,0,114.00,-42.64,413.35,5.69,24.16,171.41
1.961,0,109.84,-43.23,420.55,5.60,23.22,173.61
2.018,0,105.82,-45.52,423.99,5.35,23.80,175.82
2.074,0,105.05,-46.28,424.50,4.76,23.04,176.86
2.133,0,106.84,-45.98,421.23,4.59,21.36,174.32
2.189,0,109.11,-44.11,417.54,5.33,21.86,174.81
2.248,0,110.47,-43.49,415.48,5.45,21.93,174.31
2.306,0,109.76,-43.07,412.52,5.13,21.74,173.73
2.364,0,107.82,-44.29,414.95,4.83,21.51,175.12
2.422,0,104.60,-45.67,415.03,4.27,23.41,175.55
2.481,0,98.65,-47.95,419.20,3.04,20.57,176.15
2.549,0,92.02,-52.38,422.28,1.40,20.02,176.42
2.611,0,86.15,-55.49,425.96,-0.39,19.04,178.66
2.666,0,85.05,-56.45,427.47,-0.73,19.63,-179.97
2.723,0,79.49,-58.75,426.99,-1.62,21.49,179.11
2.781,0,77.59,-58.43,426.15,-1.57,21.33,-179.57
2.837,0,77.75,-57.71,425.39,-1.30,22.65,-179.30
2.893,0,77.77,-58.65,424.52,-1.56,21.82,179.29
2.948,0,77.51,-58.65,423.85,-1.50,22.18,-178.94
3.007,0,77.93,-58.62,423.44,-1.87,21.42,-179.65
3.066,0,79.79,-56.98,421.46,-1.38,22.50,179.91
3.123,0,81.71,-57.70,421.50,-1.48,21.42,-179.72
3.182,0,83.69,-56.85,418.82,-1.40,20.01,-179.56
3.238,0,85.72,-56.52,417.37,-1.14,20.84,-179.99
3.295,0,86.78,-55.30,415.70,-0.84,21.57,178.55
3.351,0,87.89,-55.62,413.10,-0.66,21.54,177.55
3.406,0,88.85,-54.41,412.87,-0.76,21.36,177.70
3.462,0,90.13,-54.51,413.00,-0.33,20.68,178.58
3.518,0,90.47,-54.25,411.41,-0.27,20.27,178.53
3.576,0,91.02,-54.33,410.43,-0.41,20.02,178.85
3.634,0,91.39,-53.56,408.82,-0.27,20.46,178.30
3.690,0,92.69,-52.29,407.61,0.14,21.50,177.16
3.748,0,93.69,-53.01,409.31,0.23,22.39,178.59
3.803,0,93.38,-53.33,409.58,-0.25,20.80,177.43
3.859,0,93.14,-53.99,408.86,-0.29,19.20,176.28
3.915,0,92.94,-53.17,408.16,-0.34,20.15,176.38
3.972,0,92.78,-53.43,407.26,-0.14,21.59,177.17
4.028,0,93.12,-52.57,406.89,-0.23,19.95,175.97
4.084,0,93.97,-52.60,407.40,0.20,20.53,178.36
4.141,0,94.16,-52.15,405.47,0.61,22.10,176.75
4.199,0,93.97,-52.60,407.40,0.20,20.53,178.36
4.255,0,93.58,-52.45,405.99,0.19,20.68,177.01
4.311,0,93.77,-51.67,405.60,0.44,22.22,177.61
4.368,0,94.87,-51.81,407.66,0.34,21.55,177.82
4.423,0,95.50,-52.12,406.68,0.28,20.42,177.42
4.481,0,95.74,-52.10,405.62,0.33,20.24,175.88
4.536,0,96.69,-51.05,404.78,0.88,22.37,178.14
4.593,0,96.99,-51.46,404.54,0.82,21.80,176.60
4.660,0,96.95,-51.54,404.54,0.59,20.93,175.87
4.720,0,97.46,-51.52,406.36,0.71,20.28,178.25
4.778,0,97.03,-51.05,403.86,0.66,21.52,176.83
4.834,0,98.00,-51.68,404.33,0.57,20.63,175.73
4.890,0,98.08,-51.18,402.79,0.71,20.96,175.37
4.946,0,98.40,-50.60,402.85,0.92,21.81,176.00
5.001,0,99.22,-50.15,402.87,1.03,21.51,176.74
5.059,0,99.07,-50.60,401.44,1.29,22.13,175.45
5.117,0,98.93,-50.59,401.97,1.37,22.07,175.39
5.173,0,98.73,-50.59,402.74,1.49,23.79,176.25
5.230,0,99.05,-50.81,403.21,1.49,21.39,175.14
5.286,0,98.80,-50.64,402.85,1.33,22.17,174.99
5.343,0,99.65,-50.63,404.35,1.34,21.64,175.31
5.400,0,99.44,-50.83,403.35,1.39,23.27,175.32
5.456,0,99.39,-51.31,403.44,1.08,21.38,174.78
5.514,0,99.37,-51.02,403.89,0.87,20.87,175.55
5.569,0,99.75,-50.17,403.05,1.67,23.62,177.51
5.626,0,100.14,-50.48,402.73,1.66,21.56,174.24
5.683,0,99.89,-50.45,402.49,1.26,21.24,174.22
5.739,0,100.14,-50.45,403.28,1.84,21.56,175.63
5.796,0,100.09,-50.55,403.78,1.90,23.04,176.71
5.852,0,99.76,-50.92,403.34,1.39,21.45,174.78
5.907,0,99.17,-50.68,402.71,1.16,22.30,175.71
5.964,0,99.41,-50.11,402.94,1.69,22.70,176.40
6.019,0,99.66,-50.35,403.73,2.08,23.30,175.96
6.075,0,99.13,-50.87,402.85,1.72,22.71,176.51
6.131,0,98.73,-51.08,402.18,1.23,21.55,174.60
6.187,0,98.84,-50.55,402.83,1.57,22.97,175.67
6.244,0,99.28,-50.68,403.63,1.38,21.34,174.82
