Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg),Marker No,X ,Y ,R
0.034,,-66.58,66.73,1253.04,7.52,-10.75,-173.52,0.00,328.00,417.00,88.00
0.093,,-66.58,66.73,1253.04,7.52,-10.75,-173.52,0.00,328.00,417.00,88.00
0.160,,-66.93,66.56,1253.61,7.51,-15.39,-176.28,0.00,328.00,417.00,88.00
0.206,,-66.88,66.66,1255.71,7.34,-12.97,-176.90,0.00,328.00,417.00,88.00
0.254,,-66.88,66.66,1255.71,7.34,-12.97,-176.90,0.00,328.00,417.00,88.00
0.301,,-66.58,66.73,1253.04,7.52,-10.75,-173.52,0.00,328.00,417.00,88.00
0.348,,-66.58,66.73,1253.04,7.52,-10.75,-173.52,0.00,328.00,417.00,88.00
0.394,,-66.31,66.64,1251.16,7.32,-8.27,-172.92,0.00,328.00,417.00,88.00
0.441,,-66.31,66.64,1251.16,7.32,-8.27,-172.92,0.00,328.00,417.00,88.00
0.490,,-58.06,58.06,1116.71,1.95,18.38,154.44,0.00,328.00,417.00,88.00
0.544,,-66.72,66.96,1257.60,6.66,1.07,163.58,0.00,328.00,417.00,88.00
0.599,,-58.37,58.72,1122.96,2.78,17.47,155.50,0.00,328.00,417.00,88.00
0.820,,-67.01,67.60,1255.24,6.06,7.57,169.48,0.00,328.00,417.00,88.00
0.871,,-66.81,67.61,1255.42,6.17,4.51,168.92,0.00,328.00,417.00,88.00
0.923,,-66.47,67.83,1253.39,7.33,-0.25,164.07,0.00,328.00,417.00,88.00
0.971,,-66.31,68.10,1251.26,7.32,-8.23,-172.95,0.00,328.00,417.00,88.00
1.020,,-66.88,68.06,1256.91,6.30,3.44,168.96,0.00,328.00,417.00,88.00
1.068,,-66.47,67.83,1253.39,7.33,-0.25,164.07,0.00,328.00,417.00,88.00
1.118,,-67.49,68.30,1264.75,6.71,4.19,169.39,0.00,328.00,417.00,88.00
1.174,,-63.79,65.98,1246.00,7.00,-14.93,-175.94,0.00,328.00,417.00,88.00
1.250,,-56.71,60.02,1237.74,5.29,-10.76,-170.69,0.00,328.00,417.00,88.00
1.341,,-56.70,58.58,1237.61,5.28,-10.79,-170.64,0.00,328.00,417.00,88.00
1.401,,-57.46,52.34,1235.49,5.71,5.32,167.05,0.00,328.00,417.00,88.00
1.455,,-60.59,43.69,1234.64,6.02,-11.29,-170.35,0.00,328.00,417.00,88.00
1.505,,-62.25,41.00,1235.45,6.54,-13.05,-172.78,0.00,328.00,417.00,88.00
1.557,,-62.76,38.65,1235.20,5.75,7.82,168.56,0.00,328.00,417.00,88.00
1.608,,-63.60,36.80,1244.84,5.86,4.96,171.29,0.00,328.00,417.00,88.00
1.658,,-63.59,33.89,1244.47,5.86,5.03,171.46,0.00,328.00,417.00,88.00
1.710,,-63.01,32.72,1242.59,6.83,-11.26,-172.85,0.00,328.00,417.00,88.00
1.761,,-62.09,30.92,1243.48,5.02,6.00,166.35,0.00,328.00,417.00,88.00
1.815,,-60.48,31.12,1235.82,5.16,-13.64,-170.00,0.00,328.00,417.00,88.00
1.865,,-58.38,30.70,1233.18,5.91,-11.52,-169.89,0.00,328.00,417.00,88.00
1.915,,-57.79,30.13,1233.25,5.38,6.51,166.61,0.00,328.00,417.00,88.00
1.968,,-55.14,31.37,1245.81,5.10,-10.96,-172.44,0.00,328.00,417.00,88.00
2.017,,-52.34,30.58,1235.74,5.46,-10.49,-172.12,0.00,328.00,417.00,88.00
2.067,,-50.56,31.41,1231.87,4.91,-9.55,-169.22,0.00,328.00,417.00,88.00
2.114,,-49.95,30.84,1232.26,4.60,4.14,165.57,0.00,328.00,417.00,88.00
2.161,,-49.72,32.12,1224.52,4.52,-8.64,-169.03,0.00,328.00,417.00,88.00
2.210,,-50.46,31.96,1226.69,4.09,6.43,166.18,0.00,328.00,417.00,88.00
2.259,,-50.59,33.11,1227.82,4.85,-6.90,-168.02,0.00,328.00,417.00,88.00
2.309,,-49.74,34.11,1226.83,4.08,6.44,166.05,0.00,328.00,417.00,88.00
2.360,,-47.32,35.09,1228.68,3.86,-13.20,-169.97,0.00,328.00,417.00,88.00
2.409,,-45.34,35.45,1228.97,3.60,8.86,168.66,0.00,328.00,417.00,88.00
2.456,,-42.18,35.58,1220.83,3.82,-12.30,-171.90,0.00,328.00,417.00,88.00
2.504,,-41.46,35.21,1221.95,3.67,5.33,163.05,0.00,328.00,417.00,88.00
2.551,,-41.27,35.40,1220.75,3.16,8.69,168.35,0.00,328.00,417.00,88.00
2.600,,-41.26,34.67,1219.56,3.31,-10.61,-169.53,0.00,328.00,417.00,88.00
2.649,,-42.37,34.15,1221.20,2.77,9.05,166.68,0.00,328.00,417.00,88.00
2.698,,-43.72,33.56,1218.29,4.14,-10.78,-169.61,0.00,328.00,417.00,88.00
2.748,,-46.86,32.63,1216.29,4.60,-11.28,-167.67,0.00,328.00,417.00,88.00
2.796,,-49.00,32.84,1224.51,4.52,-8.61,-169.04,0.00,328.00,417.00,88.00
2.843,,-49.37,32.36,1222.45,3.71,4.87,163.31,0.00,328.00,417.00,88.00
2.893,,-50.04,33.60,1220.22,4.28,-13.14,-170.30,0.00,328.00,417.00,88.00
2.942,,-50.76,33.60,1220.29,4.29,-13.17,-170.31,0.00,328.00,417.00,88.00
2.990,,-53.35,34.83,1227.25,4.09,6.21,166.05,0.00,328.00,417.00,88.00
3.038,,-55.03,35.89,1233.13,4.61,3.77,165.32,0.00,328.00,417.00,88.00
3.091,,-56.40,37.14,1225.93,5.50,-11.52,-170.29,0.00,328.00,417.00,88.00
3.148,,-59.20,39.25,1225.17,6.61,-15.27,-170.69,0.00,328.00,417.00,88.00
3.231,,-61.70,41.85,1228.33,5.70,-13.24,-170.75,0.00,328.00,417.00,88.00
3.315,,-65.57,48.68,1243.50,6.91,-10.77,-172.72,0.00,328.00,417.00,88.00
3.392,,-63.52,52.40,1233.52,6.16,5.44,164.88,0.00,328.00,417.00,88.00
3.477,,-64.85,53.99,1244.80,6.11,7.90,167.95,0.00,328.00,417.00,88.00
3.553,,-66.02,58.18,1245.56,7.02,-10.65,-173.68,0.00,328.00,417.00,88.00
3.601,,-67.78,61.53,1250.94,7.30,-8.43,-172.86,0.00,328.00,417.00,88.00
3.653,,-68.05,65.27,1253.05,7.51,-10.83,-173.52,0.00,328.00,417.00,88.00
3.706,,-67.40,67.71,1250.80,7.32,-7.41,-172.30,0.00,328.00,417.00,88.00
3.756,,-67.52,71.29,1263.26,7.29,-5.76,-175.56,0.00,328.00,417.00,88.00
3.804,,-66.62,72.46,1254.87,7.63,-15.30,-176.99,0.00,328.00,417.00,88.00
3.851,,-66.66,75.22,1254.98,7.59,-9.85,-173.80,0.00,328.00,417.00,88.00
3.899,,-65.93,77.42,1255.10,7.60,-9.78,-173.84,0.00,328.00,417.00,88.00
3.948,,-66.77,78.65,1265.83,6.69,3.99,168.70,0.00,328.00,417.00,88.00
3.994,,-65.70,80.65,1255.04,7.81,-12.31,-179.54,0.00,328.00,417.00,88.00
4.042,,-65.48,82.86,1257.81,7.45,-12.39,-177.38,0.00,328.00,417.00,88.00
4.088,,-65.52,83.13,1248.17,7.80,-11.87,-177.15,0.00,328.00,417.00,88.00
4.140,,-65.52,83.70,1248.22,7.39,-12.36,-174.47,0.00,328.00,417.00,88.00
4.214,,-66.31,83.88,1245.54,8.02,-9.96,-174.38,0.00,328.00,417.00,88.00
4.287,,-67.67,78.34,1223.76,8.34,-10.44,-171.55,0.00,328.00,417.00,88.00
4.348,,-66.24,74.17,1210.61,6.23,-11.35,-169.77,0.00,328.00,417.00,88.00
4.421,,-66.49,62.24,1206.05,5.51,6.47,160.81,0.00,328.00,417.00,88.00
4.467,,-69.99,51.71,1202.33,6.85,3.43,159.78,0.00,328.00,417.00,88.00
4.518,,-76.44,39.76,1212.01,7.87,1.61,159.69,0.00,328.00,417.00,88.00
4.566,,-81.47,29.36,1215.57,9.48,-9.13,-164.28,0.00,328.00,417.00,88.00
4.612,,-90.61,5.39,1222.71,9.17,-13.65,-163.87,0.00,328.00,417.00,88.00
4.660,,-94.88,-3.72,1237.00,9.42,2.75,163.18,0.00,328.00,417.00,88.00
4.710,,-102.91,-26.60,1232.78,10.20,-12.63,-164.05,0.00,328.00,417.00,88.00
4.759,,-113.16,-46.53,1248.27,11.77,0.45,164.47,0.00,328.00,417.00,88.00
4.808,,-117.56,-56.01,1245.46,11.92,3.92,162.72,0.00,328.00,417.00,88.00
4.857,,-132.28,-80.89,1256.67,12.85,6.32,165.37,0.00,328.00,417.00,88.00
4.906,,-142.19,-98.20,1263.07,13.87,5.47,167.92,0.00,328.00,417.00,88.00
4.956,,-148.75,-109.52,1268.77,12.97,-22.34,-162.24,0.00,328.00,417.00,88.00
5.003,,-153.65,-118.94,1256.25,12.67,-24.72,-160.65,0.00,328.00,417.00,88.00
5.051,,-163.31,-132.05,1262.67,14.50,-24.14,-160.38,0.00,328.00,417.00,88.00
5.099,,-173.81,-146.42,1266.26,17.87,7.76,170.90,0.00,328.00,417.00,88.00
5.147,,-175.28,-149.81,1261.90,15.27,-29.57,-162.39,0.00,328.00,417.00,88.00
5.195,,-181.86,-161.09,1269.15,18.78,8.94,171.69,0.00,328.00,417.00,88.00
5.243,,-184.18,-167.11,1277.17,18.69,7.61,169.84,0.00,328.00,417.00,88.00
5.291,,-182.76,-169.28,1271.14,16.09,-30.53,-161.99,0.00,328.00,417.00,88.00
5.340,,-183.59,-173.83,1283.14,19.56,8.98,173.62,0.00,328.00,417.00,88.00
5.388,,-184.06,-178.05,1295.67,19.30,8.97,173.57,0.00,328.00,417.00,88.00
5.435,,-182.55,-177.69,1288.91,20.01,10.63,175.34,0.00,328.00,417.00,88.00
5.485,,-184.49,-180.32,1306.74,20.44,9.24,176.90,0.00,328.00,417.00,88.00
5.532,,-185.60,-180.99,1320.43,15.61,-27.57,-164.54,0.00,328.00,417.00,88.00
5.585,,-184.91,-178.57,1311.19,19.87,10.81,176.80,0.00,328.00,417.00,88.00
5.643,,-183.56,-174.92,1313.44,16.79,-31.23,-169.97,0.00,328.00,417.00,88.00
5.692,,-185.34,-172.77,1324.48,20.70,9.68,-179.88,0.00,328.00,417.00,88.00
5.740,,-185.78,-167.59,1314.53,18.25,-33.70,-173.40,0.00,328.00,417.00,88.00
5.788,,-190.39,-169.30,1337.28,18.46,-30.23,-173.19,0.00,328.00,417.00,88.00
5.836,,-192.00,-167.75,1337.55,18.50,-30.26,-173.32,0.00,328.00,417.00,88.00
5.884,,-198.91,-162.03,1331.77,22.71,11.89,-177.26,0.00,328.00,417.00,88.00
5.933,,-202.74,-160.75,1336.87,20.37,-30.70,-174.47,0.00,328.00,417.00,88.00
5.980,,-206.70,-160.15,1343.37,21.15,-30.79,-175.04,0.00,328.00,417.00,88.00
6.031,,-211.80,-160.61,1357.97,23.43,5.73,-177.19,0.00,328.00,417.00,88.00
6.082,,-213.36,-153.67,1331.87,22.42,-32.59,-175.39,0.00,328.00,417.00,88.00
6.129,,-215.64,-150.76,1318.20,22.75,-32.70,-175.61,0.00,328.00,417.00,88.00
6.176,,-216.19,-150.16,1304.45,25.19,9.79,178.93,0.00,328.00,417.00,88.00
6.223,,-230.70,-160.28,1384.09,24.32,-18.56,-176.82,0.00,328.00,417.00,88.00
6.268,,-218.19,-152.94,1297.75,24.06,9.30,175.92,0.00,328.00,417.00,88.00
6.312,,-216.67,-155.03,1279.77,21.35,-33.51,-168.59,0.00,328.00,417.00,88.00
6.360,,-216.02,-158.77,1266.74,21.11,-34.97,-166.72,0.00,328.00,417.00,88.00
6.409,,-215.58,-164.46,1256.96,22.31,7.90,168.67,0.00,328.00,417.00,88.00
6.453,,-212.85,-166.15,1239.64,19.89,-30.80,-158.37,0.00,328.00,417.00,88.00
6.497,,-210.62,-168.75,1223.30,21.40,8.08,163.92,0.00,328.00,417.00,88.00
6.541,,-208.08,-172.41,1211.36,20.97,8.78,161.98,0.00,328.00,417.00,88.00
6.586,,-206.85,-174.46,1204.02,21.43,9.31,161.21,0.00,328.00,417.00,88.00
6.632,,-203.84,-173.44,1185.16,18.53,-32.52,-150.60,0.00,328.00,417.00,88.00
6.676,,-202.55,-173.90,1176.74,20.49,8.81,159.20,0.00,328.00,417.00,88.00
6.723,,-203.34,-174.46,1181.14,17.90,-32.31,-150.32,0.00,328.00,417.00,88.00
6.767,,-201.63,-172.86,1168.40,20.68,8.27,157.75,0.00,328.00,417.00,88.00
6.814,,-203.15,-170.99,1172.00,17.72,-31.51,-147.75,0.00,328.00,417.00,88.00
6.857,,-201.33,-167.97,1159.71,17.11,-33.46,-147.66,0.00,328.00,417.00,88.00
