Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg),Marker No,X ,Y ,R
0.037,,145.40,19.23,1003.47,-9.26,30.36,178.87,0.00,682.00,201.00,44.00
0.170,,146.81,18.97,1008.15,-9.48,29.69,178.40,0.00,682.00,201.00,44.00
0.234,,146.99,18.96,1006.89,-9.47,29.21,179.07,0.00,682.00,201.00,44.00
0.290,,148.25,19.42,1012.03,-9.53,26.68,178.93,0.00,682.00,201.00,44.00
0.364,,148.39,19.93,1006.42,-9.30,27.84,179.58,0.00,682.00,201.00,44.00
0.424,,148.77,20.45,1002.48,-9.65,28.35,178.46,0.00,682.00,201.00,44.00
0.483,,148.98,20.51,999.85,-9.31,28.20,176.95,0.00,682.00,201.00,44.00
0.545,,149.92,20.48,1005.29,-9.44,26.31,175.50,0.00,682.00,201.00,44.00
0.625,,149.91,20.96,1005.16,-9.46,26.32,175.45,0.00,682.00,201.00,44.00
0.692,,149.89,21.43,1005.03,-9.47,26.33,175.40,0.00,682.00,201.00,44.00
0.806,,150.69,21.93,1011.80,-8.41,23.47,176.40,0.00,682.00,201.00,44.00
0.914,,150.80,22.16,1010.86,-8.38,23.85,176.75,0.00,682.00,201.00,44.00
1.003,,151.86,22.62,1015.33,-8.52,21.59,177.03,0.00,682.00,201.00,44.00
1.067,,151.39,21.61,1017.89,-8.12,20.03,179.97,0.00,682.00,201.00,44.00
1.132,,149.83,21.66,1002.74,-8.57,23.36,179.96,0.00,682.00,201.00,44.00
1.196,,147.69,22.61,992.47,-8.80,26.17,179.81,0.00,682.00,201.00,44.00
1.325,,146.19,25.61,990.73,-8.09,23.84,-178.77,0.00,682.00,201.00,44.00
1.425,,145.44,26.41,986.59,-5.70,-8.30,172.17,0.00,682.00,201.00,44.00
1.488,,142.19,30.13,965.85,-7.04,29.27,-177.27,0.00,682.00,201.00,44.00
1.555,,142.03,41.71,967.19,-2.71,-11.18,170.45,0.00,682.00,201.00,44.00
1.615,,140.45,44.76,960.51,-4.07,30.34,-178.21,0.00,682.00,201.00,44.00
1.675,,139.81,46.65,952.11,-3.80,33.47,-178.44,0.00,682.00,201.00,44.00
1.750,,140.34,48.49,943.35,-2.23,35.96,-177.52,0.00,682.00,201.00,44.00
1.812,,141.88,49.09,948.23,-3.09,34.85,-178.69,0.00,682.00,201.00,44.00
1.873,,142.71,46.54,944.25,-3.38,36.04,-178.78,0.00,682.00,201.00,44.00
1.931,,142.18,44.13,935.83,-3.43,37.62,-178.46,0.00,682.00,201.00,44.00
1.990,,142.46,39.45,930.03,-3.22,37.87,-178.61,0.00,682.00,201.00,44.00
2.050,,143.06,37.68,926.88,-2.73,37.33,-178.60,0.00,682.00,201.00,44.00
2.108,,-861.54,575.67,4003.92,80.85,31.28,83.15,0.00,682.00,201.00,44.00
2.108,,143.22,37.27,925.10,-3.07,37.54,179.62,0.00,682.00,201.00,44.00
2.163,,144.16,37.27,921.98,-2.81,38.55,178.65,0.00,682.00,201.00,44.00
2.224,,146.38,38.19,922.64,-2.79,38.13,177.15,0.00,682.00,201.00,44.00
2.288,,147.95,39.07,922.02,-2.35,39.90,177.67,0.00,682.00,201.00,44.00
2.356,,149.59,39.61,926.69,-2.00,39.44,178.33,0.00,682.00,201.00,44.00
2.424,,152.06,41.23,930.09,-2.40,39.73,178.08,0.00,682.00,201.00,44.00
2.486,,152.02,41.58,925.12,-2.20,40.82,178.99,0.00,682.00,201.00,44.00
2.544,,155.99,45.04,931.93,-3.05,40.79,178.87,0.00,682.00,201.00,44.00
2.660,,158.08,48.65,927.53,-2.86,43.76,-178.46,0.00,682.00,201.00,44.00
2.719,,158.74,49.50,926.72,-2.98,44.33,-178.25,0.00,682.00,201.00,44.00
2.832,,158.37,51.13,913.61,-2.94,46.03,-177.89,0.00,682.00,201.00,44.00
2.896,,159.99,51.61,922.25,-2.72,43.97,-177.79,0.00,682.00,201.00,44.00
3.077,,157.65,49.97,917.16,-1.38,45.66,-178.63,0.00,682.00,201.00,44.00
3.376,,151.78,65.49,914.76,-3.86,45.17,177.92,0.00,682.00,201.00,44.00
4.151,,147.22,44.05,935.19,-2.32,43.90,-179.40,0.00,682.00,201.00,44.00
4.208,,148.78,43.35,944.42,-2.83,42.65,179.29,0.00,682.00,201.00,44.00
4.266,,-844.62,567.20,3925.07,81.76,28.56,83.54,0.00,682.00,201.00,44.00
4.266,,148.22,40.37,937.58,-2.60,41.94,179.20,0.00,682.00,201.00,44.00
4.323,,148.04,39.47,937.25,-2.50,41.50,179.86,0.00,682.00,201.00,44.00
4.379,,145.43,32.54,934.13,-1.09,40.81,-178.49,0.00,682.00,201.00,44.00
4.435,,144.31,28.57,932.40,-2.60,41.42,177.33,0.00,682.00,201.00,44.00
4.502,,147.68,19.91,951.32,-2.71,40.19,175.59,0.00,682.00,201.00,44.00
4.569,,151.03,14.14,971.12,-3.03,38.71,175.28,0.00,682.00,201.00,44.00
4.681,,154.87,5.95,1010.39,-3.54,34.30,172.09,0.00,682.00,201.00,44.00
4.739,,157.83,3.03,1016.52,-3.74,34.39,172.31,0.00,682.00,201.00,44.00
4.795,,163.59,2.65,1036.79,-4.38,32.68,172.28,0.00,682.00,201.00,44.00
4.853,,165.77,3.06,1043.46,-4.08,32.72,173.73,0.00,682.00,201.00,44.00
4.910,,169.99,2.51,1058.12,-4.42,31.73,173.34,0.00,682.00,201.00,44.00
4.968,,174.46,1.85,1070.88,-5.14,32.38,175.43,0.00,682.00,201.00,44.00
5.025,,177.88,4.57,1084.40,-6.38,32.81,174.77,0.00,682.00,201.00,44.00
5.084,,177.69,7.12,1083.77,-6.55,33.54,175.17,0.00,682.00,201.00,44.00
5.143,,182.64,11.20,1105.43,-6.17,34.05,177.74,0.00,682.00,201.00,44.00
5.201,,189.68,14.64,1125.61,-7.67,32.38,176.36,0.00,682.00,201.00,44.00
5.258,,193.46,15.90,1138.17,-7.64,30.86,176.36,0.00,682.00,201.00,44.00
5.315,,197.95,17.82,1145.10,-6.65,30.52,177.34,0.00,682.00,201.00,44.00
5.371,,200.31,18.04,1150.74,-6.98,29.82,174.59,0.00,682.00,201.00,44.00
5.427,,203.12,18.05,1156.63,-7.53,31.66,176.18,0.00,682.00,201.00,44.00
5.484,,209.34,19.37,1167.28,-8.15,29.52,173.15,0.00,682.00,201.00,44.00
5.542,,210.87,18.07,1169.73,-7.39,29.54,175.39,0.00,682.00,201.00,44.00
5.598,,209.52,14.66,1173.49,-7.27,32.63,179.63,0.00,682.00,201.00,44.00
5.654,,210.48,13.02,1190.93,-8.25,30.88,179.88,0.00,682.00,201.00,44.00
5.710,,209.02,7.13,1204.41,-9.85,32.05,177.65,0.00,682.00,201.00,44.00
5.769,,208.11,5.13,1203.51,-10.66,32.70,176.48,0.00,682.00,201.00,44.00
5.829,,207.29,5.25,1225.55,-9.76,25.80,173.99,0.00,682.00,201.00,44.00
5.888,,202.86,6.74,1228.50,-9.89,21.82,171.68,0.00,682.00,201.00,44.00
5.948,,194.55,11.21,1229.17,-9.24,20.84,171.06,0.00,682.00,201.00,44.00
6.008,,192.31,11.14,1241.25,-8.42,21.96,175.15,0.00,682.00,201.00,44.00
6.067,,188.72,9.59,1230.82,-7.89,27.27,177.14,0.00,682.00,201.00,44.00
6.124,,187.89,8.38,1231.26,-7.13,27.48,173.38,0.00,682.00,201.00,44.00
6.183,,187.19,8.33,1219.27,-7.47,32.51,173.80,0.00,682.00,201.00,44.00
6.241,,192.59,10.39,1239.65,-7.02,29.60,173.43,0.00,682.00,201.00,44.00
6.298,,192.68,11.54,1236.21,-7.67,28.01,172.97,0.00,682.00,201.00,44.00
6.357,,195.56,11.80,1245.11,-7.30,26.97,173.72,0.00,682.00,201.00,44.00
6.415,,198.54,11.56,1244.29,-8.07,28.17,174.98,0.00,682.00,201.00,44.00
6.478,,198.79,11.97,1238.42,-7.73,29.08,176.08,0.00,682.00,201.00,44.00
6.536,,200.80,10.74,1246.45,-7.39,29.28,176.19,0.00,682.00,201.00,44.00
6.600,,200.31,10.55,1240.74,-7.09,30.97,176.36,0.00,682.00,201.00,44.00
6.664,,201.61,9.29,1247.89,-7.34,29.08,176.31,0.00,682.00,201.00,44.00
6.723,,200.85,8.22,1241.55,-6.96,30.05,175.61,0.00,682.00,201.00,44.00
6.781,,200.88,8.11,1249.02,-6.55,29.19,176.66,0.00,682.00,201.00,44.00
6.839,,199.85,8.21,1244.44,-5.29,27.95,176.05,0.00,682.00,201.00,44.00
6.895,,200.04,7.51,1252.27,-5.03,29.96,176.29,0.00,682.00,201.00,44.00
6.950,,199.07,6.75,1246.32,-4.63,30.70,177.44,0.00,682.00,201.00,44.00
7.009,,200.89,6.04,1252.97,-4.83,26.79,175.16,0.00,682.00,201.00,44.00
7.068,,202.15,4.89,1253.44,-4.80,26.85,175.28,0.00,682.00,201.00,44.00
7.126,,201.47,5.02,1246.56,-4.47,28.98,175.73,0.00,682.00,201.00,44.00
7.183,,201.77,5.01,1245.61,-4.44,28.12,174.56,0.00,682.00,201.00,44.00
7.240,,203.06,5.76,1248.94,-5.62,28.48,172.29,0.00,682.00,201.00,44.00
7.298,,202.90,6.05,1247.91,-5.64,28.71,172.27,0.00,682.00,201.00,44.00
7.355,,204.87,5.53,1253.68,-4.92,29.12,175.48,0.00,682.00,201.00,44.00
7.413,,207.17,5.14,1260.46,-5.40,30.31,176.35,0.00,682.00,201.00,44.00
7.471,,209.58,6.52,1265.67,-5.68,27.70,174.98,0.00,682.00,201.00,44.00
7.529,,206.04,7.92,1253.30,-5.10,31.12,177.20,0.00,682.00,201.00,44.00
7.588,,206.24,7.09,1266.41,-4.20,28.69,-179.31,0.00,682.00,201.00,44.00
7.646,,196.74,1.35,1260.05,-4.45,21.32,-170.41,0.00,682.00,201.00,44.00
7.704,,187.10,-0.43,1230.27,-5.56,16.68,-163.03,0.00,682.00,201.00,44.00
7.819,,173.30,-3.13,1260.59,-5.89,18.73,-165.51,0.00,682.00,201.00,44.00
7.875,,165.25,-4.15,1241.98,-6.05,16.73,-161.55,0.00,682.00,201.00,44.00
7.932,,161.94,-3.81,1250.43,-7.75,11.62,-162.17,0.00,682.00,201.00,44.00
7.991,,154.20,-1.20,1268.90,-8.30,11.60,-166.78,0.00,682.00,201.00,44.00
8.050,,148.87,-0.64,1262.47,-7.00,14.61,-162.85,0.00,682.00,201.00,44.00
8.109,,144.85,-3.04,1282.07,-7.48,14.94,-170.23,0.00,682.00,201.00,44.00
8.168,,144.58,-4.24,1280.98,-7.40,12.95,-169.71,0.00,682.00,201.00,44.00
8.225,,145.69,-5.89,1205.29,-7.12,11.45,-157.17,0.00,682.00,201.00,44.00
8.400,,172.70,-7.27,1154.26,-7.24,12.93,-153.61,0.00,682.00,201.00,44.00
8.691,,226.31,-8.53,1120.13,-6.62,13.70,-152.49,0.00,682.00,201.00,44.00
8.760,,246.67,-8.91,1183.34,-7.03,13.92,-159.33,0.00,682.00,201.00,44.00
8.817,,260.73,-10.22,1227.11,-6.95,12.76,-169.28,0.00,682.00,201.00,44.00
9.731,,13.88,-3.03,1247.73,-5.32,1.05,160.79,0.00,682.00,201.00,44.00
9.789,,9.65,-2.23,1276.92,-5.48,-0.79,-164.83,0.00,682.00,201.00,44.00
9.849,,1.37,-1.84,1289.86,-6.67,-0.99,-169.53,0.00,682.00,201.00,44.00
9.909,,-2.82,-1.55,1296.34,-6.66,-3.15,-170.99,0.00,682.00,201.00,44.00
9.967,,-9.30,-0.88,1284.32,-5.93,0.66,-165.20,0.00,682.00,201.00,44.00
10.025,,-12.13,-0.80,1306.27,-6.43,-0.11,-171.60,0.00,682.00,201.00,44.00
10.084,,-17.33,-0.87,1284.49,-5.97,0.01,-165.15,0.00,682.00,201.00,44.00
10.142,,-19.47,-1.22,1292.10,-6.00,1.75,-170.29,0.00,682.00,201.00,44.00
10.203,,-21.24,-2.27,1303.74,-6.83,3.52,174.24,0.00,682.00,201.00,44.00
10.260,,-19.95,-1.84,1294.47,-7.43,-0.27,-170.83,0.00,682.00,201.00,44.00
10.318,,-19.04,-1.58,1303.99,-6.78,3.75,-175.28,0.00,682.00,201.00,44.00
10.377,,-14.94,0.75,1293.28,-6.79,-5.18,171.27,0.00,682.00,201.00,44.00
