Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg)
0.058,0,-70.27,2.50,1689.14,-3.56,50.08,168.33
0.118,0,-69.68,3.11,1681.27,-2.78,49.59,170.01
0.179,0,-69.49,3.13,1686.01,0.11,49.11,173.22
0.240,0,-69.41,3.13,1686.96,0.10,48.71,173.55
0.300,0,-68.52,3.47,1659.49,-1.31,49.47,172.69
0.360,0,-67.88,3.24,1646.78,-0.64,50.17,173.30
0.421,0,-67.68,2.84,1644.82,-2.07,50.57,171.91
0.481,0,-67.65,2.04,1643.77,-2.04,50.59,171.95
0.542,0,-68.03,1.23,1643.55,-1.99,50.22,172.35
0.601,0,-70.27,-0.20,1657.41,-1.17,49.43,173.65
0.783,0,-86.66,-6.74,1693.46,-3.40,46.09,169.40
1.085,0,-122.25,-10.21,1703.42,-12.12,49.38,161.79
1.146,0,-127.40,-10.60,1712.47,-14.79,50.46,160.02
1.206,0,-128.40,-10.13,1685.31,-14.94,51.71,159.59
1.266,0,-130.41,-10.44,1696.67,-15.83,51.61,158.87
1.327,0,-130.80,-9.20,1695.69,-15.80,51.65,158.25
1.387,0,-130.13,-8.95,1685.39,-14.97,51.66,158.91
1.449,0,-130.75,-10.03,1696.29,-15.72,51.27,158.58
1.509,0,-131.72,-10.33,1712.15,-14.73,50.36,159.47
1.568,0,-131.46,-9.89,1710.56,-14.58,50.08,159.23
1.629,0,-129.80,-8.95,1692.56,-13.34,51.45,161.06
1.689,0,-128.38,-7.21,1668.23,-13.17,51.31,161.33
1.750,0,-129.19,-5.20,1677.92,-11.65,50.97,163.38
1.812,0,-130.36,-5.25,1699.83,-12.94,49.56,162.19
1.872,0,-128.75,-4.98,1690.31,-12.10,49.59,163.57
1.931,0,-127.33,-4.32,1681.81,-11.04,48.52,165.36
1.991,0,-126.52,-4.05,1699.46,-12.36,-55.07,-163.95
2.051,0,-124.42,-3.60,1678.33,-8.61,47.14,169.91
2.112,0,-123.52,-2.56,1671.67,-6.40,46.43,172.27
2.173,0,-121.46,-1.90,1657.44,-6.96,46.09,172.23
2.233,0,-119.39,-2.45,1647.53,-4.95,46.15,174.45
2.294,0,-117.22,-3.18,1646.13,-4.84,45.12,175.56
2.354,0,-115.28,-3.52,1642.81,-6.06,44.42,175.35
2.414,0,-111.72,-4.01,1605.41,-4.10,45.69,177.96
2.475,0,-111.75,-4.83,1632.23,-2.02,-52.02,-179.93
2.537,0,-110.80,-5.36,1617.76,-0.82,44.26,-178.11
2.596,0,-110.32,-7.71,1613.34,-0.75,44.37,-177.30
2.657,0,-104.39,-12.53,1547.00,0.43,-54.77,177.36
2.716,0,-101.98,-19.63,1539.31,1.48,-55.45,177.50
3.019,0,-88.69,-66.57,1666.25,12.62,42.75,-164.81
3.080,0,-81.74,-70.32,1612.20,16.46,45.12,-161.86
3.141,0,-78.35,-74.37,1589.03,17.20,45.25,-159.84
3.201,0,-78.26,-79.18,1624.29,12.06,-50.29,165.62
3.262,0,-77.83,-81.32,1638.27,11.25,-49.52,166.19
3.322,0,-77.04,-81.27,1637.49,11.11,-48.73,166.22
3.383,0,-76.83,-81.29,1646.75,9.75,-49.05,168.55
3.442,0,-76.83,-81.29,1646.75,9.75,-49.05,168.55
3.503,0,-76.40,-80.50,1635.04,8.92,-49.18,169.27
3.564,0,-77.39,-81.22,1645.17,9.69,-48.74,168.15
3.624,0,-76.61,-78.79,1621.21,9.74,-49.95,168.65
3.685,0,-75.62,-71.49,1571.10,15.34,44.51,-162.32
4.165,0,-91.46,36.45,1446.12,3.36,-54.55,175.61
4.227,0,-94.39,43.30,1466.48,-1.37,47.09,178.02
4.287,0,-97.81,47.81,1512.05,3.03,-52.68,175.91
4.347,0,-100.87,48.83,1533.76,-2.34,43.51,177.94
4.407,0,-101.55,48.45,1533.62,-1.27,44.18,178.71
4.467,0,-102.17,48.21,1543.69,3.61,-50.96,175.03
4.528,0,-104.84,49.48,1577.97,-2.18,41.56,177.69
4.588,0,-102.06,49.67,1544.43,3.72,-51.30,173.85
4.648,0,-102.07,53.31,1540.25,-0.27,43.99,-179.93
4.710,0,-103.41,56.15,1554.79,-0.84,42.80,179.26
4.769,0,-103.82,57.50,1567.36,3.24,-49.91,175.12
4.831,0,-104.48,57.15,1567.65,-1.37,42.36,178.50
4.891,0,-104.05,56.38,1566.12,-1.40,42.78,178.84
4.951,0,-101.90,55.60,1543.99,-0.33,43.54,179.61
5.012,0,-100.17,55.00,1532.28,5.29,-51.58,173.17
5.071,0,-101.29,53.65,1539.89,5.81,-50.91,172.04
5.132,0,-104.12,51.92,1548.81,3.80,-51.24,174.41
5.193,0,-107.93,50.34,1547.79,0.44,44.20,178.98
5.253,0,-106.68,48.64,1513.44,-3.92,47.27,173.56
5.314,0,-106.75,50.19,1502.72,-6.08,49.40,171.10
5.374,0,-106.27,52.61,1497.17,-6.00,51.43,170.83
5.434,0,-108.57,55.75,1530.62,-5.52,51.20,169.39
5.495,0,-108.93,56.67,1540.88,-6.25,51.23,168.15
5.555,0,-107.73,56.89,1532.10,-4.38,51.88,169.56
5.616,0,-108.28,57.14,1543.08,-3.57,51.00,170.38
5.676,0,-107.75,57.17,1543.67,-3.54,50.69,170.70
5.736,0,-106.72,58.07,1547.34,-2.20,49.70,172.53
5.797,0,-105.99,59.09,1558.77,-1.38,47.79,172.96
5.857,0,-104.00,60.66,1573.23,7.87,-53.89,175.27
5.918,0,-100.64,62.31,1575.93,7.40,-50.87,174.33
5.979,0,-97.00,62.52,1565.55,-1.23,44.14,175.05
6.039,0,-93.23,61.99,1554.72,-0.69,43.51,176.78
6.099,0,-91.07,62.30,1564.75,-2.27,42.52,175.90
6.159,0,-87.24,60.60,1551.56,-2.84,42.67,175.43
6.219,0,-82.45,58.55,1537.45,2.37,-49.40,176.70
6.280,0,-78.21,57.45,1534.05,0.92,-47.91,176.58
6.341,0,-72.44,56.32,1510.75,0.85,-48.17,175.78
6.401,0,-67.63,56.33,1508.28,0.71,-47.30,174.61
6.461,0,-60.94,55.41,1476.71,1.31,-48.20,174.11
6.521,0,-55.51,55.92,1478.17,-0.01,-47.93,176.12
6.642,0,-44.05,56.12,1466.05,-0.82,-48.26,175.24
6.703,0,-38.07,56.14,1446.34,-5.64,46.16,178.56
6.765,0,-30.79,56.88,1447.53,-1.03,-48.46,175.36
7.311,0,19.77,55.23,1360.21,-0.25,-57.21,172.84
7.367,0,22.77,54.86,1359.67,-1.65,-57.09,174.04
7.429,0,25.76,54.80,1359.26,-1.72,-56.99,173.66
