Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg),Marker No,X ,Y ,R
0.031,,542.00,608.00,95.00,3.24,1.43,170.85,0.00,330.00,442.00,99.00
0.110,,543.00,608.00,98.00,3.12,-8.98,-166.00,0.00,330.00,442.00,99.00
0.171,,544.00,609.00,98.00,2.61,7.11,166.80,0.00,330.00,442.00,99.00
0.216,,544.00,609.00,99.00,2.72,-10.41,-163.10,0.00,330.00,442.00,99.00
0.263,,544.00,609.00,99.00,2.72,-8.98,-162.38,0.00,330.00,442.00,99.00
0.309,,544.00,609.00,99.00,2.72,-10.41,-163.10,0.00,330.00,442.00,99.00
0.356,,544.00,609.00,99.00,2.73,-9.01,-162.71,0.00,330.00,442.00,99.00
0.400,,544.00,609.00,98.00,2.61,7.11,166.80,0.00,330.00,442.00,99.00
0.446,,543.00,608.00,98.00,3.56,4.29,165.95,0.00,330.00,442.00,99.00
0.491,,541.00,606.00,99.00,3.43,-6.63,-160.86,0.00,330.00,442.00,99.00
0.992,,384.00,503.00,99.00,17.03,-6.53,156.89,0.00,330.00,442.00,99.00
1.047,,366.00,485.00,97.00,17.69,-3.56,162.20,0.00,330.00,442.00,99.00
1.097,,357.00,473.00,95.00,17.41,-13.57,-162.11,0.00,330.00,442.00,99.00
1.146,,348.00,462.00,93.00,17.24,-16.63,-164.42,0.00,330.00,442.00,99.00
1.194,,338.00,451.00,94.00,18.56,-18.00,-167.92,0.00,330.00,442.00,99.00
1.275,,328.00,441.00,95.00,19.71,-3.83,169.19,0.00,330.00,442.00,99.00
1.345,,322.00,436.00,98.00,20.52,-4.17,162.92,0.00,330.00,442.00,99.00
1.407,,313.00,429.00,97.00,20.01,-19.03,-161.46,0.00,330.00,442.00,99.00
1.459,,301.00,415.00,99.00,21.03,-19.64,-157.58,0.00,330.00,442.00,99.00
1.509,,304.00,413.00,99.00,22.10,-5.98,164.64,0.00,330.00,442.00,99.00
1.557,,306.00,413.00,100.00,21.60,-4.93,162.10,0.00,330.00,442.00,99.00
1.606,,308.00,413.00,99.00,21.85,-4.97,165.77,0.00,330.00,442.00,99.00
1.655,,309.00,414.00,99.00,21.21,-5.62,163.17,0.00,330.00,442.00,99.00
