Time (s),Marker ID,X (mm),Y (mm),Z (mm),Yaw (deg),Pitch (deg),Roll (deg),Marker No,X ,Y ,R
0.040,,583.00,537.00,96.00,1.50,-4.97,168.52,0.00,282.00,450.00,81.00
0.155,,578.00,534.00,97.00,2.54,-4.26,166.48,0.00,282.00,450.00,81.00
0.218,,576.00,532.00,96.00,2.62,-3.43,167.73,0.00,282.00,450.00,81.00
0.268,,573.00,531.00,96.00,2.80,-1.65,170.85,0.00,282.00,450.00,81.00
0.320,,571.00,529.00,96.00,2.63,-4.04,167.91,0.00,282.00,450.00,81.00
0.373,,568.00,527.00,96.00,2.94,-4.61,170.87,0.00,282.00,450.00,81.00
0.426,,568.00,525.00,97.00,2.86,-5.54,168.99,0.00,282.00,450.00,81.00
0.477,,567.00,523.00,96.00,3.04,-2.90,169.12,0.00,282.00,450.00,81.00
0.531,,565.00,522.00,95.00,3.51,-6.75,172.26,0.00,282.00,450.00,81.00
0.601,,565.00,522.00,96.00,2.99,-4.44,168.39,0.00,282.00,450.00,81.00
0.667,,565.00,522.00,96.00,2.70,-3.23,169.96,0.00,282.00,450.00,81.00
0.736,,567.00,522.00,96.00,2.62,-4.19,168.22,0.00,282.00,450.00,81.00
0.792,,566.00,522.00,96.00,2.67,-4.01,173.15,0.00,282.00,450.00,81.00
0.848,,565.00,523.00,96.00,3.64,-4.74,171.00,0.00,282.00,450.00,81.00
0.905,,564.00,524.00,96.00,3.30,-3.86,168.08,0.00,282.00,450.00,81.00
0.960,,564.00,524.00,96.00,3.03,-3.01,169.60,0.00,282.00,450.00,81.00
1.017,,563.00,523.00,96.00,3.54,-6.86,171.54,0.00,282.00,450.00,81.00
1.078,,557.00,521.00,96.00,4.38,-4.29,168.33,0.00,282.00,450.00,81.00
1.140,,539.00,518.00,97.00,5.35,-6.15,162.96,0.00,282.00,450.00,81.00
1.210,,529.00,516.00,97.00,5.99,-6.87,164.82,0.00,282.00,450.00,81.00
1.276,,505.00,511.00,100.00,9.80,-3.39,156.41,0.00,282.00,450.00,81.00
1.331,,484.00,508.00,97.00,9.16,-7.09,-156.32,0.00,282.00,450.00,81.00
1.492,,388.00,478.00,96.00,17.52,-0.73,163.96,0.00,282.00,450.00,81.00
1.599,,348.00,461.00,102.00,19.83,-0.95,157.12,0.00,282.00,450.00,81.00
1.653,,330.00,451.00,102.00,21.88,-2.66,157.04,0.00,282.00,450.00,81.00
1.708,,307.00,439.00,100.00,22.68,-16.50,-156.82,0.00,282.00,450.00,81.00
1.760,,291.00,430.00,100.00,24.42,-17.79,-158.31,0.00,282.00,450.00,81.00
1.814,,279.00,421.00,100.00,25.79,-9.29,162.36,0.00,282.00,450.00,81.00
1.867,,275.00,418.00,101.00,25.53,-18.48,-156.57,0.00,282.00,450.00,81.00
1.922,,271.00,411.00,101.00,26.21,-7.74,161.25,0.00,282.00,450.00,81.00
1.973,,269.00,405.00,102.00,26.04,-8.08,158.93,0.00,282.00,450.00,81.00
2.027,,270.00,402.00,103.00,26.18,-8.01,159.21,0.00,282.00,450.00,81.00
2.080,,271.00,399.00,102.00,26.19,-7.82,161.73,0.00,282.00,450.00,81.00
2.135,,270.00,398.00,103.00,26.18,-7.67,157.78,0.00,282.00,450.00,81.00
2.190,,269.00,398.00,103.00,26.07,-6.87,157.21,0.00,282.00,450.00,81.00
2.247,,270.00,399.00,104.00,25.64,-7.01,157.25,0.00,282.00,450.00,81.00
2.301,,269.00,402.00,103.00,26.18,-8.11,159.02,0.00,282.00,450.00,81.00
2.355,,269.00,405.00,102.00,26.63,-8.46,160.54,0.00,282.00,450.00,81.00
2.408,,268.00,409.00,104.00,26.93,-9.20,156.75,0.00,282.00,450.00,81.00
2.462,,266.00,412.00,103.00,27.52,-8.95,159.08,0.00,282.00,450.00,81.00
2.517,,261.00,419.00,104.00,27.85,-9.74,155.32,0.00,282.00,450.00,81.00
2.571,,260.00,422.00,105.00,27.70,-8.79,154.85,0.00,282.00,450.00,81.00
2.624,,257.00,427.00,106.00,27.72,-8.91,152.67,0.00,282.00,450.00,81.00
2.677,,255.00,431.00,106.00,28.45,-9.65,152.67,0.00,282.00,450.00,81.00
